Year,Value,Units
2021,173.7,Por 10.000 habitantes
2011,146.7,Por 10.000 habitantes
2015,156.8,Por 10.000 habitantes
2022,175.6,Por 10.000 habitantes
2010,143.1,Por 10.000 habitantes
2020,170.8,Por 10.000 habitantes
2023,186.6,Por 10.000 habitantes
2014,154.0,Por 10.000 habitantes
2012,149.2,Por 10.000 habitantes
2013,151.2,Por 10.000 habitantes
2019,166.1,Por 10.000 habitantes
2017,161.3,Por 10.000 habitantes
2024,187.4,Por 10.000 habitantes
2018,163.7,Por 10.000 habitantes
2016,159.2,Por 10.000 habitantes
2025,191.7,Por 10.000 habitantes
