Year,Value,Units
2007,2.59,Megajulios por USD constante de PPA (PIB)
2008,2.59,Megajulios por USD constante de PPA (PIB)
2009,2.51,Megajulios por USD constante de PPA (PIB)
2010,2.43,Megajulios por USD constante de PPA (PIB)
2011,2.24,Megajulios por USD constante de PPA (PIB)
2012,2.31,Megajulios por USD constante de PPA (PIB)
2013,2.25,Megajulios por USD constante de PPA (PIB)
2014,2.16,Megajulios por USD constante de PPA (PIB)
2015,2.13,Megajulios por USD constante de PPA (PIB)
2016,2.05,Megajulios por USD constante de PPA (PIB)
2017,2.05,Megajulios por USD constante de PPA (PIB)
2018,1.99,Megajulios por USD constante de PPA (PIB)
2019,1.97,Megajulios por USD constante de PPA (PIB)
2020,1.96,Megajulios por USD constante de PPA (PIB)
2021,1.99,Megajulios por USD constante de PPA (PIB)
2022,1.95,Megajulios por USD constante de PPA (PIB)
2023,1.7,Megajulios por USD constante de PPA (PIB)
