Year,Value,Units,Series
2016,49.3,%,"Proporción del gasto en viajes culturales sobre el gasto en viajes por ocio, recreo y vacaciones"
2017,46.7,%,"Proporción del gasto en viajes culturales sobre el gasto en viajes por ocio, recreo y vacaciones"
2018,36.1,%,"Proporción del gasto en viajes culturales sobre el gasto en viajes por ocio, recreo y vacaciones"
2019,31.6,%,"Proporción del gasto en viajes culturales sobre el gasto en viajes por ocio, recreo y vacaciones"
2020,28.5,%,"Proporción del gasto en viajes culturales sobre el gasto en viajes por ocio, recreo y vacaciones"
2021,32.5,%,"Proporción del gasto en viajes culturales sobre el gasto en viajes por ocio, recreo y vacaciones"
2022,36.5,%,"Proporción del gasto en viajes culturales sobre el gasto en viajes por ocio, recreo y vacaciones"
2023,42.0,%,"Proporción del gasto en viajes culturales sobre el gasto en viajes por ocio, recreo y vacaciones"
2024,49.6,%,"Proporción del gasto en viajes culturales sobre el gasto en viajes por ocio, recreo y vacaciones"
2016,26.7,%,Proporción del gasto en viajes culturales sobre el gasto en viajes
2017,26.5,%,Proporción del gasto en viajes culturales sobre el gasto en viajes
2018,21.6,%,Proporción del gasto en viajes culturales sobre el gasto en viajes
2019,19.4,%,Proporción del gasto en viajes culturales sobre el gasto en viajes
2020,13.5,%,Proporción del gasto en viajes culturales sobre el gasto en viajes
2021,18.3,%,Proporción del gasto en viajes culturales sobre el gasto en viajes
2022,20.8,%,Proporción del gasto en viajes culturales sobre el gasto en viajes
2023,25.0,%,Proporción del gasto en viajes culturales sobre el gasto en viajes
2024,28.9,%,Proporción del gasto en viajes culturales sobre el gasto en viajes
