Year,Value,Units,Series
2010,-17.19,Índice,Emisiones de CO2 respecto al año 2005
2011,-25.9,Índice,Emisiones de CO2 respecto al año 2005
2012,-21.64,Índice,Emisiones de CO2 respecto al año 2005
2013,-28.59,Índice,Emisiones de CO2 respecto al año 2005
2014,-29.31,Índice,Emisiones de CO2 respecto al año 2005
2015,-27.84,Índice,Emisiones de CO2 respecto al año 2005
2016,-28.02,Índice,Emisiones de CO2 respecto al año 2005
2017,-25.72,Índice,Emisiones de CO2 respecto al año 2005
2018,-26.89,Índice,Emisiones de CO2 respecto al año 2005
2019,-23.06,Índice,Emisiones de CO2 respecto al año 2005
2020,-32.28,Índice,Emisiones de CO2 respecto al año 2005
2021,-26.48,Índice,Emisiones de CO2 respecto al año 2005
2022,-20.65,Índice,Emisiones de CO2 respecto al año 2005
