Year,Pobreziaren dimentsioa,Sexua,Units,Value
2014,,,%,22.7
2020,,,%,19.9
2008,,,%,17.9
2018,,,%,20.7
2004,,,%,19.6
2022,,,%,19.5
2012,,,%,19.9
2016,,,%,20.6
2004,Pobrezia-arriskua (monetarioa),,%,16.5
2022,Pobrezia-arriskua (monetarioa),,%,16.5
2014,Pobrezia-arriskua (monetarioa),,%,18.5
2008,Pobrezia-arriskua (monetarioa),,%,14.8
2016,Pobrezia-arriskua (monetarioa),,%,16.4
2018,Pobrezia-arriskua (monetarioa),,%,17.7
2012,Pobrezia-arriskua (monetarioa),,%,15.4
2020,Pobrezia-arriskua (monetarioa),,%,17.8
2008,Gabezia material eta sozial larria,,%,2.7
2018,Gabezia material eta sozial larria,,%,5.6
2014,Gabezia material eta sozial larria,,%,5.2
2012,Gabezia material eta sozial larria,,%,5.8
2004,Gabezia material eta sozial larria,,%,3.6
2022,Gabezia material eta sozial larria,,%,4.7
2020,Gabezia material eta sozial larria,,%,4.1
2016,Gabezia material eta sozial larria,,%,6.4
2012,Lan-intentsitate txikia,,%,9.9
2020,Lan-intentsitate txikia,,%,7.6
2018,Lan-intentsitate txikia,,%,9.1
2014,Lan-intentsitate txikia,,%,12.0
2004,Lan-intentsitate txikia,,%,6.4
2008,Lan-intentsitate txikia,,%,5.6
2022,Lan-intentsitate txikia,,%,7.8
2016,Lan-intentsitate txikia,,%,10.2
2012,,Emakumea,%,21.0
2020,,Emakumea,%,21.0
2018,,Emakumea,%,21.7
2004,,Emakumea,%,22.0
2014,,Emakumea,%,23.3
2008,,Emakumea,%,20.3
2016,,Emakumea,%,21.5
2022,,Emakumea,%,20.5
2016,Pobrezia-arriskua (monetarioa),Emakumea,%,17.6
2004,Pobrezia-arriskua (monetarioa),Emakumea,%,18.6
2012,Pobrezia-arriskua (monetarioa),Emakumea,%,16.7
2018,Pobrezia-arriskua (monetarioa),Emakumea,%,18.8
2014,Pobrezia-arriskua (monetarioa),Emakumea,%,19.4
2022,Pobrezia-arriskua (monetarioa),Emakumea,%,17.7
2020,Pobrezia-arriskua (monetarioa),Emakumea,%,18.9
2008,Pobrezia-arriskua (monetarioa),Emakumea,%,16.6
2022,Gabezia material eta sozial larria,Emakumea,%,4.7
2020,Gabezia material eta sozial larria,Emakumea,%,4.3
2018,Gabezia material eta sozial larria,Emakumea,%,5.7
2016,Gabezia material eta sozial larria,Emakumea,%,6.5
2014,Gabezia material eta sozial larria,Emakumea,%,5.2
2012,Gabezia material eta sozial larria,Emakumea,%,5.6
2008,Gabezia material eta sozial larria,Emakumea,%,3.0
2004,Gabezia material eta sozial larria,Emakumea,%,3.8
2022,Lan-intentsitate txikia,Emakumea,%,8.1
2014,Lan-intentsitate txikia,Emakumea,%,11.9
2008,Lan-intentsitate txikia,Emakumea,%,6.4
2004,Lan-intentsitate txikia,Emakumea,%,7.3
2012,Lan-intentsitate txikia,Emakumea,%,9.9
2016,Lan-intentsitate txikia,Emakumea,%,10.3
2020,Lan-intentsitate txikia,Emakumea,%,7.6
2018,Lan-intentsitate txikia,Emakumea,%,9.6
2018,,Gizona,%,19.6
2008,,Gizona,%,15.4
2020,,Gizona,%,18.8
2004,,Gizona,%,17.0
2016,,Gizona,%,19.6
2012,,Gizona,%,18.8
2014,,Gizona,%,22.0
2022,,Gizona,%,18.3
2018,Pobrezia-arriskua (monetarioa),Gizona,%,16.5
2022,Pobrezia-arriskua (monetarioa),Gizona,%,15.2
2020,Pobrezia-arriskua (monetarioa),Gizona,%,16.6
2014,Pobrezia-arriskua (monetarioa),Gizona,%,17.6
2008,Pobrezia-arriskua (monetarioa),Gizona,%,12.9
2012,Pobrezia-arriskua (monetarioa),Gizona,%,14.0
2016,Pobrezia-arriskua (monetarioa),Gizona,%,15.1
2004,Pobrezia-arriskua (monetarioa),Gizona,%,14.3
2008,Gabezia material eta sozial larria,Gizona,%,2.5
2004,Gabezia material eta sozial larria,Gizona,%,3.3
2022,Gabezia material eta sozial larria,Gizona,%,4.7
2020,Gabezia material eta sozial larria,Gizona,%,4.0
2018,Gabezia material eta sozial larria,Gizona,%,5.4
2016,Gabezia material eta sozial larria,Gizona,%,6.3
2014,Gabezia material eta sozial larria,Gizona,%,5.3
2012,Gabezia material eta sozial larria,Gizona,%,6.0
2022,Lan-intentsitate txikia,Gizona,%,7.4
2020,Lan-intentsitate txikia,Gizona,%,7.7
2018,Lan-intentsitate txikia,Gizona,%,8.5
2016,Lan-intentsitate txikia,Gizona,%,10.1
2014,Lan-intentsitate txikia,Gizona,%,12.1
2012,Lan-intentsitate txikia,Gizona,%,9.9
2008,Lan-intentsitate txikia,Gizona,%,4.8
2004,Lan-intentsitate txikia,Gizona,%,5.6
