Year,Oinarrizko zerbitzuak,Units,Value
2018,,%,70.7
2012,,%,69.3
2015,,%,69.9
2014,,%,69.7
2020,,%,71.6
2017,,%,69.7
2016,,%,70.2
2023,,%,70.3
2022,,%,69.5
2019,,%,70.8
2021,,%,71.8
2018,Hezkuntza,%,10.8
2015,Hezkuntza,%,10.9
2019,Hezkuntza,%,10.7
2020,Hezkuntza,%,10.1
2012,Hezkuntza,%,11.1
2021,Hezkuntza,%,10.4
2022,Hezkuntza,%,10.2
2016,Hezkuntza,%,10.9
2017,Hezkuntza,%,10.9
2014,Hezkuntza,%,10.9
2023,Hezkuntza,%,10.2
2024,Hezkuntza,%,10.5
2020,Osasuna,%,13.9
2021,Osasuna,%,14.4
2022,Osasuna,%,14.0
2019,Osasuna,%,14.0
2023,Osasuna,%,13.8
2010,Osasuna,%,13.7
2012,Osasuna,%,13.7
2011,Osasuna,%,13.8
2013,Osasuna,%,13.6
2014,Osasuna,%,13.4
2015,Osasuna,%,13.7
2016,Osasuna,%,13.8
2017,Osasuna,%,13.7
2018,Osasuna,%,14.0
2015,Gizarte-babesa,%,45.3
2016,Gizarte-babesa,%,45.5
2017,Gizarte-babesa,%,45.1
2018,Gizarte-babesa,%,45.9
2019,Gizarte-babesa,%,46.1
2020,Gizarte-babesa,%,47.6
2021,Gizarte-babesa,%,47.0
2022,Gizarte-babesa,%,45.3
2023,Gizarte-babesa,%,46.3
2024,Gizarte-babesa,%,47.8
2010,Gizarte-babesa,%,40.3
2011,Gizarte-babesa,%,42.0
2012,Gizarte-babesa,%,44.5
2013,Gizarte-babesa,%,45.9
2014,Gizarte-babesa,%,45.4
