Year,Sexua,Lurralde historikoa,Units,Value
2013,,,%,5.6
2018,,,%,4.1
2023,,,%,8.8
2018,,Araba / Álava,%,3.4
2023,,Araba / Álava,%,11.1
2013,,Araba / Álava,%,6.1
2013,,Bizkaia,%,5.6
2023,,Bizkaia,%,7.6
2018,,Bizkaia,%,3.9
2018,,Gipuzkoa,%,4.7
2023,,Gipuzkoa,%,9.6
2013,,Gipuzkoa,%,5.4
2018,Emakumea,,%,4.8
2013,Emakumea,,%,6.5
2023,Emakumea,,%,9.8
2023,Emakumea,Araba / Álava,%,14.2
2013,Emakumea,Araba / Álava,%,7.1
2018,Emakumea,Araba / Álava,%,5.0
2013,Emakumea,Bizkaia,%,6.6
2023,Emakumea,Bizkaia,%,8.6
2018,Emakumea,Bizkaia,%,4.6
2023,Emakumea,Gipuzkoa,%,9.8
2018,Emakumea,Gipuzkoa,%,5.1
2013,Emakumea,Gipuzkoa,%,6.0
2013,Gizona,,%,4.7
2018,Gizona,,%,3.3
2023,Gizona,,%,7.6
2023,Gizona,Araba / Álava,%,7.9
2013,Gizona,Araba / Álava,%,5.1
2018,Gizona,Araba / Álava,%,1.6
2013,Gizona,Bizkaia,%,4.5
2023,Gizona,Bizkaia,%,6.4
2018,Gizona,Bizkaia,%,3.1
2013,Gizona,Gipuzkoa,%,4.8
2023,Gizona,Gipuzkoa,%,9.4
2018,Gizona,Gipuzkoa,%,4.2
