Year,Administrazio publikoa,Units,Value
2018,Administrazio autonomikoa eta tokikoa,Euro per capita,27.6
2017,Administrazio autonomikoa eta tokikoa,Euro per capita,25.7
2015,Administrazio autonomikoa eta tokikoa,Euro per capita,25.7
2019,Administrazio autonomikoa eta tokikoa,Euro per capita,29.2
2020,Administrazio autonomikoa eta tokikoa,Euro per capita,29.2
2021,Administrazio autonomikoa eta tokikoa,Euro per capita,30.2
2016,Administrazio autonomikoa eta tokikoa,Euro per capita,24.7
2020,Administrazio autonomikoa,Euro per capita,9.6
2015,Administrazio autonomikoa,Euro per capita,7.3
2017,Administrazio autonomikoa,Euro per capita,7.9
2013,Administrazio autonomikoa,Euro per capita,6.4
2012,Administrazio autonomikoa,Euro per capita,8.2
2018,Administrazio autonomikoa,Euro per capita,8.4
2011,Administrazio autonomikoa,Euro per capita,10.6
2021,Administrazio autonomikoa,Euro per capita,9.1
2010,Administrazio autonomikoa,Euro per capita,14.1
2016,Administrazio autonomikoa,Euro per capita,7.1
2019,Administrazio autonomikoa,Euro per capita,8.6
2014,Administrazio autonomikoa,Euro per capita,15.2
2015,Toki-administrazioa,Euro per capita,18.4
2016,Toki-administrazioa,Euro per capita,17.6
2017,Toki-administrazioa,Euro per capita,17.9
2018,Toki-administrazioa,Euro per capita,19.2
2019,Toki-administrazioa,Euro per capita,20.5
2020,Toki-administrazioa,Euro per capita,19.6
2021,Toki-administrazioa,Euro per capita,21.1
