Year,Partikula esekiak,Units,Value
2017,"PM 2,5",Mikrogramoak metro kubikoko,9.8
2018,"PM 2,5",Mikrogramoak metro kubikoko,9.9
2019,"PM 2,5",Mikrogramoak metro kubikoko,9.0
2012,"PM 2,5",Mikrogramoak metro kubikoko,10.1
2020,"PM 2,5",Mikrogramoak metro kubikoko,8.8
2014,"PM 2,5",Mikrogramoak metro kubikoko,9.2
2016,"PM 2,5",Mikrogramoak metro kubikoko,8.6
2022,"PM 2,5",Mikrogramoak metro kubikoko,10.4
2015,"PM 2,5",Mikrogramoak metro kubikoko,10.1
2021,"PM 2,5",Mikrogramoak metro kubikoko,10.0
2010,"PM 2,5",Mikrogramoak metro kubikoko,11.3
2013,"PM 2,5",Mikrogramoak metro kubikoko,10.5
2011,"PM 2,5",Mikrogramoak metro kubikoko,11.1
2023,"PM 2,5",Mikrogramoak metro kubikoko,9.5
2020,PM 10,Mikrogramoak metro kubikoko,15.6
2017,PM 10,Mikrogramoak metro kubikoko,17.9
2011,PM 10,Mikrogramoak metro kubikoko,27.0
2010,PM 10,Mikrogramoak metro kubikoko,24.2
2015,PM 10,Mikrogramoak metro kubikoko,17.9
2022,PM 10,Mikrogramoak metro kubikoko,17.7
2016,PM 10,Mikrogramoak metro kubikoko,15.3
2018,PM 10,Mikrogramoak metro kubikoko,16.7
2013,PM 10,Mikrogramoak metro kubikoko,15.9
2012,PM 10,Mikrogramoak metro kubikoko,26.7
2021,PM 10,Mikrogramoak metro kubikoko,16.1
2019,PM 10,Mikrogramoak metro kubikoko,16.3
2023,PM 10,Mikrogramoak metro kubikoko,16.4
2014,PM 10,Mikrogramoak metro kubikoko,17.4
