Year,Lurralde historikoa,Units,Value
2022,,%,33.3
2012,,%,33.4
2021,,%,32.4
2016,,%,36.3
2017,,%,37.6
2013,,%,41.3
2014,,%,34.5
2011,,%,28.3
2023,,%,32.2
2020,,%,33.8
2010,,%,29.5
2018,,%,39.3
2019,,%,41.3
2024,,%,32.4
2015,,%,35.0
2013,Araba / Álava,%,30.2
2010,Araba / Álava,%,20.8
2017,Araba / Álava,%,25.5
2014,Araba / Álava,%,24.1
2018,Araba / Álava,%,29.6
2020,Araba / Álava,%,28.8
2021,Araba / Álava,%,29.7
2011,Araba / Álava,%,20.8
2024,Araba / Álava,%,29.2
2015,Araba / Álava,%,24.4
2022,Araba / Álava,%,30.0
2023,Araba / Álava,%,28.1
2019,Araba / Álava,%,27.0
2012,Araba / Álava,%,21.0
2016,Araba / Álava,%,26.9
2011,Bizkaia,%,28.9
2013,Bizkaia,%,43.1
2014,Bizkaia,%,39.1
2015,Bizkaia,%,37.2
2017,Bizkaia,%,44.7
2018,Bizkaia,%,44.6
2019,Bizkaia,%,46.1
2021,Bizkaia,%,30.6
2022,Bizkaia,%,31.9
2023,Bizkaia,%,30.2
2024,Bizkaia,%,30.2
2010,Bizkaia,%,30.1
2020,Bizkaia,%,33.0
2016,Bizkaia,%,40.3
2012,Bizkaia,%,42.7
2024,Gipuzkoa,%,37.2
2010,Gipuzkoa,%,32.0
2011,Gipuzkoa,%,30.1
2012,Gipuzkoa,%,23.7
2013,Gipuzkoa,%,42.6
2014,Gipuzkoa,%,31.4
2015,Gipuzkoa,%,35.8
2016,Gipuzkoa,%,35.0
2017,Gipuzkoa,%,32.1
2018,Gipuzkoa,%,35.1
2019,Gipuzkoa,%,39.1
2020,Gipuzkoa,%,37.6
2021,Gipuzkoa,%,36.6
2022,Gipuzkoa,%,37.3
2023,Gipuzkoa,%,36.8
