Year,Series,Isurketa sektorea,Units,Value
2010,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Sektore energetikoa,CO2 tona  baliokideak,7710563.12
2018,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Zerbitzuak,CO2 tona  baliokideak,441397.99
2022,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",,CO2 tona  baliokideak,18257908.89
2022,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Garraioa,CO2 tona  baliokideak,6352811.46
2018,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Nekazaritza,CO2 tona  baliokideak,705609.85
2018,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Egoitza,CO2 tona  baliokideak,912744.58
2021,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Sektore energetikoa,CO2 tona  baliokideak,5375563.35
2014,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Zerbitzuak,CO2 tona  baliokideak,447981.35
2015,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Garraioa,CO2 tona  baliokideak,5839117.52
2010,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Egoitza,CO2 tona  baliokideak,890544.04
2017,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Hondakinak,CO2 tona  baliokideak,881603.52
2023,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Industria,CO2 tona  baliokideak,3017839.88
2012,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Egoitza,CO2 tona  baliokideak,814790.05
2015,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Nekazaritza,CO2 tona  baliokideak,836730.99
2019,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Egoitza,CO2 tona  baliokideak,841921.51
2013,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Zerbitzuak,CO2 tona  baliokideak,465257.0
2020,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Egoitza,CO2 tona  baliokideak,772217.44
2014,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Sektore energetikoa,CO2 tona  baliokideak,6491899.67
2022,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Nekazaritza,CO2 tona  baliokideak,587652.02
2019,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Garraioa,CO2 tona  baliokideak,6354869.76
2021,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",,CO2 tona  baliokideak,17607243.41
2011,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Garraioa,CO2 tona  baliokideak,5112741.02
2021,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Nekazaritza,CO2 tona  baliokideak,713636.88
2013,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Hondakinak,CO2 tona  baliokideak,1022212.49
2016,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",,CO2 tona  baliokideak,18745087.37
2021,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Hondakinak,CO2 tona  baliokideak,746430.27
2018,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Industria,CO2 tona  baliokideak,3476428.15
2021,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Industria,CO2 tona  baliokideak,3464322.87
2013,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Industria,CO2 tona  baliokideak,3604364.38
2020,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Industria,CO2 tona  baliokideak,2878943.22
2012,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Nekazaritza,CO2 tona  baliokideak,802660.0
2016,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Egoitza,CO2 tona  baliokideak,659969.21
2022,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Zerbitzuak,CO2 tona  baliokideak,358609.96
2018,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Hondakinak,CO2 tona  baliokideak,835547.82
2012,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Zerbitzuak,CO2 tona  baliokideak,488692.35
2022,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Egoitza,CO2 tona  baliokideak,803982.93
2013,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Sektore energetikoa,CO2 tona  baliokideak,6623455.82
2012,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Industria,CO2 tona  baliokideak,4024916.89
2018,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Sektore energetikoa,CO2 tona  baliokideak,6295263.29
2019,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",,CO2 tona  baliokideak,18599385.12
2015,"Berotegi-efektuko gasen isurketak, guztira, urtearen arabera",Sektore energetikoa,CO2 tona  baliokideak,6950651.82
