Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2010,AG_LND_FRST,,,,PT,,54.9
2022,AG_LND_FRST,,,,PT,,54.8
2020,AG_LND_FRST,,,,PT,,54.7
2018,AG_LND_FRST,,,,PT,,54.2
2019,AG_LND_FRST,,,,PT,,54.5
2021,AG_LND_FRST,,,,PT,,54.8
2016,AG_LND_FRST,,,,PT,,54.9
2021,AG_LND_FRST,,,ES48001,PT,ES48001,53.3
2022,AG_LND_FRST,,,ES48001,PT,ES48001,53.4
2020,AG_LND_FRST,,,ES48001,PT,ES48001,53.3
2018,AG_LND_FRST,,,ES48001,PT,ES48001,52.5
2019,AG_LND_FRST,,,ES48001,PT,ES48001,52.8
2016,AG_LND_FRST,,,ES48001,PT,ES48001,53.5
2010,AG_LND_FRST,,,ES48001,PT,ES48001,53.3
2019,AG_LND_FRST,,,ES20001,PT,ES20001,50.4
2018,AG_LND_FRST,,,ES20001,PT,ES20001,50.4
2016,AG_LND_FRST,,,ES20001,PT,ES20001,52.5
2010,AG_LND_FRST,,,ES20001,PT,ES20001,53.5
2022,AG_LND_FRST,,,ES20001,PT,ES20001,50.4
2020,AG_LND_FRST,,,ES20001,PT,ES20001,50.4
2021,AG_LND_FRST,,,ES20001,PT,ES20001,50.4
2022,AG_LND_FRST,,,ES48002,PT,ES48002,29.9
2018,AG_LND_FRST,,,ES48002,PT,ES48002,35.7
2021,AG_LND_FRST,,,ES48002,PT,ES48002,29.9
2020,AG_LND_FRST,,,ES48002,PT,ES48002,29.9
2010,AG_LND_FRST,,,ES48002,PT,ES48002,35.7
2019,AG_LND_FRST,,,ES48002,PT,ES48002,29.4
2016,AG_LND_FRST,,,ES48002,PT,ES48002,35.7
2018,AG_LND_FRST,,,ES20002,PT,ES20002,62.3
2020,AG_LND_FRST,,,ES20002,PT,ES20002,62.2
2016,AG_LND_FRST,,,ES20002,PT,ES20002,65.3
2010,AG_LND_FRST,,,ES20002,PT,ES20002,67.0
2019,AG_LND_FRST,,,ES20002,PT,ES20002,62.2
2022,AG_LND_FRST,,,ES20002,PT,ES20002,62.2
2021,AG_LND_FRST,,,ES20002,PT,ES20002,62.2
2018,AG_LND_FRST,,,ES01051,PT,ES01051,20.4
2016,AG_LND_FRST,,,ES01051,PT,ES01051,20.4
2019,AG_LND_FRST,,,ES01051,PT,ES01051,20.4
2020,AG_LND_FRST,,,ES01051,PT,ES01051,20.4
2010,AG_LND_FRST,,,ES01051,PT,ES01051,19.8
2021,AG_LND_FRST,,,ES01051,PT,ES01051,20.4
2022,AG_LND_FRST,,,ES01051,PT,ES01051,20.4
2018,AG_LND_FRST,,,ES20016,PT,ES20016,50.3
2021,AG_LND_FRST,,,ES20016,PT,ES20016,51.0
2019,AG_LND_FRST,,,ES20016,PT,ES20016,50.9
2020,AG_LND_FRST,,,ES20016,PT,ES20016,51.0
2016,AG_LND_FRST,,,ES20016,PT,ES20016,51.4
2010,AG_LND_FRST,,,ES20016,PT,ES20016,51.6
2022,AG_LND_FRST,,,ES20016,PT,ES20016,51.0
2016,AG_LND_FRST,,,ES20003,PT,ES20003,36.3
2021,AG_LND_FRST,,,ES20003,PT,ES20003,34.3
2020,AG_LND_FRST,,,ES20003,PT,ES20003,34.1
2010,AG_LND_FRST,,,ES20003,PT,ES20003,37.8
2018,AG_LND_FRST,,,ES20003,PT,ES20003,33.4
2022,AG_LND_FRST,,,ES20003,PT,ES20003,34.3
2019,AG_LND_FRST,,,ES20003,PT,ES20003,34.1
2010,AG_LND_FRST,,,ES48911,PT,ES48911,53.7
2020,AG_LND_FRST,,,ES48911,PT,ES48911,54.9
2016,AG_LND_FRST,,,ES48911,PT,ES48911,57.1
2022,AG_LND_FRST,,,ES48911,PT,ES48911,55.0
2019,AG_LND_FRST,,,ES48911,PT,ES48911,54.7
2021,AG_LND_FRST,,,ES48911,PT,ES48911,54.9
2018,AG_LND_FRST,,,ES48911,PT,ES48911,54.5
2016,AG_LND_FRST,,,ES20004,PT,ES20004,65.3
2020,AG_LND_FRST,,,ES20004,PT,ES20004,64.4
2018,AG_LND_FRST,,,ES20004,PT,ES20004,63.9
2010,AG_LND_FRST,,,ES20004,PT,ES20004,68.9
2022,AG_LND_FRST,,,ES20004,PT,ES20004,64.6
2019,AG_LND_FRST,,,ES20004,PT,ES20004,64.0
2021,AG_LND_FRST,,,ES20004,PT,ES20004,64.4
2019,AG_LND_FRST,,,ES20005,PT,ES20005,69.4
2021,AG_LND_FRST,,,ES20005,PT,ES20005,69.4
2010,AG_LND_FRST,,,ES20005,PT,ES20005,72.6
2016,AG_LND_FRST,,,ES20005,PT,ES20005,71.2
2020,AG_LND_FRST,,,ES20005,PT,ES20005,69.4
2018,AG_LND_FRST,,,ES20005,PT,ES20005,68.8
2022,AG_LND_FRST,,,ES20005,PT,ES20005,69.4
2018,AG_LND_FRST,,,ES01001,PT,ES01001,32.9
2019,AG_LND_FRST,,,ES01001,PT,ES01001,32.9
2021,AG_LND_FRST,,,ES01001,PT,ES01001,32.9
2022,AG_LND_FRST,,,ES01001,PT,ES01001,32.9
2020,AG_LND_FRST,,,ES01001,PT,ES01001,32.9
2016,AG_LND_FRST,,,ES01001,PT,ES01001,32.9
2010,AG_LND_FRST,,,ES01001,PT,ES01001,33.6
2018,AG_LND_FRST,,,ES20006,PT,ES20006,68.0
2021,AG_LND_FRST,,,ES20006,PT,ES20006,68.0
2016,AG_LND_FRST,,,ES20006,PT,ES20006,68.9
2010,AG_LND_FRST,,,ES20006,PT,ES20006,70.4
2020,AG_LND_FRST,,,ES20006,PT,ES20006,68.0
2022,AG_LND_FRST,,,ES20006,PT,ES20006,67.9
2019,AG_LND_FRST,,,ES20006,PT,ES20006,68.1
2018,AG_LND_FRST,,,ES48912,PT,ES48912,52.4
2019,AG_LND_FRST,,,ES48912,PT,ES48912,52.1
2022,AG_LND_FRST,,,ES48912,PT,ES48912,54.5
2021,AG_LND_FRST,,,ES48912,PT,ES48912,54.5
2016,AG_LND_FRST,,,ES48912,PT,ES48912,51.5
2010,AG_LND_FRST,,,ES48912,PT,ES48912,47.6
2020,AG_LND_FRST,,,ES48912,PT,ES48912,54.6
2019,AG_LND_FRST,,,ES20906,PT,ES20906,61.1
