Year,Esplotazio mota,Units,Value
2021,,100.000 biztanleko,0.0
2022,,100.000 biztanleko,0.1
2024,,100.000 biztanleko,0.2
2016,,100.000 biztanleko,0.0
2023,,100.000 biztanleko,0.1
2018,,100.000 biztanleko,0.0
2020,,100.000 biztanleko,2.1
2019,,100.000 biztanleko,0.8
2017,,100.000 biztanleko,0.1
2021,Sexu-esplotazioa,100.000 biztanleko,0.0
2020,Sexu-esplotazioa,100.000 biztanleko,0.1
2019,Sexu-esplotazioa,100.000 biztanleko,0.8
2014,Sexu-esplotazioa,100.000 biztanleko,0.0
2015,Sexu-esplotazioa,100.000 biztanleko,0.1
2012,Sexu-esplotazioa,100.000 biztanleko,0.1
2016,Sexu-esplotazioa,100.000 biztanleko,0.0
2023,Sexu-esplotazioa,100.000 biztanleko,0.0
2013,Sexu-esplotazioa,100.000 biztanleko,0.4
2024,Sexu-esplotazioa,100.000 biztanleko,0.2
2022,Sexu-esplotazioa,100.000 biztanleko,0.0
2018,Sexu-esplotazioa,100.000 biztanleko,0.0
2017,Sexu-esplotazioa,100.000 biztanleko,0.1
2016,"Lan behartua, morrontza eta esklabotza",100.000 biztanleko,0.0
2024,"Lan behartua, morrontza eta esklabotza",100.000 biztanleko,0.0
2019,"Lan behartua, morrontza eta esklabotza",100.000 biztanleko,0.0
2017,"Lan behartua, morrontza eta esklabotza",100.000 biztanleko,0.0
2020,"Lan behartua, morrontza eta esklabotza",100.000 biztanleko,2.0
2021,"Lan behartua, morrontza eta esklabotza",100.000 biztanleko,0.0
2018,"Lan behartua, morrontza eta esklabotza",100.000 biztanleko,0.0
2022,"Lan behartua, morrontza eta esklabotza",100.000 biztanleko,0.1
2015,"Lan behartua, morrontza eta esklabotza",100.000 biztanleko,0.0
2023,"Lan behartua, morrontza eta esklabotza",100.000 biztanleko,0.1
2021,Organoak lortzea,100.000 biztanleko,0.0
2016,Organoak lortzea,100.000 biztanleko,0.0
2017,Organoak lortzea,100.000 biztanleko,0.0
2018,Organoak lortzea,100.000 biztanleko,0.0
2019,Organoak lortzea,100.000 biztanleko,0.0
2020,Organoak lortzea,100.000 biztanleko,0.0
2019,Beste helburu batzuk,100.000 biztanleko,0.0
2020,Beste helburu batzuk,100.000 biztanleko,0.0
2021,Beste helburu batzuk,100.000 biztanleko,0.0
2022,Beste helburu batzuk,100.000 biztanleko,0.0
2023,Beste helburu batzuk,100.000 biztanleko,0.0
2024,Beste helburu batzuk,100.000 biztanleko,0.0
2016,Beste helburu batzuk,100.000 biztanleko,0.0
2017,Beste helburu batzuk,100.000 biztanleko,0.0
2018,Beste helburu batzuk,100.000 biztanleko,0.0
