Year,Zerbitzu publikoak,Units,Value
2023,,%,56.9
2021,,%,55.1
2018,,%,57.4
2013,,%,40.2
2020,,%,54.1
2016,,%,50.4
2014,,%,41.2
2022,,%,51.0
2025,,%,52.8
2015,,%,46.3
2011,,%,47.7
2024,,%,47.9
2019,,%,57.3
2017,,%,57.4
2012,,%,50.3
2025,Irakaskuntza,%,60.2
2023,Irakaskuntza,%,65.3
2012,Irakaskuntza,%,66.0
2014,Irakaskuntza,%,54.0
2021,Irakaskuntza,%,54.4
2013,Irakaskuntza,%,45.5
2020,Irakaskuntza,%,56.5
2011,Irakaskuntza,%,66.7
2018,Irakaskuntza,%,70.9
2017,Irakaskuntza,%,69.5
2022,Irakaskuntza,%,60.9
2016,Irakaskuntza,%,60.0
2019,Irakaskuntza,%,72.2
2015,Irakaskuntza,%,59.4
2024,Irakaskuntza,%,54.1
2012,Osasun-arreta,%,70.1
2025,Osasun-arreta,%,56.0
2021,Osasun-arreta,%,75.0
2019,Osasun-arreta,%,81.5
2018,Osasun-arreta,%,84.3
2022,Osasun-arreta,%,59.5
2020,Osasun-arreta,%,77.2
2023,Osasun-arreta,%,62.7
2024,Osasun-arreta,%,45.9
2013,Osasun-arreta,%,50.9
2015,Osasun-arreta,%,67.5
2017,Osasun-arreta,%,79.0
2011,Osasun-arreta,%,73.1
2014,Osasun-arreta,%,69.5
2016,Osasun-arreta,%,67.2
2025,Pentsioen kudeaketa,%,50.7
2021,Pentsioen kudeaketa,%,39.2
2014,Pentsioen kudeaketa,%,21.3
2015,Pentsioen kudeaketa,%,21.5
2016,Pentsioen kudeaketa,%,23.5
2018,Pentsioen kudeaketa,%,19.1
2019,Pentsioen kudeaketa,%,30.9
2020,Pentsioen kudeaketa,%,42.2
2022,Pentsioen kudeaketa,%,37.0
2023,Pentsioen kudeaketa,%,52.4
2024,Pentsioen kudeaketa,%,40.0
2011,Pentsioen kudeaketa,%,32.0
2012,Pentsioen kudeaketa,%,36.0
2013,Pentsioen kudeaketa,%,21.2
2017,Pentsioen kudeaketa,%,40.2
2017,Justizia-administrazioa,%,19.4
2025,Justizia-administrazioa,%,17.2
2012,Justizia-administrazioa,%,9.5
2023,Justizia-administrazioa,%,22.4
2018,Justizia-administrazioa,%,19.4
2022,Justizia-administrazioa,%,20.6
2016,Justizia-administrazioa,%,11.4
2020,Justizia-administrazioa,%,17.5
2019,Justizia-administrazioa,%,19.4
2021,Justizia-administrazioa,%,16.9
2024,Justizia-administrazioa,%,21.7
2011,Justizia-administrazioa,%,15.0
2015,Justizia-administrazioa,%,11.2
2014,Justizia-administrazioa,%,12.0
2013,Justizia-administrazioa,%,13.5
2013,Herritarren segurtasuna,%,53.6
2011,Herritarren segurtasuna,%,32.2
2012,Herritarren segurtasuna,%,59.3
2014,Herritarren segurtasuna,%,46.1
2015,Herritarren segurtasuna,%,60.2
2016,Herritarren segurtasuna,%,61.7
2017,Herritarren segurtasuna,%,66.9
2018,Herritarren segurtasuna,%,72.6
2019,Herritarren segurtasuna,%,60.2
2020,Herritarren segurtasuna,%,55.3
2021,Herritarren segurtasuna,%,61.5
2022,Herritarren segurtasuna,%,56.2
2023,Herritarren segurtasuna,%,59.5
2024,Herritarren segurtasuna,%,53.2
2025,Herritarren segurtasuna,%,52.5
2020,Gizarte zerbitzuak,%,58.3
2011,Gizarte zerbitzuak,%,35.2
2013,Gizarte zerbitzuak,%,32.7
2014,Gizarte zerbitzuak,%,30.3
2015,Gizarte zerbitzuak,%,36.4
2017,Gizarte zerbitzuak,%,57.1
2018,Gizarte zerbitzuak,%,60.5
2019,Gizarte zerbitzuak,%,57.5
