Year,Series,Erakundea,Lurralde historikoa,Units,Value
2010,"Legebiltzarreko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez",,,Ratioa,0.91
2011,"Legebiltzarreko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez",,,Ratioa,0.91
2023,"Legebiltzarreko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez",,,Ratioa,0.99
2014,"Legebiltzarreko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez",,,Ratioa,0.99
2018,"Legebiltzarreko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez",,,Ratioa,1.07
2021,"Legebiltzarreko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez",,,Ratioa,1.01
2017,"Legebiltzarreko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez",,,Ratioa,1.07
2022,"Legebiltzarreko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez",,,Ratioa,1.01
2015,"Legebiltzarreko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez",,,Ratioa,0.99
2020,"Legebiltzarreko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez",,,Ratioa,1.01
2013,"Legebiltzarreko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez",,,Ratioa,0.99
2019,"Legebiltzarreko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez",,,Ratioa,1.07
2016,"Legebiltzarreko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez",,,Ratioa,1.07
2012,"Legebiltzarreko emakumeen proportzioa, biztanleriako emakumeen proportzioari dagokionez",,,Ratioa,0.99
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,,Ratioa,1.23
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,,Ratioa,1.16
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,,Ratioa,1.16
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,,Ratioa,1.16
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,,Ratioa,1.14
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,,Ratioa,1.29
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,,Ratioa,1.13
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,,Ratioa,1.15
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,,Ratioa,1.19
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,,Ratioa,1.21
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,,Ratioa,1.12
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,,Ratioa,1.17
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,,Ratioa,1.22
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,,Ratioa,1.23
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Araba / Álava,Ratioa,1.19
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Araba / Álava,Ratioa,1.2
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Araba / Álava,Ratioa,1.28
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Araba / Álava,Ratioa,1.22
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Araba / Álava,Ratioa,1.16
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Araba / Álava,Ratioa,1.2
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Araba / Álava,Ratioa,1.27
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Araba / Álava,Ratioa,1.25
