Year,Units,Value
2010,"Logika (1 = Bai, -1 = Ez)",1
2011,"Logika (1 = Bai, -1 = Ez)",1
2012,"Logika (1 = Bai, -1 = Ez)",1
2013,"Logika (1 = Bai, -1 = Ez)",1
2014,"Logika (1 = Bai, -1 = Ez)",1
2015,"Logika (1 = Bai, -1 = Ez)",1
2016,"Logika (1 = Bai, -1 = Ez)",1
2017,"Logika (1 = Bai, -1 = Ez)",1
2018,"Logika (1 = Bai, -1 = Ez)",1
2019,"Logika (1 = Bai, -1 = Ez)",1
2020,"Logika (1 = Bai, -1 = Ez)",1
2021,"Logika (1 = Bai, -1 = Ez)",1
2022,"Logika (1 = Bai, -1 = Ez)",1
2023,"Logika (1 = Bai, -1 = Ez)",1
