Year,Series,Units,Value
2020,"Atzerrira egindako diru-bidalketen bolumena, BPGrekiko proportzioan",%,0.51
2023,"Atzerrira egindako diru-bidalketen bolumena, BPGrekiko proportzioan",%,0.51
2019,"Atzerrira egindako diru-bidalketen bolumena, BPGrekiko proportzioan",%,0.47
2017,"Atzerrira egindako diru-bidalketen bolumena, BPGrekiko proportzioan",%,0.43
2015,"Atzerrira egindako diru-bidalketen bolumena, BPGrekiko proportzioan",%,0.39
2024,"Atzerrira egindako diru-bidalketen bolumena, BPGrekiko proportzioan",%,0.51
2021,"Atzerrira egindako diru-bidalketen bolumena, BPGrekiko proportzioan",%,0.53
2013,"Atzerrira egindako diru-bidalketen bolumena, BPGrekiko proportzioan",%,0.38
2016,"Atzerrira egindako diru-bidalketen bolumena, BPGrekiko proportzioan",%,0.41
2014,"Atzerrira egindako diru-bidalketen bolumena, BPGrekiko proportzioan",%,0.36
2022,"Atzerrira egindako diru-bidalketen bolumena, BPGrekiko proportzioan",%,0.52
2018,"Atzerrira egindako diru-bidalketen bolumena, BPGrekiko proportzioan",%,0.45
2013,Atzerrira egindako diru-bidalketen bolumena,Milioi euroak,249.06
2014,Atzerrira egindako diru-bidalketen bolumena,Milioi euroak,244.69
2015,Atzerrira egindako diru-bidalketen bolumena,Milioi euroak,268.77
2016,Atzerrira egindako diru-bidalketen bolumena,Milioi euroak,291.52
2018,Atzerrira egindako diru-bidalketen bolumena,Milioi euroak,349.76
2019,Atzerrira egindako diru-bidalketen bolumena,Milioi euroak,373.68
2023,Atzerrira egindako diru-bidalketen bolumena,Milioi euroak,472.79
2017,Atzerrira egindako diru-bidalketen bolumena,Milioi euroak,322.91
2020,Atzerrira egindako diru-bidalketen bolumena,Milioi euroak,370.65
2021,Atzerrira egindako diru-bidalketen bolumena,Milioi euroak,416.76
2022,Atzerrira egindako diru-bidalketen bolumena,Milioi euroak,452.03
2024,Atzerrira egindako diru-bidalketen bolumena,Milioi euroak,503.36
