Year,Teknologia,Lurralde historikoa,Units,Value
2021,,,100 pertsonako,38.8
2023,,,100 pertsonako,41.4
2015,,,100 pertsonako,32.0
2016,,,100 pertsonako,33.4
2012,,,100 pertsonako,26.9
2018,,,100 pertsonako,35.4
2020,,,100 pertsonako,37.3
2014,,,100 pertsonako,30.6
2022,,,100 pertsonako,39.3
2019,,,100 pertsonako,36.5
2024,,,100 pertsonako,42.2
2013,,,100 pertsonako,29.0
2017,,,100 pertsonako,33.9
2010,,,100 pertsonako,24.6
2011,,,100 pertsonako,26.0
2024,,Araba / Álava,100 pertsonako,41.4
2023,,Araba / Álava,100 pertsonako,40.7
2019,,Araba / Álava,100 pertsonako,35.9
2015,,Araba / Álava,100 pertsonako,31.9
2013,,Araba / Álava,100 pertsonako,29.0
2022,,Araba / Álava,100 pertsonako,39.1
2011,,Araba / Álava,100 pertsonako,26.1
2020,,Araba / Álava,100 pertsonako,36.2
2021,,Araba / Álava,100 pertsonako,39.1
2014,,Araba / Álava,100 pertsonako,30.6
2012,,Araba / Álava,100 pertsonako,26.6
2018,,Araba / Álava,100 pertsonako,35.9
2010,,Araba / Álava,100 pertsonako,24.9
2016,,Araba / Álava,100 pertsonako,34.3
2017,,Araba / Álava,100 pertsonako,34.7
2019,,Bizkaia,100 pertsonako,36.5
2011,,Bizkaia,100 pertsonako,25.7
2014,,Bizkaia,100 pertsonako,30.1
2013,,Bizkaia,100 pertsonako,28.7
2023,,Bizkaia,100 pertsonako,41.3
2017,,Bizkaia,100 pertsonako,32.8
2012,,Bizkaia,100 pertsonako,26.5
2010,,Bizkaia,100 pertsonako,24.2
2024,,Bizkaia,100 pertsonako,42.2
2022,,Bizkaia,100 pertsonako,39.0
2020,,Bizkaia,100 pertsonako,37.4
2021,,Bizkaia,100 pertsonako,38.5
2018,,Bizkaia,100 pertsonako,35.0
2016,,Bizkaia,100 pertsonako,32.8
2015,,Bizkaia,100 pertsonako,31.6
2017,,Gipuzkoa,100 pertsonako,35.2
2016,,Gipuzkoa,100 pertsonako,33.9
2014,,Gipuzkoa,100 pertsonako,31.4
2010,,Gipuzkoa,100 pertsonako,25.2
2022,,Gipuzkoa,100 pertsonako,39.9
2020,,Gipuzkoa,100 pertsonako,37.5
2015,,Gipuzkoa,100 pertsonako,32.7
2024,,Gipuzkoa,100 pertsonako,42.7
2021,,Gipuzkoa,100 pertsonako,39.2
2011,,Gipuzkoa,100 pertsonako,26.4
2019,,Gipuzkoa,100 pertsonako,36.7
2012,,Gipuzkoa,100 pertsonako,27.6
2013,,Gipuzkoa,100 pertsonako,29.5
2023,,Gipuzkoa,100 pertsonako,41.7
2018,,Gipuzkoa,100 pertsonako,35.6
2014,DSL,,100 pertsonako,16.6
2023,DSL,,100 pertsonako,0.7
2013,DSL,,100 pertsonako,16.6
2017,DSL,,100 pertsonako,8.3
2012,DSL,,100 pertsonako,15.3
2024,DSL,,100 pertsonako,0.1
