Year,Series,Lurralde historikoa,Units,Value
2018,Elikagaien ekoizle txikien batez besteko diru-sarrerak,,Eurotan,7612.6
2020,Elikagaien ekoizle txikien batez besteko diru-sarrerak,,Eurotan,3757.6
2019,Elikagaien ekoizle txikien batez besteko diru-sarrerak,,Eurotan,7899.9
2016,Elikagaien ekoizle txikien batez besteko diru-sarrerak,,Eurotan,8479.1
2015,Elikagaien ekoizle txikien batez besteko diru-sarrerak,,Eurotan,7680.2
2017,Elikagaien ekoizle txikien batez besteko diru-sarrerak,,Eurotan,6744.6
2021,Elikagaien ekoizle txikien batez besteko diru-sarrerak,,Eurotan,4033.8
2016,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Araba / Álava,Eurotan,17907.0
2021,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Araba / Álava,Eurotan,7234.3
2017,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Araba / Álava,Eurotan,12241.1
2019,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Araba / Álava,Eurotan,12267.3
2020,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Araba / Álava,Eurotan,7637.6
2018,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Araba / Álava,Eurotan,14879.2
2015,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Araba / Álava,Eurotan,18898.2
2018,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Bizkaia,Eurotan,7334.5
2015,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Bizkaia,Eurotan,6274.2
2017,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Bizkaia,Eurotan,5406.1
2019,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Bizkaia,Eurotan,11525.0
2016,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Bizkaia,Eurotan,7118.4
2021,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Bizkaia,Eurotan,5118.8
2020,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Bizkaia,Eurotan,7641.5
2015,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Gipuzkoa,Eurotan,4877.0
2021,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Gipuzkoa,Eurotan,2926.6
2018,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Gipuzkoa,Eurotan,6386.2
2020,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Gipuzkoa,Eurotan,1816.6
2017,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Gipuzkoa,Eurotan,6196.0
2019,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Gipuzkoa,Eurotan,5670.4
2016,Elikagaien ekoizle txikien batez besteko diru-sarrerak,Gipuzkoa,Eurotan,6939.4
2018,Elikagaien ekoizle handien batez besteko diru-sarrerak,,Eurotan,15931.4
2015,Elikagaien ekoizle handien batez besteko diru-sarrerak,,Eurotan,13529.1
2019,Elikagaien ekoizle handien batez besteko diru-sarrerak,,Eurotan,17862.3
2020,Elikagaien ekoizle handien batez besteko diru-sarrerak,,Eurotan,16492.3
2021,Elikagaien ekoizle handien batez besteko diru-sarrerak,,Eurotan,18226.4
2017,Elikagaien ekoizle handien batez besteko diru-sarrerak,,Eurotan,19387.5
2016,Elikagaien ekoizle handien batez besteko diru-sarrerak,,Eurotan,15834.3
2016,Elikagaien ekoizle handien batez besteko diru-sarrerak,Araba / Álava,Eurotan,17472.5
2015,Elikagaien ekoizle handien batez besteko diru-sarrerak,Araba / Álava,Eurotan,9404.4
2020,Elikagaien ekoizle handien batez besteko diru-sarrerak,Araba / Álava,Eurotan,20197.8
2018,Elikagaien ekoizle handien batez besteko diru-sarrerak,Araba / Álava,Eurotan,18254.9
2017,Elikagaien ekoizle handien batez besteko diru-sarrerak,Araba / Álava,Eurotan,19983.4
2019,Elikagaien ekoizle handien batez besteko diru-sarrerak,Araba / Álava,Eurotan,22051.5
2021,Elikagaien ekoizle handien batez besteko diru-sarrerak,Araba / Álava,Eurotan,33766.7
2021,Elikagaien ekoizle handien batez besteko diru-sarrerak,Bizkaia,Eurotan,14025.1
2020,Elikagaien ekoizle handien batez besteko diru-sarrerak,Bizkaia,Eurotan,20190.1
2018,Elikagaien ekoizle handien batez besteko diru-sarrerak,Bizkaia,Eurotan,12988.9
2015,Elikagaien ekoizle handien batez besteko diru-sarrerak,Bizkaia,Eurotan,14542.8
2017,Elikagaien ekoizle handien batez besteko diru-sarrerak,Bizkaia,Eurotan,18102.8
2016,Elikagaien ekoizle handien batez besteko diru-sarrerak,Bizkaia,Eurotan,15362.7
2019,Elikagaien ekoizle handien batez besteko diru-sarrerak,Bizkaia,Eurotan,17973.2
2021,Elikagaien ekoizle handien batez besteko diru-sarrerak,Gipuzkoa,Eurotan,11246.8
2015,Elikagaien ekoizle handien batez besteko diru-sarrerak,Gipuzkoa,Eurotan,15465.7
2019,Elikagaien ekoizle handien batez besteko diru-sarrerak,Gipuzkoa,Eurotan,15346.9
2018,Elikagaien ekoizle handien batez besteko diru-sarrerak,Gipuzkoa,Eurotan,15629.8
2017,Elikagaien ekoizle handien batez besteko diru-sarrerak,Gipuzkoa,Eurotan,19512.8
2016,Elikagaien ekoizle handien batez besteko diru-sarrerak,Gipuzkoa,Eurotan,15024.3
2020,Elikagaien ekoizle handien batez besteko diru-sarrerak,Gipuzkoa,Eurotan,13018.2
