Year,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2020,,,,%,,0.7
2016,,,,%,,0.7
2018,,,,%,,0.8
2024,,,,%,,0.8
2012,,,,%,,0.8
2019,,,,%,,0.8
2015,,,,%,,0.7
2022,,,,%,,0.8
2014,,,,%,,0.7
2017,,,,%,,0.9
2023,,,,%,,0.9
2013,,,,%,,0.8
2010,,,,%,,0.7
2011,,,,%,,0.7
2021,,,,%,,0.8
2021,,,Abadiño,%,Abadiño,0.2
2016,,,Abadiño,%,Abadiño,0.2
2014,,,Abadiño,%,Abadiño,0.1
2022,,,Abadiño,%,Abadiño,0.3
2020,,,Abadiño,%,Abadiño,0.2
2017,,,Abadiño,%,Abadiño,0.2
2015,,,Abadiño,%,Abadiño,0.1
2019,,,Abadiño,%,Abadiño,0.2
2018,,,Abadiño,%,Abadiño,0.2
2016,,,Abaltzisketa,%,Abaltzisketa,6.1
2015,,,Abaltzisketa,%,Abaltzisketa,7.6
2017,,,Abaltzisketa,%,Abaltzisketa,5.6
2021,,,Abaltzisketa,%,Abaltzisketa,6.2
2018,,,Abaltzisketa,%,Abaltzisketa,4.5
2020,,,Abaltzisketa,%,Abaltzisketa,5.2
2019,,,Abaltzisketa,%,Abaltzisketa,5.2
2014,,,Abaltzisketa,%,Abaltzisketa,5.2
2022,,,Abaltzisketa,%,Abaltzisketa,8.2
2021,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,0.2
2017,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,0.2
2018,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,0.2
2015,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,0.3
2014,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,0.4
2022,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,0.2
2020,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,0.2
2019,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,0.2
2016,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,0.2
2015,,,Aduna,%,Aduna,0.6
2019,,,Aduna,%,Aduna,0.5
2021,,,Aduna,%,Aduna,0.4
2018,,,Aduna,%,Aduna,0.4
2020,,,Aduna,%,Aduna,0.3
2014,,,Aduna,%,Aduna,0.5
2017,,,Aduna,%,Aduna,0.6
2016,,,Aduna,%,Aduna,0.5
2022,,,Aduna,%,Aduna,0.3
2014,,,Agurain / Salvatierra,%,Agurain / Salvatierra,2.4
2015,,,Agurain / Salvatierra,%,Agurain / Salvatierra,2.3
2018,,,Agurain / Salvatierra,%,Agurain / Salvatierra,1.3
2022,,,Agurain / Salvatierra,%,Agurain / Salvatierra,1.1
2017,,,Agurain / Salvatierra,%,Agurain / Salvatierra,1.5
2016,,,Agurain / Salvatierra,%,Agurain / Salvatierra,1.9
2021,,,Agurain / Salvatierra,%,Agurain / Salvatierra,1.3
2019,,,Agurain / Salvatierra,%,Agurain / Salvatierra,1.3
2020,,,Agurain / Salvatierra,%,Agurain / Salvatierra,1.2
2017,,,Aia,%,Aia,4.5
2020,,,Aia,%,Aia,4.1
2022,,,Aia,%,Aia,4.8
2018,,,Aia,%,Aia,3.6
2019,,,Aia,%,Aia,4.3
2021,,,Aia,%,Aia,3.9
2014,,,Aia,%,Aia,4.6
2016,,,Aia,%,Aia,4.0
2015,,,Aia,%,Aia,4.5
2017,,,Aizarnazabal,%,Aizarnazabal,0.9
2016,,,Aizarnazabal,%,Aizarnazabal,0.8
2020,,,Aizarnazabal,%,Aizarnazabal,1.0
2022,,,Aizarnazabal,%,Aizarnazabal,0.8
2021,,,Aizarnazabal,%,Aizarnazabal,0.8
2019,,,Aizarnazabal,%,Aizarnazabal,0.8
2018,,,Aizarnazabal,%,Aizarnazabal,0.8
2015,,,Aizarnazabal,%,Aizarnazabal,0.9
2014,,,Aizarnazabal,%,Aizarnazabal,0.7
2018,,,Ajangiz,%,Ajangiz,0.7
