Year,Sexo,Territorio,Units,Value
2019,,,PER_1000_LIVE_BIRTHS,3.57
2021,,,PER_1000_LIVE_BIRTHS,2.95
2023,,,PER_1000_LIVE_BIRTHS,3.12
2020,,,PER_1000_LIVE_BIRTHS,3.05
2022,,,PER_1000_LIVE_BIRTHS,3.59
2010,,,PER_1000_LIVE_BIRTHS,3.5
2016,,,PER_1000_LIVE_BIRTHS,3.18
2013,,,PER_1000_LIVE_BIRTHS,2.77
2014,,,PER_1000_LIVE_BIRTHS,2.89
2017,,,PER_1000_LIVE_BIRTHS,2.75
2015,,,PER_1000_LIVE_BIRTHS,3.45
2011,,,PER_1000_LIVE_BIRTHS,3.35
2012,,,PER_1000_LIVE_BIRTHS,3.17
2018,,,PER_1000_LIVE_BIRTHS,3.6
2010,,ES211,PER_1000_LIVE_BIRTHS,2.99
2017,,ES211,PER_1000_LIVE_BIRTHS,3.04
2019,,ES211,PER_1000_LIVE_BIRTHS,2.34
2013,,ES211,PER_1000_LIVE_BIRTHS,3.23
2012,,ES211,PER_1000_LIVE_BIRTHS,3.34
2016,,ES211,PER_1000_LIVE_BIRTHS,3.25
2023,,ES211,PER_1000_LIVE_BIRTHS,4.96
2011,,ES211,PER_1000_LIVE_BIRTHS,3.79
2018,,ES211,PER_1000_LIVE_BIRTHS,4.47
2022,,ES211,PER_1000_LIVE_BIRTHS,4.41
2014,,ES211,PER_1000_LIVE_BIRTHS,3.05
2015,,ES211,PER_1000_LIVE_BIRTHS,2.53
2020,,ES211,PER_1000_LIVE_BIRTHS,3.34
2021,,ES211,PER_1000_LIVE_BIRTHS,3.8
2011,,ES213,PER_1000_LIVE_BIRTHS,3.74
2012,,ES213,PER_1000_LIVE_BIRTHS,3.19
2013,,ES213,PER_1000_LIVE_BIRTHS,2.47
2016,,ES213,PER_1000_LIVE_BIRTHS,3.39
2022,,ES213,PER_1000_LIVE_BIRTHS,3.35
2019,,ES213,PER_1000_LIVE_BIRTHS,3.89
2014,,ES213,PER_1000_LIVE_BIRTHS,2.57
2023,,ES213,PER_1000_LIVE_BIRTHS,3.45
2020,,ES213,PER_1000_LIVE_BIRTHS,3.01
2018,,ES213,PER_1000_LIVE_BIRTHS,3.65
2010,,ES213,PER_1000_LIVE_BIRTHS,4.15
2015,,ES213,PER_1000_LIVE_BIRTHS,4.39
2021,,ES213,PER_1000_LIVE_BIRTHS,2.73
2017,,ES213,PER_1000_LIVE_BIRTHS,2.82
2017,,ES212,PER_1000_LIVE_BIRTHS,2.5
2018,,ES212,PER_1000_LIVE_BIRTHS,3.11
2022,,ES212,PER_1000_LIVE_BIRTHS,3.55
2013,,ES212,PER_1000_LIVE_BIRTHS,3.02
2021,,ES212,PER_1000_LIVE_BIRTHS,2.84
2010,,ES212,PER_1000_LIVE_BIRTHS,2.77
2019,,ES212,PER_1000_LIVE_BIRTHS,3.7
2015,,ES212,PER_1000_LIVE_BIRTHS,2.52
2016,,ES212,PER_1000_LIVE_BIRTHS,2.66
2011,,ES212,PER_1000_LIVE_BIRTHS,2.55
2012,,ES212,PER_1000_LIVE_BIRTHS,3.04
2020,,ES212,PER_1000_LIVE_BIRTHS,2.99
2023,,ES212,PER_1000_LIVE_BIRTHS,1.75
2014,,ES212,PER_1000_LIVE_BIRTHS,3.3
2016,F,,PER_1000_LIVE_BIRTHS,2.8
2015,F,,PER_1000_LIVE_BIRTHS,3.4
2013,F,,PER_1000_LIVE_BIRTHS,2.58
2012,F,,PER_1000_LIVE_BIRTHS,3.57
2014,F,,PER_1000_LIVE_BIRTHS,2.84
2022,F,,PER_1000_LIVE_BIRTHS,2.42
2021,F,,PER_1000_LIVE_BIRTHS,2.77
2019,F,,PER_1000_LIVE_BIRTHS,3.33
2017,F,,PER_1000_LIVE_BIRTHS,2.18
2010,F,,PER_1000_LIVE_BIRTHS,3.77
2020,F,,PER_1000_LIVE_BIRTHS,2.82
2018,F,,PER_1000_LIVE_BIRTHS,3.7
2023,F,,PER_1000_LIVE_BIRTHS,3.05
2011,F,,PER_1000_LIVE_BIRTHS,4.23
2022,F,ES211,PER_1000_LIVE_BIRTHS,1.83
2018,F,ES211,PER_1000_LIVE_BIRTHS,3.08
2020,F,ES211,PER_1000_LIVE_BIRTHS,1.72
2010,F,ES211,PER_1000_LIVE_BIRTHS,2.49
2021,F,ES211,PER_1000_LIVE_BIRTHS,3.53
2019,F,ES211,PER_1000_LIVE_BIRTHS,2.39
