Year,Lurralde historikoa,Sexua,Units,Value
2023,,,Bizirik jaiotako 1.000 umeko,1.8
2017,,,Bizirik jaiotako 1.000 umeko,1.4
2020,,,Bizirik jaiotako 1.000 umeko,1.8
2024,,,Bizirik jaiotako 1.000 umeko,1.2
2019,,,Bizirik jaiotako 1.000 umeko,2.1
2014,,,Bizirik jaiotako 1.000 umeko,1.5
2013,,,Bizirik jaiotako 1.000 umeko,1.5
2011,,,Bizirik jaiotako 1.000 umeko,1.7
2010,,,Bizirik jaiotako 1.000 umeko,1.7
2022,,,Bizirik jaiotako 1.000 umeko,2.2
2016,,,Bizirik jaiotako 1.000 umeko,1.4
2021,,,Bizirik jaiotako 1.000 umeko,1.5
2018,,,Bizirik jaiotako 1.000 umeko,2.2
2012,,,Bizirik jaiotako 1.000 umeko,1.7
2015,,,Bizirik jaiotako 1.000 umeko,1.7
2010,Araba / Álava,,Bizirik jaiotako 1.000 umeko,1.5
2019,Araba / Álava,,Bizirik jaiotako 1.000 umeko,1.6
2017,Araba / Álava,,Bizirik jaiotako 1.000 umeko,1.0
2022,Araba / Álava,,Bizirik jaiotako 1.000 umeko,3.1
2023,Araba / Álava,,Bizirik jaiotako 1.000 umeko,3.6
2015,Araba / Álava,,Bizirik jaiotako 1.000 umeko,0.9
2011,Araba / Álava,,Bizirik jaiotako 1.000 umeko,2.0
2021,Araba / Álava,,Bizirik jaiotako 1.000 umeko,3.0
2018,Araba / Álava,,Bizirik jaiotako 1.000 umeko,1.5
2020,Araba / Álava,,Bizirik jaiotako 1.000 umeko,1.3
2024,Araba / Álava,,Bizirik jaiotako 1.000 umeko,2.9
2016,Araba / Álava,,Bizirik jaiotako 1.000 umeko,1.6
2012,Araba / Álava,,Bizirik jaiotako 1.000 umeko,2.4
2013,Araba / Álava,,Bizirik jaiotako 1.000 umeko,1.3
2014,Araba / Álava,,Bizirik jaiotako 1.000 umeko,1.8
2019,Bizkaia,,Bizirik jaiotako 1.000 umeko,2.6
2020,Bizkaia,,Bizirik jaiotako 1.000 umeko,1.8
2015,Bizkaia,,Bizirik jaiotako 1.000 umeko,2.1
2011,Bizkaia,,Bizirik jaiotako 1.000 umeko,2.1
2012,Bizkaia,,Bizirik jaiotako 1.000 umeko,1.7
2016,Bizkaia,,Bizirik jaiotako 1.000 umeko,1.6
2018,Bizkaia,,Bizirik jaiotako 1.000 umeko,2.6
2010,Bizkaia,,Bizirik jaiotako 1.000 umeko,2.4
2014,Bizkaia,,Bizirik jaiotako 1.000 umeko,1.3
2021,Bizkaia,,Bizirik jaiotako 1.000 umeko,1.1
2013,Bizkaia,,Bizirik jaiotako 1.000 umeko,1.0
2023,Bizkaia,,Bizirik jaiotako 1.000 umeko,1.6
2022,Bizkaia,,Bizirik jaiotako 1.000 umeko,2.2
2017,Bizkaia,,Bizirik jaiotako 1.000 umeko,1.9
2024,Bizkaia,,Bizirik jaiotako 1.000 umeko,0.8
2018,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,1.8
2015,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,1.4
2013,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,2.2
