Year,Series,Sexua,Units,Value
2020,Tuberkulosiaren intzidentzia 100.000 biztanleko,,100.000 biztanleko,10.7
2022,Tuberkulosiaren intzidentzia 100.000 biztanleko,,100.000 biztanleko,10.8
2024,Tuberkulosiaren intzidentzia 100.000 biztanleko,,100.000 biztanleko,10.7
2014,Tuberkulosiaren intzidentzia 100.000 biztanleko,,100.000 biztanleko,14.8
2021,Tuberkulosiaren intzidentzia 100.000 biztanleko,,100.000 biztanleko,8.4
2012,Tuberkulosiaren intzidentzia 100.000 biztanleko,,100.000 biztanleko,15.8
2013,Tuberkulosiaren intzidentzia 100.000 biztanleko,,100.000 biztanleko,14.8
2018,Tuberkulosiaren intzidentzia 100.000 biztanleko,,100.000 biztanleko,9.9
2016,Tuberkulosiaren intzidentzia 100.000 biztanleko,,100.000 biztanleko,12.7
2019,Tuberkulosiaren intzidentzia 100.000 biztanleko,,100.000 biztanleko,9.0
2015,Tuberkulosiaren intzidentzia 100.000 biztanleko,,100.000 biztanleko,11.8
2017,Tuberkulosiaren intzidentzia 100.000 biztanleko,,100.000 biztanleko,10.5
2023,Tuberkulosiaren intzidentzia 100.000 biztanleko,,100.000 biztanleko,11.0
2015,Tuberkulosiaren intzidentzia 100.000 biztanleko,Emakumea,100.000 biztanleko,9.7
2020,Tuberkulosiaren intzidentzia 100.000 biztanleko,Emakumea,100.000 biztanleko,7.8
2017,Tuberkulosiaren intzidentzia 100.000 biztanleko,Emakumea,100.000 biztanleko,8.5
2019,Tuberkulosiaren intzidentzia 100.000 biztanleko,Emakumea,100.000 biztanleko,6.6
2022,Tuberkulosiaren intzidentzia 100.000 biztanleko,Emakumea,100.000 biztanleko,8.5
2018,Tuberkulosiaren intzidentzia 100.000 biztanleko,Emakumea,100.000 biztanleko,6.9
2021,Tuberkulosiaren intzidentzia 100.000 biztanleko,Emakumea,100.000 biztanleko,6.7
2014,Tuberkulosiaren intzidentzia 100.000 biztanleko,Emakumea,100.000 biztanleko,12.1
2024,Tuberkulosiaren intzidentzia 100.000 biztanleko,Emakumea,100.000 biztanleko,7.3
2012,Tuberkulosiaren intzidentzia 100.000 biztanleko,Emakumea,100.000 biztanleko,12.5
2013,Tuberkulosiaren intzidentzia 100.000 biztanleko,Emakumea,100.000 biztanleko,12.2
2023,Tuberkulosiaren intzidentzia 100.000 biztanleko,Emakumea,100.000 biztanleko,8.2
2016,Tuberkulosiaren intzidentzia 100.000 biztanleko,Emakumea,100.000 biztanleko,9.6
2018,Tuberkulosiaren intzidentzia 100.000 biztanleko,Gizona,100.000 biztanleko,13.1
2021,Tuberkulosiaren intzidentzia 100.000 biztanleko,Gizona,100.000 biztanleko,10.1
2023,Tuberkulosiaren intzidentzia 100.000 biztanleko,Gizona,100.000 biztanleko,14.0
2020,Tuberkulosiaren intzidentzia 100.000 biztanleko,Gizona,100.000 biztanleko,13.9
2016,Tuberkulosiaren intzidentzia 100.000 biztanleko,Gizona,100.000 biztanleko,15.9
2022,Tuberkulosiaren intzidentzia 100.000 biztanleko,Gizona,100.000 biztanleko,13.3
2017,Tuberkulosiaren intzidentzia 100.000 biztanleko,Gizona,100.000 biztanleko,12.6
2013,Tuberkulosiaren intzidentzia 100.000 biztanleko,Gizona,100.000 biztanleko,17.5
2012,Tuberkulosiaren intzidentzia 100.000 biztanleko,Gizona,100.000 biztanleko,19.3
2015,Tuberkulosiaren intzidentzia 100.000 biztanleko,Gizona,100.000 biztanleko,14.0
2019,Tuberkulosiaren intzidentzia 100.000 biztanleko,Gizona,100.000 biztanleko,11.6
2014,Tuberkulosiaren intzidentzia 100.000 biztanleko,Gizona,100.000 biztanleko,17.7
2024,Tuberkulosiaren intzidentzia 100.000 biztanleko,Gizona,100.000 biztanleko,14.3
