Year,Series,Adina,Units,Value
2021,Nerabeen ugalkortasun-tasa (10-14 urte eta 15-19 urte),10-14 urte,1.000 biztanleko,0.1
2020,Nerabeen ugalkortasun-tasa (10-14 urte eta 15-19 urte),10-14 urte,1.000 biztanleko,0.0
2010,Nerabeen ugalkortasun-tasa (10-14 urte eta 15-19 urte),10-14 urte,1.000 biztanleko,0.1
2015,Nerabeen ugalkortasun-tasa (10-14 urte eta 15-19 urte),10-14 urte,1.000 biztanleko,0.0
2013,Nerabeen ugalkortasun-tasa (10-14 urte eta 15-19 urte),10-14 urte,1.000 biztanleko,0.1
2016,Nerabeen ugalkortasun-tasa (10-14 urte eta 15-19 urte),10-14 urte,1.000 biztanleko,0.0
2014,Nerabeen ugalkortasun-tasa (10-14 urte eta 15-19 urte),10-14 urte,1.000 biztanleko,0.0
2018,Nerabeen ugalkortasun-tasa (10-14 urte eta 15-19 urte),10-14 urte,1.000 biztanleko,0.1
2019,Nerabeen ugalkortasun-tasa (10-14 urte eta 15-19 urte),10-14 urte,1.000 biztanleko,0.0
2011,Nerabeen ugalkortasun-tasa (10-14 urte eta 15-19 urte),10-14 urte,1.000 biztanleko,0.0
2022,Nerabeen ugalkortasun-tasa (10-14 urte eta 15-19 urte),10-14 urte,1.000 biztanleko,0.1
2017,Nerabeen ugalkortasun-tasa (10-14 urte eta 15-19 urte),10-14 urte,1.000 biztanleko,0.1
2023,Nerabeen ugalkortasun-tasa (10-14 urte eta 15-19 urte),10-14 urte,1.000 biztanleko,0.0
2012,Nerabeen ugalkortasun-tasa (10-14 urte eta 15-19 urte),10-14 urte,1.000 biztanleko,0.1
2014,Nerabeen ugalkortasun-tasa (10-14 urte eta 15-19 urte),15-19 urte,1.000 biztanleko,5.7
2016,Nerabeen ugalkortasun-tasa (10-14 urte eta 15-19 urte),15-19 urte,1.000 biztanleko,4.8
2015,Nerabeen ugalkortasun-tasa (10-14 urte eta 15-19 urte),15-19 urte,1.000 biztanleko,5.0
2019,Nerabeen ugalkortasun-tasa (10-14 urte eta 15-19 urte),15-19 urte,1.000 biztanleko,4.0
2017,Nerabeen ugalkortasun-tasa (10-14 urte eta 15-19 urte),15-19 urte,1.000 biztanleko,4.4
2018,Nerabeen ugalkortasun-tasa (10-14 urte eta 15-19 urte),15-19 urte,1.000 biztanleko,3.7
2021,Nerabeen ugalkortasun-tasa (10-14 urte eta 15-19 urte),15-19 urte,1.000 biztanleko,3.0
2020,Nerabeen ugalkortasun-tasa (10-14 urte eta 15-19 urte),15-19 urte,1.000 biztanleko,3.3
2013,Nerabeen ugalkortasun-tasa (10-14 urte eta 15-19 urte),15-19 urte,1.000 biztanleko,5.7
2023,Nerabeen ugalkortasun-tasa (10-14 urte eta 15-19 urte),15-19 urte,1.000 biztanleko,3.1
2022,Nerabeen ugalkortasun-tasa (10-14 urte eta 15-19 urte),15-19 urte,1.000 biztanleko,3.1
2010,Nerabeen ugalkortasun-tasa (10-14 urte eta 15-19 urte),15-19 urte,1.000 biztanleko,6.5
2012,Nerabeen ugalkortasun-tasa (10-14 urte eta 15-19 urte),15-19 urte,1.000 biztanleko,6.0
2011,Nerabeen ugalkortasun-tasa (10-14 urte eta 15-19 urte),15-19 urte,1.000 biztanleko,5.9
