Year,Series,Sexua,Lurralde historikoa,Units,Value
2019,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,,,100.000 biztanleko,31.3
2017,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,,,100.000 biztanleko,29.0
2016,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,,,100.000 biztanleko,27.2
2015,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,,,100.000 biztanleko,39.5
2020,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,,,100.000 biztanleko,29.9
2021,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,,,100.000 biztanleko,30.0
2023,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,,,100.000 biztanleko,27.8
2018,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,,,100.000 biztanleko,41.1
2022,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,,,100.000 biztanleko,37.1
2020,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,,Araba / Álava,100.000 biztanleko,26.3
2015,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,,Araba / Álava,100.000 biztanleko,34.8
2019,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,,Araba / Álava,100.000 biztanleko,26.9
2021,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,,Araba / Álava,100.000 biztanleko,23.0
2023,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,,Araba / Álava,100.000 biztanleko,21.0
2018,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,,Araba / Álava,100.000 biztanleko,35.5
2022,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,,Araba / Álava,100.000 biztanleko,31.4
2017,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,,Araba / Álava,100.000 biztanleko,23.7
2016,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,,Araba / Álava,100.000 biztanleko,23.9
2019,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,,Bizkaia,100.000 biztanleko,36.2
2017,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,,Bizkaia,100.000 biztanleko,35.4
2018,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,,Bizkaia,100.000 biztanleko,46.1
2015,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,,Bizkaia,100.000 biztanleko,45.5
2016,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,,Bizkaia,100.000 biztanleko,33.2
2022,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,,Bizkaia,100.000 biztanleko,43.5
2021,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,,Bizkaia,100.000 biztanleko,36.7
