Year,Txerto mota,Units,Value
2023,"Difteriaren, tetanosaren eta kukutxeztula haurrengan",%,95.9
2018,"Difteriaren, tetanosaren eta kukutxeztula haurrengan",%,92.5
2021,"Difteriaren, tetanosaren eta kukutxeztula haurrengan",%,90.8
2017,"Difteriaren, tetanosaren eta kukutxeztula haurrengan",%,93.0
2020,"Difteriaren, tetanosaren eta kukutxeztula haurrengan",%,85.5
2022,"Difteriaren, tetanosaren eta kukutxeztula haurrengan",%,94.2
2019,"Difteriaren, tetanosaren eta kukutxeztula haurrengan",%,93.1
2024,"Difteriaren, tetanosaren eta kukutxeztula haurrengan",%,95.2
2023,Gaixotasun pneumokozikoa haurrengan,%,95.8
2020,Gaixotasun pneumokozikoa haurrengan,%,85.4
2021,Gaixotasun pneumokozikoa haurrengan,%,90.6
2019,Gaixotasun pneumokozikoa haurrengan,%,93.3
2022,Gaixotasun pneumokozikoa haurrengan,%,94.2
2017,Gaixotasun pneumokozikoa haurrengan,%,88.3
2018,Gaixotasun pneumokozikoa haurrengan,%,91.3
2024,Gaixotasun pneumokozikoa haurrengan,%,94.9
2017,"Elgorria, parotiditis eta errubeola haurrengan",%,94.7
2019,"Elgorria, parotiditis eta errubeola haurrengan",%,94.2
2018,"Elgorria, parotiditis eta errubeola haurrengan",%,93.5
2020,"Elgorria, parotiditis eta errubeola haurrengan",%,90.2
2021,"Elgorria, parotiditis eta errubeola haurrengan",%,83.3
2023,"Elgorria, parotiditis eta errubeola haurrengan",%,92.4
2022,"Elgorria, parotiditis eta errubeola haurrengan",%,88.1
2024,"Elgorria, parotiditis eta errubeola haurrengan",%,88.0
2017,Giza papilomaren birusa (GPB) nerabeetan,%,93.4
2018,Giza papilomaren birusa (GPB) nerabeetan,%,92.6
2019,Giza papilomaren birusa (GPB) nerabeetan,%,85.5
2020,Giza papilomaren birusa (GPB) nerabeetan,%,88.5
2023,Giza papilomaren birusa (GPB) nerabeetan,%,90.9
2021,Giza papilomaren birusa (GPB) nerabeetan,%,69.1
2022,Giza papilomaren birusa (GPB) nerabeetan,%,85.3
2024,Giza papilomaren birusa (GPB) nerabeetan,%,91.8
