Year,Konpetentzia,Sexua,Units,Value
2015,Irakurmena,,%,82.6
2012,Irakurmena,,%,85.6
2018,Irakurmena,,%,77.0
2022,Irakurmena,,%,74.2
2022,Irakurmena,Emakumea,%,80.1
2015,Irakurmena,Emakumea,%,86.6
2012,Irakurmena,Emakumea,%,90.1
2018,Irakurmena,Emakumea,%,83.6
2022,Irakurmena,Gizona,%,68.3
2015,Irakurmena,Gizona,%,78.4
2018,Irakurmena,Gizona,%,70.2
2012,Irakurmena,Gizona,%,81.1
2015,Matematika,,%,80.5
2012,Matematika,,%,84.5
2018,Matematika,,%,81.9
2022,Matematika,,%,77.3
2018,Matematika,Emakumea,%,83.4
2022,Matematika,Emakumea,%,78.0
2012,Matematika,Emakumea,%,83.4
2015,Matematika,Emakumea,%,79.9
2018,Matematika,Gizona,%,80.3
2015,Matematika,Gizona,%,81.1
2012,Matematika,Gizona,%,85.6
2022,Matematika,Gizona,%,76.7
