Year,Habilidad_IT,Sexo,Edad,Territorio,Units,Value
2021,ICT,,Y16T24,,PT,96.16
2023,ICT,,Y16T24,,PT,95.87
2020,ICT,,Y16T24,,PT,95.9
2022,ICT,,Y16T24,,PT,95.52
2019,ICT,,Y16T24,,PT,95.75
2020,ICT,,Y16T24,ES211,PT,98.43
2023,ICT,,Y16T24,ES211,PT,99.48
2022,ICT,,Y16T24,ES211,PT,94.58
2019,ICT,,Y16T24,ES211,PT,95.61
2021,ICT,,Y16T24,ES211,PT,96.8
2020,ICT,,Y16T24,ES213,PT,94.24
2019,ICT,,Y16T24,ES213,PT,97.06
2021,ICT,,Y16T24,ES213,PT,94.38
2023,ICT,,Y16T24,ES213,PT,93.78
2022,ICT,,Y16T24,ES213,PT,95.39
2020,ICT,,Y16T24,ES212,PT,97.22
2021,ICT,,Y16T24,ES212,PT,98.44
2022,ICT,,Y16T24,ES212,PT,96.1
2023,ICT,,Y16T24,ES212,PT,97.29
2019,ICT,,Y16T24,ES212,PT,94.0
2019,ICT,,Y16T74,,PT,67.04
2021,ICT,,Y16T74,,PT,75.0
2022,ICT,,Y16T74,,PT,68.79
2023,ICT,,Y16T74,,PT,71.49
2020,ICT,,Y16T74,,PT,69.83
2019,ICT,,Y16T74,ES211,PT,68.53
2023,ICT,,Y16T74,ES211,PT,71.3
2022,ICT,,Y16T74,ES211,PT,68.32
2021,ICT,,Y16T74,ES211,PT,75.39
2020,ICT,,Y16T74,ES211,PT,70.14
2021,ICT,,Y16T74,ES213,PT,74.63
2019,ICT,,Y16T74,ES213,PT,67.74
2022,ICT,,Y16T74,ES213,PT,68.54
2020,ICT,,Y16T74,ES213,PT,69.53
2023,ICT,,Y16T74,ES213,PT,71.26
2020,ICT,,Y16T74,ES212,PT,70.18
2022,ICT,,Y16T74,ES212,PT,69.41
2021,ICT,,Y16T74,ES212,PT,75.41
2019,ICT,,Y16T74,ES212,PT,65.24
2023,ICT,,Y16T74,ES212,PT,71.95
2020,ICT,,Y25T74,,PT,66.6
2021,ICT,,Y25T74,,PT,72.16
2023,ICT,,Y25T74,,PT,68.27
2022,ICT,,Y25T74,,PT,65.26
2019,ICT,,Y25T74,,PT,63.8
2022,ICT,,Y25T74,ES211,PT,65.18
2020,ICT,,Y25T74,ES211,PT,66.59
2021,ICT,,Y25T74,ES211,PT,72.47
2023,ICT,,Y25T74,ES211,PT,67.41
2019,ICT,,Y25T74,ES211,PT,65.47
2023,ICT,,Y25T74,ES213,PT,68.42
2021,ICT,,Y25T74,ES213,PT,72.12
2020,ICT,,Y25T74,ES213,PT,66.58
2019,ICT,,Y25T74,ES213,PT,64.66
2022,ICT,,Y25T74,ES213,PT,65.03
2020,ICT,,Y25T74,ES212,PT,66.64
2021,ICT,,Y25T74,ES212,PT,72.07
2022,ICT,,Y25T74,ES212,PT,65.66
2023,ICT,,Y25T74,ES212,PT,68.42
2019,ICT,,Y25T74,ES212,PT,61.65
2023,ICT,F,Y16T24,,PT,98.77
2020,ICT,F,Y16T24,,PT,96.5
2021,ICT,F,Y16T24,,PT,96.66
2019,ICT,F,Y16T24,,PT,97.88
2022,ICT,F,Y16T24,,PT,97.55
2023,ICT,F,Y16T24,ES211,PT,98.8
2022,ICT,F,Y16T24,ES211,PT,96.48
2021,ICT,F,Y16T24,ES211,PT,96.29
2019,ICT,F,Y16T24,ES211,PT,98.78
2020,ICT,F,Y16T24,ES211,PT,96.62
2023,ICT,F,Y16T24,ES213,PT,97.92
2019,ICT,F,Y16T24,ES213,PT,96.97
2021,ICT,F,Y16T24,ES213,PT,95.51
2022,ICT,F,Y16T24,ES213,PT,98.96
2020,ICT,F,Y16T24,ES213,PT,96.61
2020,ICT,F,Y16T24,ES212,PT,96.29
2022,ICT,F,Y16T24,ES212,PT,95.77
2023,ICT,F,Y16T24,ES212,PT,100.0
2019,ICT,F,Y16T24,ES212,PT,98.73
2021,ICT,F,Y16T24,ES212,PT,98.66
2020,ICT,F,Y16T74,,PT,68.3
2023,ICT,F,Y16T74,,PT,70.5
2019,ICT,F,Y16T74,,PT,64.5
2021,ICT,F,Y16T74,,PT,73.76
2022,ICT,F,Y16T74,,PT,68.2
2022,ICT,F,Y16T74,ES211,PT,67.8
2023,ICT,F,Y16T74,ES211,PT,72.84
2019,ICT,F,Y16T74,ES211,PT,66.12
2021,ICT,F,Y16T74,ES211,PT,74.42
2020,ICT,F,Y16T74,ES211,PT,70.78
