Year,Series,Lurralde historikoa,Units,Value
2022,Genero-parekotasunaren indizea hezkuntza-jarduerak egitean,,Ratioa,1.07
2011,Genero-parekotasunaren indizea hezkuntza-jarduerak egitean,,Ratioa,1.17
2016,Genero-parekotasunaren indizea hezkuntza-jarduerak egitean,,Ratioa,1.0
2022,Diru-sarrera parekotasunaren indizea hezkuntza-jarduerak egitean (goiko eta beheko kintilak),,Ratioa,0.6
2016,Diru-sarrera parekotasunaren indizea hezkuntza-jarduerak egitean (goiko eta beheko kintilak),,Ratioa,0.6
2011,Diru-sarrera parekotasunaren indizea hezkuntza-jarduerak egitean (goiko eta beheko kintilak),,Ratioa,0.64
2016,Osasun-parekotasunaren indizea hezkuntza-jarduerak egitean,,Ratioa,0.66
2022,Osasun-parekotasunaren indizea hezkuntza-jarduerak egitean,,Ratioa,0.7
2021,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),,Ratioa,1.02
2015,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),,Ratioa,0.91
2014,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),,Ratioa,0.91
2010,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),,Ratioa,0.99
2019,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),,Ratioa,0.9
2022,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),,Ratioa,1.01
2016,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),,Ratioa,0.94
2018,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),,Ratioa,0.88
2024,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),,Ratioa,0.97
2017,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),,Ratioa,0.92
2020,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),,Ratioa,0.99
2013,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),,Ratioa,0.93
