Year,Series,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2019,Edateko ura duten etxebizitzen proportzioa,,,,%,,99.9
2023,Edateko ura duten etxebizitzen proportzioa,,,,%,,99.9
2010,Bainugela duten etxebizitzen proportzioa,,,,%,,99.5
2022,Edateko ura duten etxebizitzen proportzioa,,,,%,,99.9
2014,Edateko ura duten etxebizitzen proportzioa,,,,%,,99.9
2015,Bainugela duten etxebizitzen proportzioa,,,,%,,99.6
2021,Edateko ura duten etxebizitzen proportzioa,,,,%,,99.9
2013,Edateko ura duten etxebizitzen proportzioa,,,,%,,99.9
2021,Bainugela duten etxebizitzen proportzioa,,,,%,,99.8
2016,Edateko ura duten etxebizitzen proportzioa,,,,%,,99.9
2015,Edateko ura duten etxebizitzen proportzioa,,,,%,,99.9
2020,Bainugela duten etxebizitzen proportzioa,,,,%,,99.8
2016,Bainugela duten etxebizitzen proportzioa,,,,%,,99.6
2020,Edateko ura duten etxebizitzen proportzioa,,,,%,,99.9
2018,Edateko ura duten etxebizitzen proportzioa,,,,%,,99.9
2013,Bainugela duten etxebizitzen proportzioa,,,,%,,99.6
2023,Bainugela duten etxebizitzen proportzioa,,,,%,,99.8
2019,Bainugela duten etxebizitzen proportzioa,,,,%,,99.6
2022,Bainugela duten etxebizitzen proportzioa,,,,%,,99.8
2014,Bainugela duten etxebizitzen proportzioa,,,,%,,99.6
2018,Bainugela duten etxebizitzen proportzioa,,,,%,,99.6
2010,Edateko ura duten etxebizitzen proportzioa,,,,%,,99.9
2022,Edateko ura duten etxebizitzen proportzioa,,,Abadiño,%,Abadiño,100.0
2015,Bainugela duten etxebizitzen proportzioa,,,Abadiño,%,Abadiño,99.7
2016,Edateko ura duten etxebizitzen proportzioa,,,Abadiño,%,Abadiño,100.0
2010,Bainugela duten etxebizitzen proportzioa,,,Abadiño,%,Abadiño,99.7
2023,Edateko ura duten etxebizitzen proportzioa,,,Abadiño,%,Abadiño,100.0
2015,Edateko ura duten etxebizitzen proportzioa,,,Abadiño,%,Abadiño,100.0
2013,Bainugela duten etxebizitzen proportzioa,,,Abadiño,%,Abadiño,99.7
2019,Bainugela duten etxebizitzen proportzioa,,,Abadiño,%,Abadiño,99.8
2020,Edateko ura duten etxebizitzen proportzioa,,,Abadiño,%,Abadiño,100.0
2021,Edateko ura duten etxebizitzen proportzioa,,,Abadiño,%,Abadiño,100.0
2021,Bainugela duten etxebizitzen proportzioa,,,Abadiño,%,Abadiño,100.0
2019,Edateko ura duten etxebizitzen proportzioa,,,Abadiño,%,Abadiño,100.0
2010,Edateko ura duten etxebizitzen proportzioa,,,Abadiño,%,Abadiño,100.0
2018,Bainugela duten etxebizitzen proportzioa,,,Abadiño,%,Abadiño,99.8
2022,Bainugela duten etxebizitzen proportzioa,,,Abadiño,%,Abadiño,100.0
2014,Bainugela duten etxebizitzen proportzioa,,,Abadiño,%,Abadiño,99.7
2020,Bainugela duten etxebizitzen proportzioa,,,Abadiño,%,Abadiño,100.0
2018,Edateko ura duten etxebizitzen proportzioa,,,Abadiño,%,Abadiño,100.0
2014,Edateko ura duten etxebizitzen proportzioa,,,Abadiño,%,Abadiño,100.0
2013,Edateko ura duten etxebizitzen proportzioa,,,Abadiño,%,Abadiño,100.0
2016,Bainugela duten etxebizitzen proportzioa,,,Abadiño,%,Abadiño,99.7
2023,Bainugela duten etxebizitzen proportzioa,,,Abadiño,%,Abadiño,100.0
2019,Edateko ura duten etxebizitzen proportzioa,,,Abaltzisketa,%,Abaltzisketa,99.1
2018,Edateko ura duten etxebizitzen proportzioa,,,Abaltzisketa,%,Abaltzisketa,99.1
2020,Edateko ura duten etxebizitzen proportzioa,,,Abaltzisketa,%,Abaltzisketa,99.1
2014,Edateko ura duten etxebizitzen proportzioa,,,Abaltzisketa,%,Abaltzisketa,99.1
2018,Bainugela duten etxebizitzen proportzioa,,,Abaltzisketa,%,Abaltzisketa,97.3
2014,Bainugela duten etxebizitzen proportzioa,,,Abaltzisketa,%,Abaltzisketa,97.3
2022,Bainugela duten etxebizitzen proportzioa,,,Abaltzisketa,%,Abaltzisketa,98.1
2013,Bainugela duten etxebizitzen proportzioa,,,Abaltzisketa,%,Abaltzisketa,97.3
2021,Bainugela duten etxebizitzen proportzioa,,,Abaltzisketa,%,Abaltzisketa,98.2
2015,Bainugela duten etxebizitzen proportzioa,,,Abaltzisketa,%,Abaltzisketa,97.3
2016,Bainugela duten etxebizitzen proportzioa,,,Abaltzisketa,%,Abaltzisketa,97.3
2020,Bainugela duten etxebizitzen proportzioa,,,Abaltzisketa,%,Abaltzisketa,97.3
2023,Edateko ura duten etxebizitzen proportzioa,,,Abaltzisketa,%,Abaltzisketa,99.1
2021,Edateko ura duten etxebizitzen proportzioa,,,Abaltzisketa,%,Abaltzisketa,99.1
2022,Edateko ura duten etxebizitzen proportzioa,,,Abaltzisketa,%,Abaltzisketa,99.1
2023,Bainugela duten etxebizitzen proportzioa,,,Abaltzisketa,%,Abaltzisketa,98.2
2010,Edateko ura duten etxebizitzen proportzioa,,,Abaltzisketa,%,Abaltzisketa,99.1
2010,Bainugela duten etxebizitzen proportzioa,,,Abaltzisketa,%,Abaltzisketa,99.1
