Year,Sexua,Adina,Egoitza,Desgaitasunik ez duten pertsonak,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2015,,16 urte eta gehiago,,,,,,%,,15.7
2019,,16 urte eta gehiago,,,,,,%,,9.8
2012,,16 urte eta gehiago,,,,,,%,,11.8
2014,,16 urte eta gehiago,,,,,,%,,16.1
2010,,16 urte eta gehiago,,,,,,%,,9.2
2016,,16 urte eta gehiago,,,,,,%,,13.8
2018,,16 urte eta gehiago,,,,,,%,,10.5
2017,,16 urte eta gehiago,,,,,,%,,11.6
2011,,16 urte eta gehiago,,,,,,%,,10.8
2021,,16 urte eta gehiago,,,,,,%,,10.0
2023,,16 urte eta gehiago,,,,,,%,,7.8
2013,,16 urte eta gehiago,,,,,,%,,15.1
2022,,16 urte eta gehiago,,,,,,%,,8.6
2020,,16 urte eta gehiago,,,,,,%,,10.6
2016,,16 urte eta gehiago,,,,,Abadiño,%,Abadiño,12.0
2021,,16 urte eta gehiago,,,,,Abadiño,%,Abadiño,10.7
2018,,16 urte eta gehiago,,,,,Abadiño,%,Abadiño,9.7
2019,,16 urte eta gehiago,,,,,Abadiño,%,Abadiño,9.1
2020,,16 urte eta gehiago,,,,,Abadiño,%,Abadiño,8.7
2010,,16 urte eta gehiago,,,,,Abadiño,%,Abadiño,9.2
2015,,16 urte eta gehiago,,,,,Abadiño,%,Abadiño,13.9
2019,,16 urte eta gehiago,,,,,Abaltzisketa,%,Abaltzisketa,5.0
2020,,16 urte eta gehiago,,,,,Abaltzisketa,%,Abaltzisketa,2.9
2010,,16 urte eta gehiago,,,,,Abaltzisketa,%,Abaltzisketa,7.1
2021,,16 urte eta gehiago,,,,,Abaltzisketa,%,Abaltzisketa,3.0
2016,,16 urte eta gehiago,,,,,Abaltzisketa,%,Abaltzisketa,7.5
2018,,16 urte eta gehiago,,,,,Abaltzisketa,%,Abaltzisketa,10.1
2015,,16 urte eta gehiago,,,,,Abaltzisketa,%,Abaltzisketa,6.6
2021,,16 urte eta gehiago,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,14.3
2018,,16 urte eta gehiago,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,14.1
2016,,16 urte eta gehiago,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,18.7
2019,,16 urte eta gehiago,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,12.5
2010,,16 urte eta gehiago,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,9.8
2020,,16 urte eta gehiago,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,13.0
2015,,16 urte eta gehiago,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,17.8
2016,,16 urte eta gehiago,,,,,Aduna,%,Aduna,8.5
2018,,16 urte eta gehiago,,,,,Aduna,%,Aduna,4.0
2015,,16 urte eta gehiago,,,,,Aduna,%,Aduna,11.4
2020,,16 urte eta gehiago,,,,,Aduna,%,Aduna,3.6
2010,,16 urte eta gehiago,,,,,Aduna,%,Aduna,5.4
2021,,16 urte eta gehiago,,,,,Aduna,%,Aduna,1.2
2019,,16 urte eta gehiago,,,,,Aduna,%,Aduna,2.8
2020,,16 urte eta gehiago,,,,,Agurain / Salvatierra,%,Agurain / Salvatierra,14.7
2016,,16 urte eta gehiago,,,,,Agurain / Salvatierra,%,Agurain / Salvatierra,16.6
2018,,16 urte eta gehiago,,,,,Agurain / Salvatierra,%,Agurain / Salvatierra,14.5
2015,,16 urte eta gehiago,,,,,Agurain / Salvatierra,%,Agurain / Salvatierra,18.6
2010,,16 urte eta gehiago,,,,,Agurain / Salvatierra,%,Agurain / Salvatierra,10.4
2019,,16 urte eta gehiago,,,,,Agurain / Salvatierra,%,Agurain / Salvatierra,13.1
2021,,16 urte eta gehiago,,,,,Agurain / Salvatierra,%,Agurain / Salvatierra,14.9
2018,,16 urte eta gehiago,,,,,Aia,%,Aia,8.3
2010,,16 urte eta gehiago,,,,,Aia,%,Aia,8.0
2020,,16 urte eta gehiago,,,,,Aia,%,Aia,5.8
2015,,16 urte eta gehiago,,,,,Aia,%,Aia,11.2
2021,,16 urte eta gehiago,,,,,Aia,%,Aia,6.5
2016,,16 urte eta gehiago,,,,,Aia,%,Aia,10.2
2019,,16 urte eta gehiago,,,,,Aia,%,Aia,6.5
2015,,16 urte eta gehiago,,,,,Aizarnazabal,%,Aizarnazabal,17.0
2020,,16 urte eta gehiago,,,,,Aizarnazabal,%,Aizarnazabal,9.7
2010,,16 urte eta gehiago,,,,,Aizarnazabal,%,Aizarnazabal,11.0
2021,,16 urte eta gehiago,,,,,Aizarnazabal,%,Aizarnazabal,11.6
2019,,16 urte eta gehiago,,,,,Aizarnazabal,%,Aizarnazabal,11.7
2018,,16 urte eta gehiago,,,,,Aizarnazabal,%,Aizarnazabal,12.2
2016,,16 urte eta gehiago,,,,,Aizarnazabal,%,Aizarnazabal,15.1
2016,,16 urte eta gehiago,,,,,Ajangiz,%,Ajangiz,5.4
2019,,16 urte eta gehiago,,,,,Ajangiz,%,Ajangiz,4.2
2018,,16 urte eta gehiago,,,,,Ajangiz,%,Ajangiz,6.0
2021,,16 urte eta gehiago,,,,,Ajangiz,%,Ajangiz,6.3
2020,,16 urte eta gehiago,,,,,Ajangiz,%,Ajangiz,7.3
2010,,16 urte eta gehiago,,,,,Ajangiz,%,Ajangiz,7.8
2015,,16 urte eta gehiago,,,,,Ajangiz,%,Ajangiz,8.1
2019,,16 urte eta gehiago,,,,,Albiztur,%,Albiztur,2.1
