Year,Series,Units,Value
2016,Gazteen enplegurako estrategia publikoen ezarpen maila,Indizea,3.0
2017,Gazteen enplegurako estrategia publikoen ezarpen maila,Indizea,3.0
2018,Gazteen enplegurako estrategia publikoen ezarpen maila,Indizea,3.0
2014,Gazteen enplegurako estrategia publikoen ezarpen maila,Indizea,3.0
2020,Gazteen enplegurako estrategia publikoen ezarpen maila,Indizea,3.0
2019,Gazteen enplegurako estrategia publikoen ezarpen maila,Indizea,3.0
2015,Gazteen enplegurako estrategia publikoen ezarpen maila,Indizea,3.0
2012,Gazteen enplegurako estrategia publikoen ezarpen maila,Indizea,3.0
2013,Gazteen enplegurako estrategia publikoen ezarpen maila,Indizea,3.0
2024,Gazteen enplegurako estrategia publikoen ezarpen maila,Indizea,3.0
2011,Gazteen enplegurako estrategia publikoen ezarpen maila,Indizea,3.0
2022,Gazteen enplegurako estrategia publikoen ezarpen maila,Indizea,3.0
2021,Gazteen enplegurako estrategia publikoen ezarpen maila,Indizea,3.0
2023,Gazteen enplegurako estrategia publikoen ezarpen maila,Indizea,3.0
2010,Gazteen enplegurako estrategia publikoen ezarpen maila,Indizea,3.0
2025,Gazteen enplegurako estrategia publikoen ezarpen maila,Indizea,3.0
2011,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,Milioi euroak,399.9
2013,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,Milioi euroak,321.7
2020,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,Milioi euroak,424.0
2014,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,Milioi euroak,319.8
2012,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,Milioi euroak,527.1
2015,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,Milioi euroak,341.3
2022,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,Milioi euroak,528.6
2023,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,Milioi euroak,422.8
2010,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,Milioi euroak,94.6
2021,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,Milioi euroak,405.3
2017,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,Milioi euroak,363.0
2016,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,Milioi euroak,333.6
2019,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,Milioi euroak,408.7
2018,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua,Milioi euroak,358.1
2010,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",%,0.9
2011,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",%,3.9
2012,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",%,5.2
2013,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",%,3.4
2016,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",%,3.2
2014,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",%,3.2
2022,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",%,3.8
2015,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",%,3.4
2017,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",%,3.4
2018,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",%,3.1
2019,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",%,3.4
2020,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",%,3.6
2021,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",%,3.2
2023,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko",%,2.9
