Year,PM,Units,Value
2019,PM25,G_PER_GDP_EUR,0.06
2018,PM25,G_PER_GDP_EUR,0.08
2021,PM25,G_PER_GDP_EUR,0.06
2011,PM25,G_PER_GDP_EUR,0.1
2020,PM25,G_PER_GDP_EUR,0.06
2015,PM25,G_PER_GDP_EUR,0.09
2016,PM25,G_PER_GDP_EUR,0.08
2010,PM25,G_PER_GDP_EUR,0.12
2013,PM25,G_PER_GDP_EUR,0.1
2017,PM25,G_PER_GDP_EUR,0.08
2014,PM25,G_PER_GDP_EUR,0.1
2012,PM25,G_PER_GDP_EUR,0.09
2022,PM25,G_PER_GDP_EUR,0.06
2020,PM10,G_PER_GDP_EUR,0.13
2017,PM10,G_PER_GDP_EUR,0.16
2022,PM10,G_PER_GDP_EUR,0.14
2012,PM10,G_PER_GDP_EUR,0.2
2011,PM10,G_PER_GDP_EUR,0.21
2015,PM10,G_PER_GDP_EUR,0.17
2018,PM10,G_PER_GDP_EUR,0.19
2014,PM10,G_PER_GDP_EUR,0.21
2010,PM10,G_PER_GDP_EUR,0.24
2021,PM10,G_PER_GDP_EUR,0.14
2019,PM10,G_PER_GDP_EUR,0.16
2016,PM10,G_PER_GDP_EUR,0.16
2013,PM10,G_PER_GDP_EUR,0.22
