Year,Series,Units,Value
2010,_L_ES_090401_05,Aurkibidea,27.8
2011,_L_ES_090401_05,Aurkibidea,14.36
2012,_L_ES_090401_05,Aurkibidea,20.94
2013,_L_ES_090401_05,Aurkibidea,10.21
2014,_L_ES_090401_05,Aurkibidea,9.1
2015,_L_ES_090401_05,Aurkibidea,11.36
2016,_L_ES_090401_05,Aurkibidea,11.09
2017,_L_ES_090401_05,Aurkibidea,16.19
2018,_L_ES_090401_05,Aurkibidea,12.84
2019,_L_ES_090401_05,Aurkibidea,18.75
2020,_L_ES_090401_05,Aurkibidea,4.52
2021,_L_ES_090401_05,Aurkibidea,13.46
2022,_L_ES_090401_05,Aurkibidea,22.47
