Year,Series,Sexua,Lurralde historikoa,Units,Value
2022,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,,%,61.3
2024,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,,%,70.0
2020,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,,%,92.6
2018,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,,%,46.7
2021,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,,%,59.1
2019,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,,%,53.5
2017,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,,%,45.7
2023,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,,%,66.4
2020,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Araba / Álava,%,92.4
2023,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Araba / Álava,%,69.0
2021,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Araba / Álava,%,56.7
2018,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Araba / Álava,%,44.4
2017,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Araba / Álava,%,46.0
2024,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Araba / Álava,%,71.3
2019,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Araba / Álava,%,50.5
2022,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Araba / Álava,%,57.0
2024,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Bizkaia,%,65.7
2020,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Bizkaia,%,84.7
2023,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Bizkaia,%,64.7
2018,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Bizkaia,%,43.3
2019,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Bizkaia,%,49.7
2021,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Bizkaia,%,56.4
2022,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Bizkaia,%,61.2
2017,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Bizkaia,%,42.8
2018,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Gipuzkoa,%,56.4
2021,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Gipuzkoa,%,66.8
2023,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Gipuzkoa,%,68.7
2024,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Gipuzkoa,%,79.2
2022,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Gipuzkoa,%,64.6
2020,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Gipuzkoa,%,100.0
2017,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Gipuzkoa,%,52.1
2019,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,,Gipuzkoa,%,65.0
2022,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,,%,65.1
2017,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,,%,48.6
2021,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,,%,65.8
2018,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,,%,49.9
2024,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,,%,79.0
2023,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,,%,74.9
2020,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,,%,100.0
2019,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,,%,56.4
2017,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Araba / Álava,%,45.6
2021,Langabezia-prestazioak jasotzen dituzten langabeen proportzioa,Emakumea,Araba / Álava,%,57.8
