Year,Series,Diru-sarreren taldea,Lurralde historikoa,Units,Value
2020,Familiako gastuaren hazkunde-tasa per capita,,,%,-1.1
2012,Familiako gastuaren hazkunde-tasa per capita,,,%,0.5
2020,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,,,%,4.5
2017,Familiako gastuaren hazkunde-tasa per capita,,,%,0.8
2014,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,,,%,-0.9
2015,Familiako gastuaren hazkunde-tasa per capita,,,%,0.6
2019,Familiako gastuaren hazkunde-tasa per capita,,,%,1.7
2016,Familiako gastuaren hazkunde-tasa per capita,,,%,0.5
2012,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,,,%,-1.0
2008,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,,,%,4.2
2018,Familiako gastuaren hazkunde-tasa per capita,,,%,1.2
2011,Familiako gastuaren hazkunde-tasa per capita,,,%,1.7
2014,Familiako gastuaren hazkunde-tasa per capita,,,%,0.1
2022,Familiako gastuaren hazkunde-tasa per capita,,,%,1.3
2021,Familiako gastuaren hazkunde-tasa per capita,,,%,-0.3
2022,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,,,%,3.2
2018,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,,,%,1.6
2013,Familiako gastuaren hazkunde-tasa per capita,,,%,0.0
2016,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,,,%,1.0
2021,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,%,0.9
2018,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,%,0.9
2017,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,%,-0.1
2022,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,%,2.5
2013,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,%,-1.3
2015,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,%,1.1
2011,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,%,0.3
2014,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,%,-2.4
2019,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,%,1.0
2012,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,%,0.2
2020,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,%,-1.9
2016,Familiako gastuaren hazkunde-tasa per capita,,Araba / Álava,%,1.0
2022,Familiako gastuaren hazkunde-tasa per capita,,Bizkaia,%,1.0
2016,Familiako gastuaren hazkunde-tasa per capita,,Bizkaia,%,0.1
2020,Familiako gastuaren hazkunde-tasa per capita,,Bizkaia,%,-1.5
2021,Familiako gastuaren hazkunde-tasa per capita,,Bizkaia,%,-0.5
2011,Familiako gastuaren hazkunde-tasa per capita,,Bizkaia,%,1.9
2017,Familiako gastuaren hazkunde-tasa per capita,,Bizkaia,%,0.3
2014,Familiako gastuaren hazkunde-tasa per capita,,Bizkaia,%,1.0
2012,Familiako gastuaren hazkunde-tasa per capita,,Bizkaia,%,0.5
2015,Familiako gastuaren hazkunde-tasa per capita,,Bizkaia,%,0.3
2018,Familiako gastuaren hazkunde-tasa per capita,,Bizkaia,%,1.0
2013,Familiako gastuaren hazkunde-tasa per capita,,Bizkaia,%,-0.2
2019,Familiako gastuaren hazkunde-tasa per capita,,Bizkaia,%,1.5
2019,Familiako gastuaren hazkunde-tasa per capita,,Gipuzkoa,%,2.5
2016,Familiako gastuaren hazkunde-tasa per capita,,Gipuzkoa,%,1.2
2015,Familiako gastuaren hazkunde-tasa per capita,,Gipuzkoa,%,1.0
2022,Familiako gastuaren hazkunde-tasa per capita,,Gipuzkoa,%,1.2
2013,Familiako gastuaren hazkunde-tasa per capita,,Gipuzkoa,%,1.0
2021,Familiako gastuaren hazkunde-tasa per capita,,Gipuzkoa,%,-0.3
2012,Familiako gastuaren hazkunde-tasa per capita,,Gipuzkoa,%,0.7
2017,Familiako gastuaren hazkunde-tasa per capita,,Gipuzkoa,%,1.9
2018,Familiako gastuaren hazkunde-tasa per capita,,Gipuzkoa,%,1.5
2011,Familiako gastuaren hazkunde-tasa per capita,,Gipuzkoa,%,2.0
2014,Familiako gastuaren hazkunde-tasa per capita,,Gipuzkoa,%,-0.4
2020,Familiako gastuaren hazkunde-tasa per capita,,Gipuzkoa,%,-0.1
2012,Familiako biztanle bakoitzeko diru-sarreraren hazkunde-tasa,% 40 pobreena,,%,-0.7
