Year,Series,Units,Orden_Series,Value
2014,Hezetasun-arazoak dituen etxebizitza batean bizi direnen proportzioa,%,2000,11.8
2022,Hezetasun-arazoak dituen etxebizitza batean bizi direnen proportzioa,%,2000,12.4
2012,Hezetasun-arazoak dituen etxebizitza batean bizi direnen proportzioa,%,2000,8.8
2018,Hezetasun-arazoak dituen etxebizitza batean bizi direnen proportzioa,%,2000,14.2
2008,Hezetasun-arazoak dituen etxebizitza batean bizi direnen proportzioa,%,2000,7.7
2020,Hezetasun-arazoak dituen etxebizitza batean bizi direnen proportzioa,%,2000,10.5
2016,Hezetasun-arazoak dituen etxebizitza batean bizi direnen proportzioa,%,2000,12.3
2008,Komunik edo bainuontzirik/dutxarik gabeko etxebizitza batean bizi direnen proportzioa,%,2010,0.4
2016,Komunik edo bainuontzirik/dutxarik gabeko etxebizitza batean bizi direnen proportzioa,%,2010,0.0
2018,Komunik edo bainuontzirik/dutxarik gabeko etxebizitza batean bizi direnen proportzioa,%,2010,0.0
2014,Komunik edo bainuontzirik/dutxarik gabeko etxebizitza batean bizi direnen proportzioa,%,2010,0.0
2020,Komunik edo bainuontzirik/dutxarik gabeko etxebizitza batean bizi direnen proportzioa,%,2010,0.0
2022,Komunik edo bainuontzirik/dutxarik gabeko etxebizitza batean bizi direnen proportzioa,%,2010,0.0
2012,Komunik edo bainuontzirik/dutxarik gabeko etxebizitza batean bizi direnen proportzioa,%,2010,0.0
2008,Etxebizitza batean zarataren eta kutsaduraren eraginpean bizi diren pertsonen proportzioa,%,2030,11.0
2012,Etxebizitza batean zarataren eta kutsaduraren eraginpean bizi diren pertsonen proportzioa,%,2030,13.9
2014,Etxebizitza batean zarataren eta kutsaduraren eraginpean bizi diren pertsonen proportzioa,%,2030,8.5
2016,Etxebizitza batean zarataren eta kutsaduraren eraginpean bizi diren pertsonen proportzioa,%,2030,9.2
2018,Etxebizitza batean zarataren eta kutsaduraren eraginpean bizi diren pertsonen proportzioa,%,2030,9.2
2020,Etxebizitza batean zarataren eta kutsaduraren eraginpean bizi diren pertsonen proportzioa,%,2030,8.9
2022,Etxebizitza batean zarataren eta kutsaduraren eraginpean bizi diren pertsonen proportzioa,%,2030,8.0
2008,"Etxebizitza ilun batean, argi nahikorik gabe edo argi naturalaren eskasiarekin bizi diren pertsonen proportzioa",%,2040,5.7
2014,"Etxebizitza ilun batean, argi nahikorik gabe edo argi naturalaren eskasiarekin bizi diren pertsonen proportzioa",%,2040,3.3
2012,"Etxebizitza ilun batean, argi nahikorik gabe edo argi naturalaren eskasiarekin bizi diren pertsonen proportzioa",%,2040,12.2
2016,"Etxebizitza ilun batean, argi nahikorik gabe edo argi naturalaren eskasiarekin bizi diren pertsonen proportzioa",%,2040,5.4
2018,"Etxebizitza ilun batean, argi nahikorik gabe edo argi naturalaren eskasiarekin bizi diren pertsonen proportzioa",%,2040,4.0
2020,"Etxebizitza ilun batean, argi nahikorik gabe edo argi naturalaren eskasiarekin bizi diren pertsonen proportzioa",%,2040,3.3
2022,"Etxebizitza ilun batean, argi nahikorik gabe edo argi naturalaren eskasiarekin bizi diren pertsonen proportzioa",%,2040,3.1
