Year,Series,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2010,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,,%,,59.13
2023,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,,%,,100.0
2018,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,,%,,88.89
2021,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,,%,,100.0
2014,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,,%,,67.46
2013,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,,%,,67.46
2016,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,,%,,67.46
2020,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,,%,,88.89
2011,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,,%,,59.13
2017,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,,%,,88.89
2024,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,,%,,100.0
2022,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,,%,,100.0
2015,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,,%,,67.46
2019,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,,%,,88.89
2012,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,,%,,67.46
2017,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Abadiño,%,Abadiño,100.0
2021,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Abadiño,%,Abadiño,100.0
2020,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Abadiño,%,Abadiño,100.0
2019,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Abadiño,%,Abadiño,100.0
2011,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Abadiño,%,Abadiño,0.0
2018,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Abadiño,%,Abadiño,100.0
2023,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Abadiño,%,Abadiño,100.0
2022,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Abadiño,%,Abadiño,100.0
2016,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Abadiño,%,Abadiño,100.0
2024,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Abadiño,%,Abadiño,100.0
2015,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Abadiño,%,Abadiño,100.0
2010,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Abadiño,%,Abadiño,0.0
2013,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Abadiño,%,Abadiño,100.0
2014,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Abadiño,%,Abadiño,100.0
2012,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Abadiño,%,Abadiño,100.0
2017,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Abaltzisketa,%,Abaltzisketa,0.0
2013,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Abaltzisketa,%,Abaltzisketa,0.0
2019,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Abaltzisketa,%,Abaltzisketa,0.0
2016,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Abaltzisketa,%,Abaltzisketa,0.0
2024,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Abaltzisketa,%,Abaltzisketa,100.0
2018,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Abaltzisketa,%,Abaltzisketa,0.0
2015,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Abaltzisketa,%,Abaltzisketa,0.0
2020,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,,,Abaltzisketa,%,Abaltzisketa,0.0
