Year,Series,Ekosistema,Units,Value
2018,Babestutako lur-eremuen azalera (Km2),,Kilometro karratu,1713.6
2021,Babestutako lur-eremuen azalera (Km2),,Kilometro karratu,1714.1
2015,Babestutako lur-eremuen azalera (Km2),,Kilometro karratu,1698.7
2015,Babestutako lur-eremuen azalera (Km2),Basoak,Kilometro karratu,1138.9
2021,Babestutako lur-eremuen azalera (Km2),Basoak,Kilometro karratu,1147.5
2018,Babestutako lur-eremuen azalera (Km2),Basoak,Kilometro karratu,1147.4
2021,Babestutako lur-eremuen azalera (Km2),Hezeguneak,Kilometro karratu,37.8
2015,Babestutako lur-eremuen azalera (Km2),Hezeguneak,Kilometro karratu,37.5
2018,Babestutako lur-eremuen azalera (Km2),Hezeguneak,Kilometro karratu,37.6
2015,Babestutako lur-eremuen azalera (Km2),Larreak,Kilometro karratu,429.0
2021,Babestutako lur-eremuen azalera (Km2),Larreak,Kilometro karratu,432.2
2018,Babestutako lur-eremuen azalera (Km2),Larreak,Kilometro karratu,432.1
2021,Babestutako lur-eremuen azalera (Km2),Laborantza-lurrak,Kilometro karratu,35.9
2018,Babestutako lur-eremuen azalera (Km2),Laborantza-lurrak,Kilometro karratu,35.9
2015,Babestutako lur-eremuen azalera (Km2),Laborantza-lurrak,Kilometro karratu,32.5
2015,Babestutako lur-eremuen azalera (Km2),Asentamenduak,Kilometro karratu,14.8
2021,Babestutako lur-eremuen azalera (Km2),Asentamenduak,Kilometro karratu,14.8
2018,Babestutako lur-eremuen azalera (Km2),Asentamenduak,Kilometro karratu,14.8
2021,Babestutako lur-eremuen azalera (Km2),Beste lur batzuk,Kilometro karratu,45.9
2015,Babestutako lur-eremuen azalera (Km2),Beste lur batzuk,Kilometro karratu,46.0
2018,Babestutako lur-eremuen azalera (Km2),Beste lur batzuk,Kilometro karratu,45.9
2015,Lurreko eremu babestuen azalera lur azalera osoarekiko,,%,23.5
2018,Lurreko eremu babestuen azalera lur azalera osoarekiko,,%,23.7
2021,Lurreko eremu babestuen azalera lur azalera osoarekiko,,%,23.7
2015,Lurreko eremu babestuen azalera lur azalera osoarekiko,Basoak,%,28.7
2018,Lurreko eremu babestuen azalera lur azalera osoarekiko,Basoak,%,28.9
2021,Lurreko eremu babestuen azalera lur azalera osoarekiko,Basoak,%,28.9
2018,Lurreko eremu babestuen azalera lur azalera osoarekiko,Hezeguneak,%,70.6
2021,Lurreko eremu babestuen azalera lur azalera osoarekiko,Hezeguneak,%,70.9
2015,Lurreko eremu babestuen azalera lur azalera osoarekiko,Hezeguneak,%,70.4
2021,Lurreko eremu babestuen azalera lur azalera osoarekiko,Larreak,%,24.2
2018,Lurreko eremu babestuen azalera lur azalera osoarekiko,Larreak,%,24.2
2015,Lurreko eremu babestuen azalera lur azalera osoarekiko,Larreak,%,24.0
2021,Lurreko eremu babestuen azalera lur azalera osoarekiko,Laborantza-lurrak,%,4.1
2018,Lurreko eremu babestuen azalera lur azalera osoarekiko,Laborantza-lurrak,%,4.1
2015,Lurreko eremu babestuen azalera lur azalera osoarekiko,Laborantza-lurrak,%,3.7
2021,Lurreko eremu babestuen azalera lur azalera osoarekiko,Asentamenduak,%,3.2
2015,Lurreko eremu babestuen azalera lur azalera osoarekiko,Asentamenduak,%,3.2
2018,Lurreko eremu babestuen azalera lur azalera osoarekiko,Asentamenduak,%,3.2
2021,Lurreko eremu babestuen azalera lur azalera osoarekiko,Beste lur batzuk,%,70.6
2018,Lurreko eremu babestuen azalera lur azalera osoarekiko,Beste lur batzuk,%,70.6
2015,Lurreko eremu babestuen azalera lur azalera osoarekiko,Beste lur batzuk,%,70.5
