Year,Series,Units,Value
2017,Gutxienez biztanleriaren eta etxebizitzen errolda bat egin da azken hamar urteetan,"Logika (1 = Bai, -1 = Ez)",1
2018,Gutxienez biztanleriaren eta etxebizitzen errolda bat egin da azken hamar urteetan,"Logika (1 = Bai, -1 = Ez)",1
2019,Gutxienez biztanleriaren eta etxebizitzen errolda bat egin da azken hamar urteetan,"Logika (1 = Bai, -1 = Ez)",1
2012,Gutxienez biztanleriaren eta etxebizitzen errolda bat egin da azken hamar urteetan,"Logika (1 = Bai, -1 = Ez)",1
2020,Gutxienez biztanleriaren eta etxebizitzen errolda bat egin da azken hamar urteetan,"Logika (1 = Bai, -1 = Ez)",1
2014,Gutxienez biztanleriaren eta etxebizitzen errolda bat egin da azken hamar urteetan,"Logika (1 = Bai, -1 = Ez)",1
2016,Gutxienez biztanleriaren eta etxebizitzen errolda bat egin da azken hamar urteetan,"Logika (1 = Bai, -1 = Ez)",1
2022,Gutxienez biztanleriaren eta etxebizitzen errolda bat egin da azken hamar urteetan,"Logika (1 = Bai, -1 = Ez)",1
2015,Gutxienez biztanleriaren eta etxebizitzen errolda bat egin da azken hamar urteetan,"Logika (1 = Bai, -1 = Ez)",1
2021,Gutxienez biztanleriaren eta etxebizitzen errolda bat egin da azken hamar urteetan,"Logika (1 = Bai, -1 = Ez)",1
2010,Gutxienez biztanleriaren eta etxebizitzen errolda bat egin da azken hamar urteetan,"Logika (1 = Bai, -1 = Ez)",1
2013,Gutxienez biztanleriaren eta etxebizitzen errolda bat egin da azken hamar urteetan,"Logika (1 = Bai, -1 = Ez)",1
2011,Gutxienez biztanleriaren eta etxebizitzen errolda bat egin da azken hamar urteetan,"Logika (1 = Bai, -1 = Ez)",1
2023,Gutxienez biztanleriaren eta etxebizitzen errolda bat egin da azken hamar urteetan,"Logika (1 = Bai, -1 = Ez)",1
2020,"Jaiotzen % 100 erregistratu dira, eta gutxienez heriotzen % 80","Logika (1 = Bai, -1 = Ez)",1
2017,"Jaiotzen % 100 erregistratu dira, eta gutxienez heriotzen % 80","Logika (1 = Bai, -1 = Ez)",1
2011,"Jaiotzen % 100 erregistratu dira, eta gutxienez heriotzen % 80","Logika (1 = Bai, -1 = Ez)",1
2010,"Jaiotzen % 100 erregistratu dira, eta gutxienez heriotzen % 80","Logika (1 = Bai, -1 = Ez)",1
2015,"Jaiotzen % 100 erregistratu dira, eta gutxienez heriotzen % 80","Logika (1 = Bai, -1 = Ez)",1
2022,"Jaiotzen % 100 erregistratu dira, eta gutxienez heriotzen % 80","Logika (1 = Bai, -1 = Ez)",1
2016,"Jaiotzen % 100 erregistratu dira, eta gutxienez heriotzen % 80","Logika (1 = Bai, -1 = Ez)",1
2018,"Jaiotzen % 100 erregistratu dira, eta gutxienez heriotzen % 80","Logika (1 = Bai, -1 = Ez)",1
2013,"Jaiotzen % 100 erregistratu dira, eta gutxienez heriotzen % 80","Logika (1 = Bai, -1 = Ez)",1
2012,"Jaiotzen % 100 erregistratu dira, eta gutxienez heriotzen % 80","Logika (1 = Bai, -1 = Ez)",1
2021,"Jaiotzen % 100 erregistratu dira, eta gutxienez heriotzen % 80","Logika (1 = Bai, -1 = Ez)",1
2019,"Jaiotzen % 100 erregistratu dira, eta gutxienez heriotzen % 80","Logika (1 = Bai, -1 = Ez)",1
2023,"Jaiotzen % 100 erregistratu dira, eta gutxienez heriotzen % 80","Logika (1 = Bai, -1 = Ez)",1
2014,"Jaiotzen % 100 erregistratu dira, eta gutxienez heriotzen % 80","Logika (1 = Bai, -1 = Ez)",1
