Year,Sexua,Lurralde historikoa,Units,Value
2008,,,%,55.4
2014,,,%,76.4
2020,,,%,91.7
2009,,,%,57.7
2022,,,%,94.3
2010,,,%,58.4
2021,,,%,94.0
2015,,,%,80.2
2011,,,%,63.5
2012,,,%,64.3
2016,,,%,83.7
2019,,,%,89.1
2013,,,%,73.8
2017,,,%,84.3
2018,,,%,87.9
2023,,,%,96.3
2016,,Araba / Álava,%,83.9
2019,,Araba / Álava,%,89.2
2009,,Araba / Álava,%,56.2
2017,,Araba / Álava,%,86.4
2014,,Araba / Álava,%,76.4
2015,,Araba / Álava,%,80.9
2023,,Araba / Álava,%,96.6
2008,,Araba / Álava,%,55.3
2013,,Araba / Álava,%,75.4
2020,,Araba / Álava,%,91.1
2010,,Araba / Álava,%,61.8
2022,,Araba / Álava,%,93.7
2018,,Araba / Álava,%,90.5
2012,,Araba / Álava,%,64.5
2011,,Araba / Álava,%,61.2
2021,,Araba / Álava,%,94.2
2011,,Bizkaia,%,62.6
2010,,Bizkaia,%,55.2
2019,,Bizkaia,%,89.7
2021,,Bizkaia,%,94.0
2017,,Bizkaia,%,83.5
2015,,Bizkaia,%,80.2
2018,,Bizkaia,%,87.5
2013,,Bizkaia,%,74.0
2012,,Bizkaia,%,62.1
2009,,Bizkaia,%,57.8
2008,,Bizkaia,%,55.2
2014,,Bizkaia,%,77.2
2022,,Bizkaia,%,94.5
2023,,Bizkaia,%,96.5
2020,,Bizkaia,%,91.4
2016,,Bizkaia,%,84.0
2014,,Gipuzkoa,%,75.1
2010,,Gipuzkoa,%,62.3
2012,,Gipuzkoa,%,67.7
2015,,Gipuzkoa,%,79.8
2011,,Gipuzkoa,%,66.0
2023,,Gipuzkoa,%,96.0
2009,,Gipuzkoa,%,58.2
2018,,Gipuzkoa,%,87.4
2022,,Gipuzkoa,%,94.4
2019,,Gipuzkoa,%,88.2
2017,,Gipuzkoa,%,84.5
2008,,Gipuzkoa,%,55.7
2013,,Gipuzkoa,%,72.8
2020,,Gipuzkoa,%,92.5
2021,,Gipuzkoa,%,93.8
2016,,Gipuzkoa,%,83.0
2009,Emakumea,,%,54.9
2010,Emakumea,,%,55.7
2013,Emakumea,,%,70.2
2016,Emakumea,,%,82.7
2017,Emakumea,,%,84.0
2015,Emakumea,,%,77.3
2021,Emakumea,,%,94.6
2008,Emakumea,,%,52.4
2023,Emakumea,,%,97.0
2011,Emakumea,,%,60.5
2018,Emakumea,,%,86.6
2012,Emakumea,,%,61.1
2022,Emakumea,,%,94.8
2014,Emakumea,,%,74.4
2020,Emakumea,,%,92.1
2019,Emakumea,,%,88.6
2021,Emakumea,Araba / Álava,%,95.3
2020,Emakumea,Araba / Álava,%,92.4
2023,Emakumea,Araba / Álava,%,97.6
2018,Emakumea,Araba / Álava,%,88.9
2009,Emakumea,Araba / Álava,%,54.0
2010,Emakumea,Araba / Álava,%,60.8
2013,Emakumea,Araba / Álava,%,72.9
2015,Emakumea,Araba / Álava,%,77.6
2017,Emakumea,Araba / Álava,%,86.9
2014,Emakumea,Araba / Álava,%,75.0
2011,Emakumea,Araba / Álava,%,60.2
2008,Emakumea,Araba / Álava,%,53.1
2016,Emakumea,Araba / Álava,%,81.8
2012,Emakumea,Araba / Álava,%,62.5
2022,Emakumea,Araba / Álava,%,92.5
2019,Emakumea,Araba / Álava,%,89.2
2020,Emakumea,Bizkaia,%,91.6
2023,Emakumea,Bizkaia,%,96.7
2021,Emakumea,Bizkaia,%,94.5
2019,Emakumea,Bizkaia,%,88.2
2015,Emakumea,Bizkaia,%,76.7
2010,Emakumea,Bizkaia,%,52.4
2013,Emakumea,Bizkaia,%,69.6
2012,Emakumea,Bizkaia,%,59.1
2011,Emakumea,Bizkaia,%,57.9
2009,Emakumea,Bizkaia,%,54.4
2008,Emakumea,Bizkaia,%,51.7
2017,Emakumea,Bizkaia,%,83.1
2016,Emakumea,Bizkaia,%,83.1
2014,Emakumea,Bizkaia,%,75.3
2018,Emakumea,Bizkaia,%,85.5
2022,Emakumea,Bizkaia,%,94.9
2023,Emakumea,Gipuzkoa,%,97.2
2020,Emakumea,Gipuzkoa,%,92.7
2019,Emakumea,Gipuzkoa,%,89.1
2017,Emakumea,Gipuzkoa,%,84.3
2016,Emakumea,Gipuzkoa,%,82.5
2015,Emakumea,Gipuzkoa,%,78.1
2014,Emakumea,Gipuzkoa,%,72.7
2013,Emakumea,Gipuzkoa,%,70.1
2012,Emakumea,Gipuzkoa,%,63.8
2011,Emakumea,Gipuzkoa,%,64.9
2010,Emakumea,Gipuzkoa,%,59.0
2009,Emakumea,Gipuzkoa,%,56.2
2008,Emakumea,Gipuzkoa,%,53.4
2022,Emakumea,Gipuzkoa,%,95.9
2018,Emakumea,Gipuzkoa,%,87.5
2021,Emakumea,Gipuzkoa,%,94.4
2019,Gizona,,%,89.6
2012,Gizona,,%,67.5
2023,Gizona,,%,95.7
2020,Gizona,,%,91.3
2018,Gizona,,%,89.2
