Year,Series,Units,Value
2000,Elikagaien segurtasun-gabezia larriaren edo oso larriaren prebalentzia,%,3.5
2022,Elikagaien segurtasun-gabezia larriaren edo oso larriaren prebalentzia,%,3.0
2008,Elikagaien segurtasun-gabezia larriaren edo oso larriaren prebalentzia,%,5.7
2012,Elikagaien segurtasun-gabezia larriaren edo oso larriaren prebalentzia,%,7.7
2020,Elikagaien segurtasun-gabezia larriaren edo oso larriaren prebalentzia,%,3.7
2016,Elikagaien segurtasun-gabezia larriaren edo oso larriaren prebalentzia,%,6.7
2018,Elikagaien segurtasun-gabezia larriaren edo oso larriaren prebalentzia,%,3.9
2014,Elikagaien segurtasun-gabezia larriaren edo oso larriaren prebalentzia,%,7.5
2004,Elikagaien segurtasun-gabezia larriaren edo oso larriaren prebalentzia,%,5.2
2004,Elikagaien segurtasun-gabezia oso larriaren prebalentzia,%,2.7
2016,Elikagaien segurtasun-gabezia oso larriaren prebalentzia,%,3.1
2008,Elikagaien segurtasun-gabezia oso larriaren prebalentzia,%,2.1
2000,Elikagaien segurtasun-gabezia oso larriaren prebalentzia,%,1.1
2012,Elikagaien segurtasun-gabezia oso larriaren prebalentzia,%,3.1
2014,Elikagaien segurtasun-gabezia oso larriaren prebalentzia,%,2.9
2018,Elikagaien segurtasun-gabezia oso larriaren prebalentzia,%,1.8
2020,Elikagaien segurtasun-gabezia oso larriaren prebalentzia,%,1.9
2022,Elikagaien segurtasun-gabezia oso larriaren prebalentzia,%,1.1
