Year,Series,Lurralde historikoa,Units,Value
2018,Elikagaien ekoizle txikien produktibitatea,,Eurotan,12030.9
2020,Elikagaien ekoizle txikien produktibitatea,,Eurotan,9818.3
2019,Elikagaien ekoizle txikien produktibitatea,,Eurotan,10646.1
2016,Elikagaien ekoizle txikien produktibitatea,,Eurotan,10978.5
2015,Elikagaien ekoizle txikien produktibitatea,,Eurotan,10150.0
2017,Elikagaien ekoizle txikien produktibitatea,,Eurotan,12294.5
2021,Elikagaien ekoizle txikien produktibitatea,,Eurotan,10509.0
2016,Elikagaien ekoizle txikien produktibitatea,Araba / Álava,Eurotan,4537.4
2021,Elikagaien ekoizle txikien produktibitatea,Araba / Álava,Eurotan,5528.7
2017,Elikagaien ekoizle txikien produktibitatea,Araba / Álava,Eurotan,5057.9
2019,Elikagaien ekoizle txikien produktibitatea,Araba / Álava,Eurotan,6400.4
2020,Elikagaien ekoizle txikien produktibitatea,Araba / Álava,Eurotan,5071.3
2018,Elikagaien ekoizle txikien produktibitatea,Araba / Álava,Eurotan,5442.0
2015,Elikagaien ekoizle txikien produktibitatea,Araba / Álava,Eurotan,4172.9
2018,Elikagaien ekoizle txikien produktibitatea,Bizkaia,Eurotan,10550.5
2015,Elikagaien ekoizle txikien produktibitatea,Bizkaia,Eurotan,10831.9
2017,Elikagaien ekoizle txikien produktibitatea,Bizkaia,Eurotan,11225.2
2019,Elikagaien ekoizle txikien produktibitatea,Bizkaia,Eurotan,9738.4
2016,Elikagaien ekoizle txikien produktibitatea,Bizkaia,Eurotan,10140.6
2021,Elikagaien ekoizle txikien produktibitatea,Bizkaia,Eurotan,9670.7
2020,Elikagaien ekoizle txikien produktibitatea,Bizkaia,Eurotan,9413.9
2015,Elikagaien ekoizle txikien produktibitatea,Gipuzkoa,Eurotan,11666.0
2021,Elikagaien ekoizle txikien produktibitatea,Gipuzkoa,Eurotan,12048.2
2018,Elikagaien ekoizle txikien produktibitatea,Gipuzkoa,Eurotan,13733.6
2020,Elikagaien ekoizle txikien produktibitatea,Gipuzkoa,Eurotan,11080.9
2017,Elikagaien ekoizle txikien produktibitatea,Gipuzkoa,Eurotan,13878.5
2019,Elikagaien ekoizle txikien produktibitatea,Gipuzkoa,Eurotan,11900.8
2016,Elikagaien ekoizle txikien produktibitatea,Gipuzkoa,Eurotan,12569.2
2018,Elikagaien ekoizle handien produktibitatea,,Eurotan,44914.3
2015,Elikagaien ekoizle handien produktibitatea,,Eurotan,43924.4
2019,Elikagaien ekoizle handien produktibitatea,,Eurotan,46168.5
2020,Elikagaien ekoizle handien produktibitatea,,Eurotan,45942.5
2021,Elikagaien ekoizle handien produktibitatea,,Eurotan,50293.1
2017,Elikagaien ekoizle handien produktibitatea,,Eurotan,42600.2
2016,Elikagaien ekoizle handien produktibitatea,,Eurotan,43308.1
2016,Elikagaien ekoizle handien produktibitatea,Araba / Álava,Eurotan,36918.9
2015,Elikagaien ekoizle handien produktibitatea,Araba / Álava,Eurotan,39222.8
2020,Elikagaien ekoizle handien produktibitatea,Araba / Álava,Eurotan,40460.4
2018,Elikagaien ekoizle handien produktibitatea,Araba / Álava,Eurotan,36631.3
2017,Elikagaien ekoizle handien produktibitatea,Araba / Álava,Eurotan,33711.7
2019,Elikagaien ekoizle handien produktibitatea,Araba / Álava,Eurotan,37348.9
2021,Elikagaien ekoizle handien produktibitatea,Araba / Álava,Eurotan,41426.0
2021,Elikagaien ekoizle handien produktibitatea,Bizkaia,Eurotan,52025.6
2020,Elikagaien ekoizle handien produktibitatea,Bizkaia,Eurotan,50356.7
2018,Elikagaien ekoizle handien produktibitatea,Bizkaia,Eurotan,49326.0
2015,Elikagaien ekoizle handien produktibitatea,Bizkaia,Eurotan,43917.9
2017,Elikagaien ekoizle handien produktibitatea,Bizkaia,Eurotan,44660.2
2016,Elikagaien ekoizle handien produktibitatea,Bizkaia,Eurotan,43852.2
2019,Elikagaien ekoizle handien produktibitatea,Bizkaia,Eurotan,52252.4
2021,Elikagaien ekoizle handien produktibitatea,Gipuzkoa,Eurotan,54538.2
2015,Elikagaien ekoizle handien produktibitatea,Gipuzkoa,Eurotan,46579.9
2019,Elikagaien ekoizle handien produktibitatea,Gipuzkoa,Eurotan,49106.7
2018,Elikagaien ekoizle handien produktibitatea,Gipuzkoa,Eurotan,48274.0
2017,Elikagaien ekoizle handien produktibitatea,Gipuzkoa,Eurotan,47269.8
2016,Elikagaien ekoizle handien produktibitatea,Gipuzkoa,Eurotan,46975.4
2020,Elikagaien ekoizle handien produktibitatea,Gipuzkoa,Eurotan,47324.6
