Year,Series,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2014,EU_SDG_02_40,,,,%,,1.3
2010,EU_SDG_02_40,,,,%,,0.8
2021,EU_SDG_02_40,,,,%,,3.5
2018,EU_SDG_02_40,,,,%,,2.0
2019,EU_SDG_02_40,,,,%,,2.5
2013,EU_SDG_02_40,,,,%,,1.2
2012,EU_SDG_02_40,,,,%,,1.1
2023,EU_SDG_02_40,,,,%,,4.8
2016,EU_SDG_02_40,,,,%,,1.5
2009,EU_SDG_02_40,,,,%,,0.7
2011,EU_SDG_02_40,,,,%,,0.9
2020,EU_SDG_02_40,,,,%,,3.0
2015,EU_SDG_02_40,,,,%,,1.3
2022,EU_SDG_02_40,,,,%,,4.1
2017,EU_SDG_02_40,,,,%,,1.9
2008,EU_SDG_02_40,,,,%,,0.6
2012,EU_SDG_02_40,,,Abadiño,%,Abadiño,0.5
2017,EU_SDG_02_40,,,Abadiño,%,Abadiño,0.3
2013,EU_SDG_02_40,,,Abadiño,%,Abadiño,0.5
2011,EU_SDG_02_40,,,Abadiño,%,Abadiño,0.5
2019,EU_SDG_02_40,,,Abadiño,%,Abadiño,3.8
2014,EU_SDG_02_40,,,Abadiño,%,Abadiño,0.5
2010,EU_SDG_02_40,,,Abadiño,%,Abadiño,0.3
2022,EU_SDG_02_40,,,Abadiño,%,Abadiño,5.5
2020,EU_SDG_02_40,,,Abadiño,%,Abadiño,5.3
2016,EU_SDG_02_40,,,Abadiño,%,Abadiño,0.3
2015,EU_SDG_02_40,,,Abadiño,%,Abadiño,0.5
2018,EU_SDG_02_40,,,Abadiño,%,Abadiño,0.3
2023,EU_SDG_02_40,,,Abadiño,%,Abadiño,5.6
2021,EU_SDG_02_40,,,Abadiño,%,Abadiño,5.6
2018,EU_SDG_02_40,,,Abaltzisketa,%,Abaltzisketa,1.0
2023,EU_SDG_02_40,,,Abaltzisketa,%,Abaltzisketa,2.2
2015,EU_SDG_02_40,,,Abaltzisketa,%,Abaltzisketa,0.0
2021,EU_SDG_02_40,,,Abaltzisketa,%,Abaltzisketa,2.2
2016,EU_SDG_02_40,,,Abaltzisketa,%,Abaltzisketa,0.0
2012,EU_SDG_02_40,,,Abaltzisketa,%,Abaltzisketa,1.1
