Year,Series,Jarduera ekonomikoa,Units,Value
2016,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,,Kg hektareako,19.2
2019,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,,Kg hektareako,18.4
2020,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,,Kg hektareako,18.5
2013,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,,Kg hektareako,18.6
2021,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,,Kg hektareako,18.1
2015,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,,Kg hektareako,19.1
2018,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,,Kg hektareako,18.2
2017,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,,Kg hektareako,19.2
2011,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,,Kg hektareako,18.6
2012,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,,Kg hektareako,19.2
2010,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,,Kg hektareako,19.6
2014,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,,Kg hektareako,19.3
2022,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,,Kg hektareako,18.0
2010,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,Nekazaritza,Kg hektareako,38.1
2015,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,Nekazaritza,Kg hektareako,38.7
2021,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,Nekazaritza,Kg hektareako,35.2
2011,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,Nekazaritza,Kg hektareako,36.3
2013,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,Nekazaritza,Kg hektareako,39.1
2017,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,Nekazaritza,Kg hektareako,40.2
2012,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,Nekazaritza,Kg hektareako,38.3
2022,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,Nekazaritza,Kg hektareako,35.0
2019,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,Nekazaritza,Kg hektareako,37.0
2020,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,Nekazaritza,Kg hektareako,36.1
2014,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,Nekazaritza,Kg hektareako,38.9
2018,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,Nekazaritza,Kg hektareako,37.0
2016,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,Nekazaritza,Kg hektareako,39.4
2013,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,Abeltzaintza,Kg hektareako,6.6
2016,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,Abeltzaintza,Kg hektareako,7.1
2019,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,Abeltzaintza,Kg hektareako,6.9
2012,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,Abeltzaintza,Kg hektareako,8.0
2010,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,Abeltzaintza,Kg hektareako,8.6
2017,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,Abeltzaintza,Kg hektareako,6.9
2021,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,Abeltzaintza,Kg hektareako,7.3
2018,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,Abeltzaintza,Kg hektareako,7.1
2022,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,Abeltzaintza,Kg hektareako,7.3
2020,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,Abeltzaintza,Kg hektareako,7.5
2011,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,Abeltzaintza,Kg hektareako,8.3
2014,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,Abeltzaintza,Kg hektareako,7.7
2015,Nekazaritza eta abeltzaintzako amoniakoaren isuriak hektareako,Abeltzaintza,Kg hektareako,7.5
2016,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,,Kilotona,4.2
2013,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,,Kilotona,4.1
2022,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,,Kilotona,4.0
2017,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,,Kilotona,4.3
2019,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,,Kilotona,4.1
2014,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,,Kilotona,4.3
2020,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,,Kilotona,4.1
2012,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,,Kilotona,4.2
2011,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,,Kilotona,4.1
2021,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,,Kilotona,4.0
2010,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,,Kilotona,4.3
2018,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,,Kilotona,4.0
2015,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,,Kilotona,4.2
2013,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,Nekazaritza,Kilotona,3.2
2011,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,Nekazaritza,Kilotona,3.0
2010,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,Nekazaritza,Kilotona,3.1
2012,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,Nekazaritza,Kilotona,3.1
2016,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,Nekazaritza,Kilotona,3.3
2020,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,Nekazaritza,Kilotona,3.1
2014,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,Nekazaritza,Kilotona,3.2
2022,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,Nekazaritza,Kilotona,3.0
2021,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,Nekazaritza,Kilotona,3.0
2019,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,Nekazaritza,Kilotona,3.1
2018,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,Nekazaritza,Kilotona,3.0
2017,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,Nekazaritza,Kilotona,3.3
2015,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,Nekazaritza,Kilotona,3.2
2016,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,Abeltzaintza,Kilotona,1.0
2014,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,Abeltzaintza,Kilotona,1.1
2013,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,Abeltzaintza,Kilotona,0.9
2011,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,Abeltzaintza,Kilotona,1.2
2012,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,Abeltzaintza,Kilotona,1.1
2019,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,Abeltzaintza,Kilotona,0.9
2010,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,Abeltzaintza,Kilotona,1.2
2022,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,Abeltzaintza,Kilotona,1.0
2021,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,Abeltzaintza,Kilotona,1.0
2015,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,Abeltzaintza,Kilotona,1.0
2020,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,Abeltzaintza,Kilotona,1.0
2018,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,Abeltzaintza,Kilotona,1.0
2017,Nekazaritzaren eta abeltzaintzaren amoniakoaren emisioak,Abeltzaintza,Kilotona,1.0
