Year,Series,Elikagai mota,Lurralde historikoa,Units,Value
2022,Elikagaien prezioen anomalien adierazlea,,,Indizea,2.6
2009,Elikagaien prezioen anomalien adierazlea,,,Indizea,-1.0
2008,Elikagaien prezioen anomalien adierazlea,,,Indizea,0.6
2021,Elikagaien prezioen anomalien adierazlea,,,Indizea,-0.3
2004,Elikagaien prezioen anomalien adierazlea,,,Indizea,0.3
2014,Elikagaien prezioen anomalien adierazlea,,,Indizea,-0.9
2019,Elikagaien prezioen anomalien adierazlea,,,Indizea,-0.5
2017,Elikagaien prezioen anomalien adierazlea,,,Indizea,-0.4
2006,Elikagaien prezioen anomalien adierazlea,,,Indizea,0.2
2011,Elikagaien prezioen anomalien adierazlea,,,Indizea,-0.3
2023,Elikagaien prezioen anomalien adierazlea,,,Indizea,1.9
2003,Elikagaien prezioen anomalien adierazlea,,,Indizea,0.4
2010,Elikagaien prezioen anomalien adierazlea,,,Indizea,-0.9
2020,Elikagaien prezioen anomalien adierazlea,,,Indizea,-0.2
2012,Elikagaien prezioen anomalien adierazlea,,,Indizea,0.0
2016,Elikagaien prezioen anomalien adierazlea,,,Indizea,-0.5
2005,Elikagaien prezioen anomalien adierazlea,,,Indizea,0.1
2007,Elikagaien prezioen anomalien adierazlea,,,Indizea,0.5
2015,Elikagaien prezioen anomalien adierazlea,,,Indizea,-0.4
2018,Elikagaien prezioen anomalien adierazlea,,,Indizea,-0.5
2024,Elikagaien prezioen anomalien adierazlea,,,Indizea,0.2
2013,Elikagaien prezioen anomalien adierazlea,,,Indizea,-0.2
2006,Elikagaien prezioen anomalien adierazlea,,Araba / Álava,Indizea,0.5
2018,Elikagaien prezioen anomalien adierazlea,,Araba / Álava,Indizea,-0.5
2005,Elikagaien prezioen anomalien adierazlea,,Araba / Álava,Indizea,0.3
2014,Elikagaien prezioen anomalien adierazlea,,Araba / Álava,Indizea,-1.0
2008,Elikagaien prezioen anomalien adierazlea,,Araba / Álava,Indizea,0.8
2017,Elikagaien prezioen anomalien adierazlea,,Araba / Álava,Indizea,-0.5
2022,Elikagaien prezioen anomalien adierazlea,,Araba / Álava,Indizea,2.3
2020,Elikagaien prezioen anomalien adierazlea,,Araba / Álava,Indizea,-0.2
2007,Elikagaien prezioen anomalien adierazlea,,Araba / Álava,Indizea,0.8
2012,Elikagaien prezioen anomalien adierazlea,,Araba / Álava,Indizea,-0.2
2004,Elikagaien prezioen anomalien adierazlea,,Araba / Álava,Indizea,0.5
2010,Elikagaien prezioen anomalien adierazlea,,Araba / Álava,Indizea,-0.8
2011,Elikagaien prezioen anomalien adierazlea,,Araba / Álava,Indizea,-0.3
2023,Elikagaien prezioen anomalien adierazlea,,Araba / Álava,Indizea,1.8
2016,Elikagaien prezioen anomalien adierazlea,,Araba / Álava,Indizea,-0.6
2015,Elikagaien prezioen anomalien adierazlea,,Araba / Álava,Indizea,-0.4
2009,Elikagaien prezioen anomalien adierazlea,,Araba / Álava,Indizea,-1.0
2024,Elikagaien prezioen anomalien adierazlea,,Araba / Álava,Indizea,-0.1
2013,Elikagaien prezioen anomalien adierazlea,,Araba / Álava,Indizea,-0.2
2003,Elikagaien prezioen anomalien adierazlea,,Araba / Álava,Indizea,0.4
2019,Elikagaien prezioen anomalien adierazlea,,Araba / Álava,Indizea,-0.5
2021,Elikagaien prezioen anomalien adierazlea,,Araba / Álava,Indizea,-0.2
2007,Elikagaien prezioen anomalien adierazlea,,Bizkaia,Indizea,0.3
2023,Elikagaien prezioen anomalien adierazlea,,Bizkaia,Indizea,1.9
2003,Elikagaien prezioen anomalien adierazlea,,Bizkaia,Indizea,0.3
2022,Elikagaien prezioen anomalien adierazlea,,Bizkaia,Indizea,2.6
2016,Elikagaien prezioen anomalien adierazlea,,Bizkaia,Indizea,-0.4
2018,Elikagaien prezioen anomalien adierazlea,,Bizkaia,Indizea,-0.6
2011,Elikagaien prezioen anomalien adierazlea,,Bizkaia,Indizea,-0.2
2019,Elikagaien prezioen anomalien adierazlea,,Bizkaia,Indizea,-0.5
2017,Elikagaien prezioen anomalien adierazlea,,Bizkaia,Indizea,-0.4
2021,Elikagaien prezioen anomalien adierazlea,,Bizkaia,Indizea,-0.3
2015,Elikagaien prezioen anomalien adierazlea,,Bizkaia,Indizea,-0.4
2005,Elikagaien prezioen anomalien adierazlea,,Bizkaia,Indizea,0.1
2010,Elikagaien prezioen anomalien adierazlea,,Bizkaia,Indizea,-0.9
2008,Elikagaien prezioen anomalien adierazlea,,Bizkaia,Indizea,0.5
2014,Elikagaien prezioen anomalien adierazlea,,Bizkaia,Indizea,-0.9
2004,Elikagaien prezioen anomalien adierazlea,,Bizkaia,Indizea,0.3
2009,Elikagaien prezioen anomalien adierazlea,,Bizkaia,Indizea,-1.0
2013,Elikagaien prezioen anomalien adierazlea,,Bizkaia,Indizea,-0.2
2020,Elikagaien prezioen anomalien adierazlea,,Bizkaia,Indizea,-0.1
2024,Elikagaien prezioen anomalien adierazlea,,Bizkaia,Indizea,0.3
2006,Elikagaien prezioen anomalien adierazlea,,Bizkaia,Indizea,0.2
2012,Elikagaien prezioen anomalien adierazlea,,Bizkaia,Indizea,0.0
2015,Elikagaien prezioen anomalien adierazlea,,Gipuzkoa,Indizea,-0.3
2017,Elikagaien prezioen anomalien adierazlea,,Gipuzkoa,Indizea,-0.5
2003,Elikagaien prezioen anomalien adierazlea,,Gipuzkoa,Indizea,0.4
2010,Elikagaien prezioen anomalien adierazlea,,Gipuzkoa,Indizea,-1.0
2020,Elikagaien prezioen anomalien adierazlea,,Gipuzkoa,Indizea,-0.3
2019,Elikagaien prezioen anomalien adierazlea,,Gipuzkoa,Indizea,-0.5
2024,Elikagaien prezioen anomalien adierazlea,,Gipuzkoa,Indizea,0.1
2018,Elikagaien prezioen anomalien adierazlea,,Gipuzkoa,Indizea,-0.4
