Year,Sexua,Lurralde historikoa,Units,Value
2019,,,Bizirik jaiotako 1.000 umeko,3.57
2021,,,Bizirik jaiotako 1.000 umeko,2.95
2023,,,Bizirik jaiotako 1.000 umeko,3.12
2020,,,Bizirik jaiotako 1.000 umeko,3.05
2022,,,Bizirik jaiotako 1.000 umeko,3.59
2010,,,Bizirik jaiotako 1.000 umeko,3.5
2016,,,Bizirik jaiotako 1.000 umeko,3.18
2013,,,Bizirik jaiotako 1.000 umeko,2.77
2014,,,Bizirik jaiotako 1.000 umeko,2.89
2017,,,Bizirik jaiotako 1.000 umeko,2.75
2015,,,Bizirik jaiotako 1.000 umeko,3.45
2011,,,Bizirik jaiotako 1.000 umeko,3.35
2012,,,Bizirik jaiotako 1.000 umeko,3.17
2018,,,Bizirik jaiotako 1.000 umeko,3.6
2010,,Araba / Álava,Bizirik jaiotako 1.000 umeko,2.99
2017,,Araba / Álava,Bizirik jaiotako 1.000 umeko,3.04
2019,,Araba / Álava,Bizirik jaiotako 1.000 umeko,2.34
2013,,Araba / Álava,Bizirik jaiotako 1.000 umeko,3.23
2012,,Araba / Álava,Bizirik jaiotako 1.000 umeko,3.34
2016,,Araba / Álava,Bizirik jaiotako 1.000 umeko,3.25
2023,,Araba / Álava,Bizirik jaiotako 1.000 umeko,4.96
2011,,Araba / Álava,Bizirik jaiotako 1.000 umeko,3.79
2018,,Araba / Álava,Bizirik jaiotako 1.000 umeko,4.47
2022,,Araba / Álava,Bizirik jaiotako 1.000 umeko,4.41
2014,,Araba / Álava,Bizirik jaiotako 1.000 umeko,3.05
2015,,Araba / Álava,Bizirik jaiotako 1.000 umeko,2.53
2020,,Araba / Álava,Bizirik jaiotako 1.000 umeko,3.34
2021,,Araba / Álava,Bizirik jaiotako 1.000 umeko,3.8
2011,,Bizkaia,Bizirik jaiotako 1.000 umeko,3.74
2012,,Bizkaia,Bizirik jaiotako 1.000 umeko,3.19
2013,,Bizkaia,Bizirik jaiotako 1.000 umeko,2.47
2016,,Bizkaia,Bizirik jaiotako 1.000 umeko,3.39
2022,,Bizkaia,Bizirik jaiotako 1.000 umeko,3.35
2019,,Bizkaia,Bizirik jaiotako 1.000 umeko,3.89
2014,,Bizkaia,Bizirik jaiotako 1.000 umeko,2.57
2023,,Bizkaia,Bizirik jaiotako 1.000 umeko,3.45
2020,,Bizkaia,Bizirik jaiotako 1.000 umeko,3.01
2018,,Bizkaia,Bizirik jaiotako 1.000 umeko,3.65
2010,,Bizkaia,Bizirik jaiotako 1.000 umeko,4.15
2015,,Bizkaia,Bizirik jaiotako 1.000 umeko,4.39
2021,,Bizkaia,Bizirik jaiotako 1.000 umeko,2.73
2017,,Bizkaia,Bizirik jaiotako 1.000 umeko,2.82
