Year,Lurralde historikoa,Sexua,Units,Value
2011,,,Bizirik jaiotako 1.000 umeko,1.7
2010,,,Bizirik jaiotako 1.000 umeko,1.75
2020,,,Bizirik jaiotako 1.000 umeko,1.76
2016,,,Bizirik jaiotako 1.000 umeko,1.43
2014,,,Bizirik jaiotako 1.000 umeko,1.5
2015,,,Bizirik jaiotako 1.000 umeko,1.7
2017,,,Bizirik jaiotako 1.000 umeko,1.41
2012,,,Bizirik jaiotako 1.000 umeko,1.7
2018,,,Bizirik jaiotako 1.000 umeko,2.18
2022,,,Bizirik jaiotako 1.000 umeko,2.2
2021,,,Bizirik jaiotako 1.000 umeko,1.54
2013,,,Bizirik jaiotako 1.000 umeko,1.46
2019,,,Bizirik jaiotako 1.000 umeko,2.08
2023,,,Bizirik jaiotako 1.000 umeko,1.78
2015,Araba / Álava,,Bizirik jaiotako 1.000 umeko,0.95
2012,Araba / Álava,,Bizirik jaiotako 1.000 umeko,2.43
2010,Araba / Álava,,Bizirik jaiotako 1.000 umeko,1.49
2017,Araba / Álava,,Bizirik jaiotako 1.000 umeko,1.01
2014,Araba / Álava,,Bizirik jaiotako 1.000 umeko,1.83
2019,Araba / Álava,,Bizirik jaiotako 1.000 umeko,1.56
2011,Araba / Álava,,Bizirik jaiotako 1.000 umeko,2.04
2016,Araba / Álava,,Bizirik jaiotako 1.000 umeko,1.63
2020,Araba / Álava,,Bizirik jaiotako 1.000 umeko,1.25
2021,Araba / Álava,,Bizirik jaiotako 1.000 umeko,2.96
2013,Araba / Álava,,Bizirik jaiotako 1.000 umeko,1.29
2023,Araba / Álava,,Bizirik jaiotako 1.000 umeko,3.61
2022,Araba / Álava,,Bizirik jaiotako 1.000 umeko,3.09
2018,Araba / Álava,,Bizirik jaiotako 1.000 umeko,1.49
2020,Bizkaia,,Bizirik jaiotako 1.000 umeko,1.78
2018,Bizkaia,,Bizirik jaiotako 1.000 umeko,2.64
2010,Bizkaia,,Bizirik jaiotako 1.000 umeko,2.36
2019,Bizkaia,,Bizirik jaiotako 1.000 umeko,2.59
2012,Bizkaia,,Bizirik jaiotako 1.000 umeko,1.74
2015,Bizkaia,,Bizirik jaiotako 1.000 umeko,2.14
2023,Bizkaia,,Bizirik jaiotako 1.000 umeko,1.65
2013,Bizkaia,,Bizirik jaiotako 1.000 umeko,1.03
2016,Bizkaia,,Bizirik jaiotako 1.000 umeko,1.64
2022,Bizkaia,,Bizirik jaiotako 1.000 umeko,2.19
2017,Bizkaia,,Bizirik jaiotako 1.000 umeko,1.88
2011,Bizkaia,,Bizirik jaiotako 1.000 umeko,2.06
2014,Bizkaia,,Bizirik jaiotako 1.000 umeko,1.33
2021,Bizkaia,,Bizirik jaiotako 1.000 umeko,1.15
2014,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,1.57
2016,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,1.0
2010,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,0.97
2017,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,0.89
2018,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,1.83
2019,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,1.56
2023,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,1.1
2011,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,0.99
2020,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,1.99
2021,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,1.42
2022,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,1.77
2015,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,1.41
2013,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,2.23
2012,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,1.3
2019,,Emakumea,Bizirik jaiotako 1.000 umeko,2.0
2020,,Emakumea,Bizirik jaiotako 1.000 umeko,2.11
2012,,Emakumea,Bizirik jaiotako 1.000 umeko,1.84
2021,,Emakumea,Bizirik jaiotako 1.000 umeko,1.31
2014,,Emakumea,Bizirik jaiotako 1.000 umeko,1.26
2015,,Emakumea,Bizirik jaiotako 1.000 umeko,1.75
2010,,Emakumea,Bizirik jaiotako 1.000 umeko,1.74
2018,,Emakumea,Bizirik jaiotako 1.000 umeko,2.3
2016,,Emakumea,Bizirik jaiotako 1.000 umeko,1.23
2023,,Emakumea,Bizirik jaiotako 1.000 umeko,1.68
2022,,Emakumea,Bizirik jaiotako 1.000 umeko,1.66
2017,,Emakumea,Bizirik jaiotako 1.000 umeko,1.33
2011,,Emakumea,Bizirik jaiotako 1.000 umeko,2.59
2013,,Emakumea,Bizirik jaiotako 1.000 umeko,0.97
2016,Araba / Álava,Emakumea,Bizirik jaiotako 1.000 umeko,1.31
2015,Araba / Álava,Emakumea,Bizirik jaiotako 1.000 umeko,0.66
2014,Araba / Álava,Emakumea,Bizirik jaiotako 1.000 umeko,1.87
2013,Araba / Álava,Emakumea,Bizirik jaiotako 1.000 umeko,0.0
2011,Araba / Álava,Emakumea,Bizirik jaiotako 1.000 umeko,2.37
2022,Araba / Álava,Emakumea,Bizirik jaiotako 1.000 umeko,0.92
2012,Araba / Álava,Emakumea,Bizirik jaiotako 1.000 umeko,2.57
2023,Araba / Álava,Emakumea,Bizirik jaiotako 1.000 umeko,2.86
