Year,Sexua,Units,Value
2021,,100.000 biztanleko,0.6
2020,,100.000 biztanleko,0.4
2010,,100.000 biztanleko,1.6
2019,,100.000 biztanleko,0.2
2015,,100.000 biztanleko,0.7
2016,,100.000 biztanleko,0.5
2012,,100.000 biztanleko,0.9
2017,,100.000 biztanleko,0.9
2011,,100.000 biztanleko,1.1
2018,,100.000 biztanleko,0.6
2023,,100.000 biztanleko,0.1
2014,,100.000 biztanleko,1.1
2013,,100.000 biztanleko,1.1
2022,,100.000 biztanleko,0.5
2010,Emakumea,100.000 biztanleko,0.5
2011,Emakumea,100.000 biztanleko,0.2
2013,Emakumea,100.000 biztanleko,0.4
2014,Emakumea,100.000 biztanleko,0.4
2022,Emakumea,100.000 biztanleko,0.2
2015,Emakumea,100.000 biztanleko,0.3
2016,Emakumea,100.000 biztanleko,0.3
2018,Emakumea,100.000 biztanleko,0.3
2012,Emakumea,100.000 biztanleko,0.4
2019,Emakumea,100.000 biztanleko,0.2
2020,Emakumea,100.000 biztanleko,0.2
2021,Emakumea,100.000 biztanleko,0.1
2017,Emakumea,100.000 biztanleko,0.2
2023,Emakumea,100.000 biztanleko,0.0
2022,Gizona,100.000 biztanleko,0.9
2023,Gizona,100.000 biztanleko,0.2
2016,Gizona,100.000 biztanleko,0.7
2017,Gizona,100.000 biztanleko,1.7
2013,Gizona,100.000 biztanleko,1.7
2011,Gizona,100.000 biztanleko,2.0
2010,Gizona,100.000 biztanleko,2.8
2018,Gizona,100.000 biztanleko,1.0
2019,Gizona,100.000 biztanleko,0.3
2014,Gizona,100.000 biztanleko,1.9
2020,Gizona,100.000 biztanleko,0.7
2021,Gizona,100.000 biztanleko,1.1
2015,Gizona,100.000 biztanleko,1.1
2012,Gizona,100.000 biztanleko,1.4
