Year,Series,Gaixotasun ez-kutsakorra,Sexua,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2023,Heriotza-tasa,Diabetesa,,,,,100.000 biztanleko,,21.7
2015,Heriotza-tasa,Minbizia,,,,,100.000 biztanleko,,284.0
2019,Hilkortasun goiztiarraren tasa (30-70 urte),"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,,,,%,,9.6
2023,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,,,,100.000 biztanleko,,612.8
2020,Heriotza-tasa,Gaixotasun kardiobaskularrak,,,,,100.000 biztanleko,,255.5
2019,Heriotza-tasa,Gaixotasun kardiobaskularrak,,,,,100.000 biztanleko,,256.3
2016,Heriotza-tasa,Arnas gaixotasun kronikoak,,,,,100.000 biztanleko,,76.3
2018,Heriotza-tasa,Minbizia,,,,,100.000 biztanleko,,281.7
2011,Heriotza-tasa,Diabetesa,,,,,100.000 biztanleko,,22.0
2012,Heriotza-tasa,Diabetesa,,,,,100.000 biztanleko,,21.8
2012,Heriotza-tasa,Arnas gaixotasun kronikoak,,,,,100.000 biztanleko,,71.1
2010,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,,,,100.000 biztanleko,,616.2
2015,Heriotza-tasa,Arnas gaixotasun kronikoak,,,,,100.000 biztanleko,,78.8
2013,Heriotza-tasa,Arnas gaixotasun kronikoak,,,,,100.000 biztanleko,,69.2
2019,Heriotza-tasa,Arnas gaixotasun kronikoak,,,,,100.000 biztanleko,,76.6
2016,Heriotza-tasa,Gaixotasun kardiobaskularrak,,,,,100.000 biztanleko,,263.8
2020,Heriotza-tasa,Arnas gaixotasun kronikoak,,,,,100.000 biztanleko,,56.0
2020,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,,,,100.000 biztanleko,,607.8
2011,Heriotza-tasa,Arnas gaixotasun kronikoak,,,,,100.000 biztanleko,,65.4
2010,Heriotza-tasa,Diabetesa,,,,,100.000 biztanleko,,23.9
2022,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,,,,100.000 biztanleko,,625.9
2019,Heriotza-tasa,Minbizia,,,,,100.000 biztanleko,,277.6
2014,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,,,,100.000 biztanleko,,620.7
2017,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,,,,100.000 biztanleko,,647.2
2014,Heriotza-tasa,Arnas gaixotasun kronikoak,,,,,100.000 biztanleko,,68.7
2017,Heriotza-tasa,Gaixotasun kardiobaskularrak,,,,,100.000 biztanleko,,264.6
2023,Heriotza-tasa,Minbizia,,,,,100.000 biztanleko,,274.9
2022,Heriotza-tasa,Minbizia,,,,,100.000 biztanleko,,282.3
2012,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,,,,100.000 biztanleko,,628.5
2018,Heriotza-tasa,Diabetesa,,,,,100.000 biztanleko,,20.6
2017,Heriotza-tasa,Minbizia,,,,,100.000 biztanleko,,282.4
