Year,Series,Sexua,Lurralde historikoa,Units,Value
2012,Bizi-itxaropena jaiotzean,,,Urteak,82.48
2022,Bizi-itxaropena jaiotzean,,,Urteak,83.35
2010,Bizi-itxaropena jaiotzean,,,Urteak,82.27
2017,Bizi-itxaropena jaiotzean,,,Urteak,83.41
2015,Bizi-itxaropena jaiotzean,,,Urteak,83.11
2021,Bizi-itxaropena jaiotzean,,,Urteak,83.57
2018,Bizi-itxaropena jaiotzean,,,Urteak,83.53
2024,Bizi-itxaropena jaiotzean,,,Urteak,84.39
2019,Bizi-itxaropena jaiotzean,,,Urteak,83.77
2014,Bizi-itxaropena jaiotzean,,,Urteak,83.09
2013,Bizi-itxaropena jaiotzean,,,Urteak,82.99
2011,Bizi-itxaropena jaiotzean,,,Urteak,82.38
2016,Bizi-itxaropena jaiotzean,,,Urteak,83.33
2020,Bizi-itxaropena jaiotzean,,,Urteak,83.57
2023,Bizi-itxaropena jaiotzean,,,Urteak,83.98
2018,Bizi-itxaropena jaiotzean,,Araba / Álava,Urteak,84.01
2011,Bizi-itxaropena jaiotzean,,Araba / Álava,Urteak,83.03
2010,Bizi-itxaropena jaiotzean,,Araba / Álava,Urteak,82.87
2017,Bizi-itxaropena jaiotzean,,Araba / Álava,Urteak,84.13
2015,Bizi-itxaropena jaiotzean,,Araba / Álava,Urteak,83.69
2013,Bizi-itxaropena jaiotzean,,Araba / Álava,Urteak,83.63
2020,Bizi-itxaropena jaiotzean,,Araba / Álava,Urteak,84.13
2021,Bizi-itxaropena jaiotzean,,Araba / Álava,Urteak,84.24
2023,Bizi-itxaropena jaiotzean,,Araba / Álava,Urteak,84.69
2022,Bizi-itxaropena jaiotzean,,Araba / Álava,Urteak,83.86
2016,Bizi-itxaropena jaiotzean,,Araba / Álava,Urteak,83.97
2019,Bizi-itxaropena jaiotzean,,Araba / Álava,Urteak,84.26
2012,Bizi-itxaropena jaiotzean,,Araba / Álava,Urteak,83.37
2014,Bizi-itxaropena jaiotzean,,Araba / Álava,Urteak,83.57
2024,Bizi-itxaropena jaiotzean,,Araba / Álava,Urteak,84.73
2017,Bizi-itxaropena jaiotzean,,Bizkaia,Urteak,83.27
2024,Bizi-itxaropena jaiotzean,,Bizkaia,Urteak,84.39
2011,Bizi-itxaropena jaiotzean,,Bizkaia,Urteak,81.99
2016,Bizi-itxaropena jaiotzean,,Bizkaia,Urteak,83.06
2015,Bizi-itxaropena jaiotzean,,Bizkaia,Urteak,83.0
2020,Bizi-itxaropena jaiotzean,,Bizkaia,Urteak,83.27
2019,Bizi-itxaropena jaiotzean,,Bizkaia,Urteak,83.48
2023,Bizi-itxaropena jaiotzean,,Bizkaia,Urteak,83.9
