Year,Adiccion,Sexo,Units,Value
2022,DRUG_TOTAL,,PER_100000,133.9
2020,DRUG_TOTAL,,PER_100000,91.2
2016,DRUG_TOTAL,,PER_100000,113.2
2018,DRUG_TOTAL,,PER_100000,125.8
2021,DRUG_TOTAL,,PER_100000,130.1
2011,DRUG_TOTAL,,PER_100000,122.5
2013,DRUG_TOTAL,,PER_100000,124.3
2017,DRUG_TOTAL,,PER_100000,117.5
2014,DRUG_TOTAL,,PER_100000,118.2
2012,DRUG_TOTAL,,PER_100000,125.9
2015,DRUG_TOTAL,,PER_100000,113.3
2010,DRUG_TOTAL,,PER_100000,126.9
2019,DRUG_TOTAL,,PER_100000,117.2
2014,DRUG_TOTAL,F,PER_100000,45.7
2022,DRUG_TOTAL,F,PER_100000,58.9
2012,DRUG_TOTAL,F,PER_100000,48.7
2010,DRUG_TOTAL,F,PER_100000,43.1
2015,DRUG_TOTAL,F,PER_100000,42.1
2020,DRUG_TOTAL,F,PER_100000,37.4
2013,DRUG_TOTAL,F,PER_100000,49.5
2021,DRUG_TOTAL,F,PER_100000,54.7
2016,DRUG_TOTAL,F,PER_100000,43.2
2019,DRUG_TOTAL,F,PER_100000,46.8
2011,DRUG_TOTAL,F,PER_100000,45.3
2018,DRUG_TOTAL,F,PER_100000,48.0
2017,DRUG_TOTAL,F,PER_100000,43.8
2021,DRUG_TOTAL,M,PER_100000,210.2
2017,DRUG_TOTAL,M,PER_100000,195.7
2016,DRUG_TOTAL,M,PER_100000,187.2
2022,DRUG_TOTAL,M,PER_100000,213.5
2018,DRUG_TOTAL,M,PER_100000,208.3
2015,DRUG_TOTAL,M,PER_100000,188.5
2010,DRUG_TOTAL,M,PER_100000,214.6
2014,DRUG_TOTAL,M,PER_100000,194.8
2012,DRUG_TOTAL,M,PER_100000,207.1
2020,DRUG_TOTAL,M,PER_100000,148.4
2013,DRUG_TOTAL,M,PER_100000,203.2
2011,DRUG_TOTAL,M,PER_100000,203.5
2019,DRUG_TOTAL,M,PER_100000,191.8
2014,ALCOHOL,,PER_100000,50.8
2012,ALCOHOL,,PER_100000,53.7
2010,ALCOHOL,,PER_100000,50.1
2021,ALCOHOL,,PER_100000,59.4
2016,ALCOHOL,,PER_100000,49.1
2020,ALCOHOL,,PER_100000,40.2
2019,ALCOHOL,,PER_100000,50.8
2011,ALCOHOL,,PER_100000,51.2
2015,ALCOHOL,,PER_100000,48.6
2017,ALCOHOL,,PER_100000,51.0
2018,ALCOHOL,,PER_100000,55.0
2013,ALCOHOL,,PER_100000,56.1
2022,ALCOHOL,,PER_100000,63.9
2022,ALCOHOL,F,PER_100000,34.2
2016,ALCOHOL,F,PER_100000,25.4
2011,ALCOHOL,F,PER_100000,24.4
2012,ALCOHOL,F,PER_100000,26.6
2013,ALCOHOL,F,PER_100000,28.9
2017,ALCOHOL,F,PER_100000,25.5
2015,ALCOHOL,F,PER_100000,24.6
2021,ALCOHOL,F,PER_100000,31.0
2014,ALCOHOL,F,PER_100000,24.6
2010,ALCOHOL,F,PER_100000,21.5
2019,ALCOHOL,F,PER_100000,28.4
2020,ALCOHOL,F,PER_100000,21.9
2018,ALCOHOL,F,PER_100000,27.0
2017,ALCOHOL,M,PER_100000,78.0
2012,ALCOHOL,M,PER_100000,82.1
2019,ALCOHOL,M,PER_100000,74.6
2021,ALCOHOL,M,PER_100000,89.6
2022,ALCOHOL,M,PER_100000,95.4
2014,ALCOHOL,M,PER_100000,78.4
2018,ALCOHOL,M,PER_100000,84.6
2016,ALCOHOL,M,PER_100000,74.2
2015,ALCOHOL,M,PER_100000,73.9
2010,ALCOHOL,M,PER_100000,80.1
2020,ALCOHOL,M,PER_100000,59.6
2011,ALCOHOL,M,PER_100000,79.4
2013,ALCOHOL,M,PER_100000,84.7
2011,ILDRUGS,,PER_100000,71.3
2015,ILDRUGS,,PER_100000,64.7
2014,ILDRUGS,,PER_100000,67.5
2012,ILDRUGS,,PER_100000,72.3
2019,ILDRUGS,,PER_100000,66.4
2021,ILDRUGS,,PER_100000,70.7
2018,ILDRUGS,,PER_100000,70.8
2022,ILDRUGS,,PER_100000,70.0
2016,ILDRUGS,,PER_100000,64.0
2020,ILDRUGS,,PER_100000,51.0
2010,ILDRUGS,,PER_100000,76.7
2013,ILDRUGS,,PER_100000,68.2
2017,ILDRUGS,,PER_100000,66.5
2022,ILDRUGS,F,PER_100000,24.7
2019,ILDRUGS,F,PER_100000,18.4
2017,ILDRUGS,F,PER_100000,18.3
2015,ILDRUGS,F,PER_100000,17.5
2021,ILDRUGS,F,PER_100000,23.8
2012,ILDRUGS,F,PER_100000,22.1
2010,ILDRUGS,F,PER_100000,21.6
2011,ILDRUGS,F,PER_100000,20.9
2016,ILDRUGS,F,PER_100000,17.8
2013,ILDRUGS,F,PER_100000,20.5
2014,ILDRUGS,F,PER_100000,21.1
2018,ILDRUGS,F,PER_100000,21.0
2020,ILDRUGS,F,PER_100000,15.5
2010,ILDRUGS,M,PER_100000,134.5
2012,ILDRUGS,M,PER_100000,125.0
2016,ILDRUGS,M,PER_100000,113.0
2018,ILDRUGS,M,PER_100000,123.6
2020,ILDRUGS,M,PER_100000,88.8
2022,ILDRUGS,M,PER_100000,118.2
2021,ILDRUGS,M,PER_100000,120.6
2019,ILDRUGS,M,PER_100000,117.2
2017,ILDRUGS,M,PER_100000,117.7
2015,ILDRUGS,M,PER_100000,114.6
2014,ILDRUGS,M,PER_100000,116.3
2013,ILDRUGS,M,PER_100000,118.4
2011,ILDRUGS,M,PER_100000,124.1
