Year,Series,Edad,Units,Value
2021,SP_DYN_ADKL,Y10T14,PER_1000_POP,0.1
2020,SP_DYN_ADKL,Y10T14,PER_1000_POP,0.0
2010,SP_DYN_ADKL,Y10T14,PER_1000_POP,0.1
2015,SP_DYN_ADKL,Y10T14,PER_1000_POP,0.0
2013,SP_DYN_ADKL,Y10T14,PER_1000_POP,0.1
2016,SP_DYN_ADKL,Y10T14,PER_1000_POP,0.0
2014,SP_DYN_ADKL,Y10T14,PER_1000_POP,0.0
2018,SP_DYN_ADKL,Y10T14,PER_1000_POP,0.1
2019,SP_DYN_ADKL,Y10T14,PER_1000_POP,0.0
2011,SP_DYN_ADKL,Y10T14,PER_1000_POP,0.0
2022,SP_DYN_ADKL,Y10T14,PER_1000_POP,0.1
2017,SP_DYN_ADKL,Y10T14,PER_1000_POP,0.1
2023,SP_DYN_ADKL,Y10T14,PER_1000_POP,0.0
2012,SP_DYN_ADKL,Y10T14,PER_1000_POP,0.1
2014,SP_DYN_ADKL,Y15T19,PER_1000_POP,5.7
2016,SP_DYN_ADKL,Y15T19,PER_1000_POP,4.8
2015,SP_DYN_ADKL,Y15T19,PER_1000_POP,5.0
2019,SP_DYN_ADKL,Y15T19,PER_1000_POP,4.0
2017,SP_DYN_ADKL,Y15T19,PER_1000_POP,4.4
2018,SP_DYN_ADKL,Y15T19,PER_1000_POP,3.7
2021,SP_DYN_ADKL,Y15T19,PER_1000_POP,3.0
2020,SP_DYN_ADKL,Y15T19,PER_1000_POP,3.3
2013,SP_DYN_ADKL,Y15T19,PER_1000_POP,5.7
2023,SP_DYN_ADKL,Y15T19,PER_1000_POP,3.1
2022,SP_DYN_ADKL,Y15T19,PER_1000_POP,3.1
2010,SP_DYN_ADKL,Y15T19,PER_1000_POP,6.5
2012,SP_DYN_ADKL,Y15T19,PER_1000_POP,6.0
2011,SP_DYN_ADKL,Y15T19,PER_1000_POP,5.9
