Year,Gastua,Units,Value
2017,% 25etik gorakoak,%,1.4
2018,% 25etik gorakoak,%,1.4
2019,% 25etik gorakoak,%,1.7
2012,% 25etik gorakoak,%,1.3
2020,% 25etik gorakoak,%,0.9
2014,% 25etik gorakoak,%,1.2
2016,% 25etik gorakoak,%,1.2
2022,% 25etik gorakoak,%,1.7
2015,% 25etik gorakoak,%,1.6
2021,% 25etik gorakoak,%,1.3
2010,% 25etik gorakoak,%,1.2
2013,% 25etik gorakoak,%,1.3
2011,% 25etik gorakoak,%,1.6
2023,% 25etik gorakoak,%,1.4
2020,% 10etik gorakoak,%,7.6
2017,% 10etik gorakoak,%,6.6
2011,% 10etik gorakoak,%,5.5
2010,% 10etik gorakoak,%,5.1
2015,% 10etik gorakoak,%,6.8
2022,% 10etik gorakoak,%,7.6
2016,% 10etik gorakoak,%,7.0
2018,% 10etik gorakoak,%,7.0
2013,% 10etik gorakoak,%,6.1
2012,% 10etik gorakoak,%,5.4
2021,% 10etik gorakoak,%,7.2
2019,% 10etik gorakoak,%,8.2
2023,% 10etik gorakoak,%,8.3
2014,% 10etik gorakoak,%,5.5
