Year,Adina,Sexua,Lurralde historikoa,Units,Value
2008,15 urte eta gehiago,,,%,25.0
2018,15 urte eta gehiago,,,%,16.7
2023,15 urte eta gehiago,,,%,15.2
2013,15 urte eta gehiago,,,%,21.3
2013,15 urte eta gehiago,,Araba / Álava,%,21.0
2023,15 urte eta gehiago,,Araba / Álava,%,16.3
2008,15 urte eta gehiago,,Araba / Álava,%,22.9
2018,15 urte eta gehiago,,Araba / Álava,%,12.9
2013,15 urte eta gehiago,,Bizkaia,%,21.7
2018,15 urte eta gehiago,,Bizkaia,%,17.6
2023,15 urte eta gehiago,,Bizkaia,%,11.4
2008,15 urte eta gehiago,,Bizkaia,%,25.9
2013,15 urte eta gehiago,,Gipuzkoa,%,20.7
2023,15 urte eta gehiago,,Gipuzkoa,%,17.3
2008,15 urte eta gehiago,,Gipuzkoa,%,24.4
2018,15 urte eta gehiago,,Gipuzkoa,%,16.9
2023,15 urte eta gehiago,Emakumea,,%,13.2
2008,15 urte eta gehiago,Emakumea,,%,21.1
2018,15 urte eta gehiago,Emakumea,,%,13.5
2013,15 urte eta gehiago,Emakumea,,%,18.1
2013,15 urte eta gehiago,Emakumea,Araba / Álava,%,19.2
2008,15 urte eta gehiago,Emakumea,Araba / Álava,%,19.9
2023,15 urte eta gehiago,Emakumea,Araba / Álava,%,16.0
2018,15 urte eta gehiago,Emakumea,Araba / Álava,%,11.0
2008,15 urte eta gehiago,Emakumea,Bizkaia,%,21.9
2013,15 urte eta gehiago,Emakumea,Bizkaia,%,17.7
2023,15 urte eta gehiago,Emakumea,Bizkaia,%,9.9
2018,15 urte eta gehiago,Emakumea,Bizkaia,%,14.1
2008,15 urte eta gehiago,Emakumea,Gipuzkoa,%,20.3
2018,15 urte eta gehiago,Emakumea,Gipuzkoa,%,13.7
2023,15 urte eta gehiago,Emakumea,Gipuzkoa,%,14.4
2013,15 urte eta gehiago,Emakumea,Gipuzkoa,%,18.2
2018,15 urte eta gehiago,Gizona,,%,20.1
2008,15 urte eta gehiago,Gizona,,%,29.1
2023,15 urte eta gehiago,Gizona,,%,17.5
2013,15 urte eta gehiago,Gizona,,%,24.7
2018,15 urte eta gehiago,Gizona,Araba / Álava,%,14.8
2023,15 urte eta gehiago,Gizona,Araba / Álava,%,16.7
2013,15 urte eta gehiago,Gizona,Araba / Álava,%,22.8
2008,15 urte eta gehiago,Gizona,Araba / Álava,%,26.1
2023,15 urte eta gehiago,Gizona,Bizkaia,%,13.0
2013,15 urte eta gehiago,Gizona,Bizkaia,%,26.0
2008,15 urte eta gehiago,Gizona,Bizkaia,%,30.1
2018,15 urte eta gehiago,Gizona,Bizkaia,%,21.5
2023,15 urte eta gehiago,Gizona,Gipuzkoa,%,20.5
2008,15 urte eta gehiago,Gizona,Gipuzkoa,%,28.7
2013,15 urte eta gehiago,Gizona,Gipuzkoa,%,23.4
2018,15 urte eta gehiago,Gizona,Gipuzkoa,%,20.2
