Year,Lanbidea,Lan-egoera,Sexua,Lurralde historikoa,Units,Value
2022,,,,,10.000 biztanleko,175.6
2013,,Erretiratuak,,,10.000 biztanleko,6.2
2011,,,,,10.000 biztanleko,146.7
2014,,Ez erretiratuak,,,10.000 biztanleko,147.2
2015,,,,,10.000 biztanleko,156.8
2020,,Ez erretiratuak,,,10.000 biztanleko,157.8
2010,,Ez erretiratuak,,,10.000 biztanleko,138.0
2014,,Erretiratuak,,,10.000 biztanleko,6.6
2017,,Ez erretiratuak,,,10.000 biztanleko,151.9
2010,,,,,10.000 biztanleko,143.1
2020,,,,,10.000 biztanleko,170.8
2022,,Erretiratuak,,,10.000 biztanleko,14.8
2017,,Erretiratuak,,,10.000 biztanleko,9.2
2024,,Ez erretiratuak,,,10.000 biztanleko,163.1
2016,,,,,10.000 biztanleko,159.2
2017,,,,,10.000 biztanleko,161.3
2021,,Erretiratuak,,,10.000 biztanleko,14.0
2023,,Erretiratuak,,,10.000 biztanleko,24.9
2018,,Ez erretiratuak,,,10.000 biztanleko,153.4
2020,,Erretiratuak,,,10.000 biztanleko,12.8
2021,,Ez erretiratuak,,,10.000 biztanleko,159.5
2014,,,,,10.000 biztanleko,154.0
2019,,Ez erretiratuak,,,10.000 biztanleko,154.2
2019,,,,,10.000 biztanleko,166.1
2024,,,,,10.000 biztanleko,187.4
2023,,,,,10.000 biztanleko,186.6
2011,,Erretiratuak,,,10.000 biztanleko,5.4
2019,,Erretiratuak,,,10.000 biztanleko,11.7
2012,,,,,10.000 biztanleko,149.2
2018,,,,,10.000 biztanleko,163.7
2021,,,,,10.000 biztanleko,173.7
2016,,Erretiratuak,,,10.000 biztanleko,8.2
2013,,Ez erretiratuak,,,10.000 biztanleko,144.7
2015,,Erretiratuak,,,10.000 biztanleko,7.4
2015,,Ez erretiratuak,,,10.000 biztanleko,149.1
2018,,Erretiratuak,,,10.000 biztanleko,10.1
2016,,Ez erretiratuak,,,10.000 biztanleko,150.8
2013,,,,,10.000 biztanleko,151.2
2012,,Ez erretiratuak,,,10.000 biztanleko,142.9
2012,,Erretiratuak,,,10.000 biztanleko,6.0
2010,,Erretiratuak,,,10.000 biztanleko,4.9
2011,,Ez erretiratuak,,,10.000 biztanleko,133.7
2022,,Ez erretiratuak,,,10.000 biztanleko,160.7
2024,,Erretiratuak,,,10.000 biztanleko,24.3
2023,,Ez erretiratuak,,,10.000 biztanleko,161.7
2018,,Ez erretiratuak,,Araba / Álava,10.000 biztanleko,158.2
