Year,Sexua,Units,Value
2013,,%,8.5
2018,,%,11.3
2016,,%,9.8
2017,,%,9.5
2014,,%,7.5
2019,,%,8.8
2011,,%,9.0
2012,,%,7.8
2015,,%,10.2
2010,,%,10.8
2012,Emakumea,%,7.2
2011,Emakumea,%,9.3
2014,Emakumea,%,6.8
2013,Emakumea,%,8.2
2010,Emakumea,%,8.9
2015,Emakumea,%,7.3
2016,Emakumea,%,10.0
2017,Emakumea,%,8.7
2018,Emakumea,%,9.7
2019,Emakumea,%,8.0
2017,Gizona,%,10.3
2013,Gizona,%,8.8
2011,Gizona,%,8.7
2010,Gizona,%,12.5
2018,Gizona,%,12.8
2019,Gizona,%,9.6
2014,Gizona,%,8.2
2015,Gizona,%,13.0
2012,Gizona,%,8.2
2016,Gizona,%,9.6
