Year,Trebetasun informatikoa,Sexua,Adina,Lurralde historikoa,Units,Value
2021,Trebetasun informatikoren bat behintzat,,16-24 urte,,%,96.16
2023,Trebetasun informatikoren bat behintzat,,16-24 urte,,%,95.87
2020,Trebetasun informatikoren bat behintzat,,16-24 urte,,%,95.9
2022,Trebetasun informatikoren bat behintzat,,16-24 urte,,%,95.52
2019,Trebetasun informatikoren bat behintzat,,16-24 urte,,%,95.75
2020,Trebetasun informatikoren bat behintzat,,16-24 urte,Araba / Álava,%,98.43
2023,Trebetasun informatikoren bat behintzat,,16-24 urte,Araba / Álava,%,99.48
2022,Trebetasun informatikoren bat behintzat,,16-24 urte,Araba / Álava,%,94.58
2019,Trebetasun informatikoren bat behintzat,,16-24 urte,Araba / Álava,%,95.61
2021,Trebetasun informatikoren bat behintzat,,16-24 urte,Araba / Álava,%,96.8
2020,Trebetasun informatikoren bat behintzat,,16-24 urte,Bizkaia,%,94.24
2019,Trebetasun informatikoren bat behintzat,,16-24 urte,Bizkaia,%,97.06
2021,Trebetasun informatikoren bat behintzat,,16-24 urte,Bizkaia,%,94.38
2023,Trebetasun informatikoren bat behintzat,,16-24 urte,Bizkaia,%,93.78
2022,Trebetasun informatikoren bat behintzat,,16-24 urte,Bizkaia,%,95.39
2020,Trebetasun informatikoren bat behintzat,,16-24 urte,Gipuzkoa,%,97.22
2021,Trebetasun informatikoren bat behintzat,,16-24 urte,Gipuzkoa,%,98.44
2022,Trebetasun informatikoren bat behintzat,,16-24 urte,Gipuzkoa,%,96.1
2023,Trebetasun informatikoren bat behintzat,,16-24 urte,Gipuzkoa,%,97.29
2019,Trebetasun informatikoren bat behintzat,,16-24 urte,Gipuzkoa,%,94.0
2019,Trebetasun informatikoren bat behintzat,,16-74 urte,,%,67.04
2021,Trebetasun informatikoren bat behintzat,,16-74 urte,,%,75.0
2022,Trebetasun informatikoren bat behintzat,,16-74 urte,,%,68.79
2023,Trebetasun informatikoren bat behintzat,,16-74 urte,,%,71.49
2020,Trebetasun informatikoren bat behintzat,,16-74 urte,,%,69.83
2019,Trebetasun informatikoren bat behintzat,,16-74 urte,Araba / Álava,%,68.53
2023,Trebetasun informatikoren bat behintzat,,16-74 urte,Araba / Álava,%,71.3
2022,Trebetasun informatikoren bat behintzat,,16-74 urte,Araba / Álava,%,68.32
2021,Trebetasun informatikoren bat behintzat,,16-74 urte,Araba / Álava,%,75.39
2020,Trebetasun informatikoren bat behintzat,,16-74 urte,Araba / Álava,%,70.14
2021,Trebetasun informatikoren bat behintzat,,16-74 urte,Bizkaia,%,74.63
2019,Trebetasun informatikoren bat behintzat,,16-74 urte,Bizkaia,%,67.74
2022,Trebetasun informatikoren bat behintzat,,16-74 urte,Bizkaia,%,68.54
2020,Trebetasun informatikoren bat behintzat,,16-74 urte,Bizkaia,%,69.53
2023,Trebetasun informatikoren bat behintzat,,16-74 urte,Bizkaia,%,71.26
2020,Trebetasun informatikoren bat behintzat,,16-74 urte,Gipuzkoa,%,70.18
2022,Trebetasun informatikoren bat behintzat,,16-74 urte,Gipuzkoa,%,69.41
2021,Trebetasun informatikoren bat behintzat,,16-74 urte,Gipuzkoa,%,75.41
2019,Trebetasun informatikoren bat behintzat,,16-74 urte,Gipuzkoa,%,65.24
2023,Trebetasun informatikoren bat behintzat,,16-74 urte,Gipuzkoa,%,71.95
2020,Trebetasun informatikoren bat behintzat,,25-74 urte,,%,66.6
2021,Trebetasun informatikoren bat behintzat,,25-74 urte,,%,72.16
2023,Trebetasun informatikoren bat behintzat,,25-74 urte,,%,68.27
2022,Trebetasun informatikoren bat behintzat,,25-74 urte,,%,65.26
2019,Trebetasun informatikoren bat behintzat,,25-74 urte,,%,63.8
2022,Trebetasun informatikoren bat behintzat,,25-74 urte,Araba / Álava,%,65.18
2020,Trebetasun informatikoren bat behintzat,,25-74 urte,Araba / Álava,%,66.59
2021,Trebetasun informatikoren bat behintzat,,25-74 urte,Araba / Álava,%,72.47
2023,Trebetasun informatikoren bat behintzat,,25-74 urte,Araba / Álava,%,67.41
2019,Trebetasun informatikoren bat behintzat,,25-74 urte,Araba / Álava,%,65.47
2023,Trebetasun informatikoren bat behintzat,,25-74 urte,Bizkaia,%,68.42
2021,Trebetasun informatikoren bat behintzat,,25-74 urte,Bizkaia,%,72.12
2020,Trebetasun informatikoren bat behintzat,,25-74 urte,Bizkaia,%,66.58
2019,Trebetasun informatikoren bat behintzat,,25-74 urte,Bizkaia,%,64.66
2022,Trebetasun informatikoren bat behintzat,,25-74 urte,Bizkaia,%,65.03
2020,Trebetasun informatikoren bat behintzat,,25-74 urte,Gipuzkoa,%,66.64
2021,Trebetasun informatikoren bat behintzat,,25-74 urte,Gipuzkoa,%,72.07
2022,Trebetasun informatikoren bat behintzat,,25-74 urte,Gipuzkoa,%,65.66
2023,Trebetasun informatikoren bat behintzat,,25-74 urte,Gipuzkoa,%,68.42
2019,Trebetasun informatikoren bat behintzat,,25-74 urte,Gipuzkoa,%,61.65
2023,Trebetasun informatikoren bat behintzat,Emakumea,16-24 urte,,%,98.77
2020,Trebetasun informatikoren bat behintzat,Emakumea,16-24 urte,,%,96.5
2021,Trebetasun informatikoren bat behintzat,Emakumea,16-24 urte,,%,96.66
2019,Trebetasun informatikoren bat behintzat,Emakumea,16-24 urte,,%,97.88
2022,Trebetasun informatikoren bat behintzat,Emakumea,16-24 urte,,%,97.55
2023,Trebetasun informatikoren bat behintzat,Emakumea,16-24 urte,Araba / Álava,%,98.8
2022,Trebetasun informatikoren bat behintzat,Emakumea,16-24 urte,Araba / Álava,%,96.48
2021,Trebetasun informatikoren bat behintzat,Emakumea,16-24 urte,Araba / Álava,%,96.29
2019,Trebetasun informatikoren bat behintzat,Emakumea,16-24 urte,Araba / Álava,%,98.78
2020,Trebetasun informatikoren bat behintzat,Emakumea,16-24 urte,Araba / Álava,%,96.62
2023,Trebetasun informatikoren bat behintzat,Emakumea,16-24 urte,Bizkaia,%,97.92
2019,Trebetasun informatikoren bat behintzat,Emakumea,16-24 urte,Bizkaia,%,96.97
2021,Trebetasun informatikoren bat behintzat,Emakumea,16-24 urte,Bizkaia,%,95.51
2022,Trebetasun informatikoren bat behintzat,Emakumea,16-24 urte,Bizkaia,%,98.96
2020,Trebetasun informatikoren bat behintzat,Emakumea,16-24 urte,Bizkaia,%,96.61
2020,Trebetasun informatikoren bat behintzat,Emakumea,16-24 urte,Gipuzkoa,%,96.29
2022,Trebetasun informatikoren bat behintzat,Emakumea,16-24 urte,Gipuzkoa,%,95.77
2023,Trebetasun informatikoren bat behintzat,Emakumea,16-24 urte,Gipuzkoa,%,100.0
2019,Trebetasun informatikoren bat behintzat,Emakumea,16-24 urte,Gipuzkoa,%,98.73
2021,Trebetasun informatikoren bat behintzat,Emakumea,16-24 urte,Gipuzkoa,%,98.66
2020,Trebetasun informatikoren bat behintzat,Emakumea,16-74 urte,,%,68.3
2023,Trebetasun informatikoren bat behintzat,Emakumea,16-74 urte,,%,70.5
2019,Trebetasun informatikoren bat behintzat,Emakumea,16-74 urte,,%,64.5
2021,Trebetasun informatikoren bat behintzat,Emakumea,16-74 urte,,%,73.76
2022,Trebetasun informatikoren bat behintzat,Emakumea,16-74 urte,,%,68.2
2022,Trebetasun informatikoren bat behintzat,Emakumea,16-74 urte,Araba / Álava,%,67.8
2023,Trebetasun informatikoren bat behintzat,Emakumea,16-74 urte,Araba / Álava,%,72.84
2019,Trebetasun informatikoren bat behintzat,Emakumea,16-74 urte,Araba / Álava,%,66.12
2021,Trebetasun informatikoren bat behintzat,Emakumea,16-74 urte,Araba / Álava,%,74.42
2020,Trebetasun informatikoren bat behintzat,Emakumea,16-74 urte,Araba / Álava,%,70.78
2022,Trebetasun informatikoren bat behintzat,Emakumea,16-74 urte,Bizkaia,%,67.26
2023,Trebetasun informatikoren bat behintzat,Emakumea,16-74 urte,Bizkaia,%,69.6
2020,Trebetasun informatikoren bat behintzat,Emakumea,16-74 urte,Bizkaia,%,67.73
2019,Trebetasun informatikoren bat behintzat,Emakumea,16-74 urte,Bizkaia,%,64.61
2021,Trebetasun informatikoren bat behintzat,Emakumea,16-74 urte,Bizkaia,%,72.8
2022,Trebetasun informatikoren bat behintzat,Emakumea,16-74 urte,Gipuzkoa,%,69.97
2023,Trebetasun informatikoren bat behintzat,Emakumea,16-74 urte,Gipuzkoa,%,70.91
2020,Trebetasun informatikoren bat behintzat,Emakumea,16-74 urte,Gipuzkoa,%,68.07
2019,Trebetasun informatikoren bat behintzat,Emakumea,16-74 urte,Gipuzkoa,%,63.58
