Year,Sexua,Lurralde historikoa,Units,Value
2010,,,%,89.5
2013,,,%,93.3
2018,,,%,95.8
2021,,,%,97.2
2024,,,%,99.2
2008,,,%,87.8
2014,,,%,93.6
2016,,,%,95.8
2023,,,%,99.0
2020,,,%,96.9
2015,,,%,96.0
2022,,,%,97.6
2017,,,%,96.1
2019,,,%,97.0
2012,,,%,92.4
2011,,,%,91.7
2009,,,%,87.6
2025,,,%,99.1
2020,,Araba / Álava,%,97.5
2010,,Araba / Álava,%,88.4
2017,,Araba / Álava,%,97.2
2013,,Araba / Álava,%,93.0
2018,,Araba / Álava,%,96.8
2025,,Araba / Álava,%,99.4
2009,,Araba / Álava,%,83.9
2011,,Araba / Álava,%,90.7
2008,,Araba / Álava,%,86.8
2024,,Araba / Álava,%,99.5
2022,,Araba / Álava,%,97.5
2021,,Araba / Álava,%,97.7
2014,,Araba / Álava,%,94.1
2023,,Araba / Álava,%,98.1
2019,,Araba / Álava,%,97.2
2015,,Araba / Álava,%,96.7
2016,,Araba / Álava,%,96.5
2012,,Araba / Álava,%,91.0
2023,,Bizkaia,%,99.3
2012,,Bizkaia,%,93.1
2009,,Bizkaia,%,88.1
2015,,Bizkaia,%,95.8
2011,,Bizkaia,%,92.8
2024,,Bizkaia,%,99.5
2013,,Bizkaia,%,93.3
2017,,Bizkaia,%,96.3
2008,,Bizkaia,%,88.5
2025,,Bizkaia,%,99.1
2022,,Bizkaia,%,97.5
2018,,Bizkaia,%,95.8
2014,,Bizkaia,%,93.8
2020,,Bizkaia,%,96.9
2019,,Bizkaia,%,97.3
2010,,Bizkaia,%,89.8
2021,,Bizkaia,%,96.7
2016,,Bizkaia,%,96.5
2011,,Gipuzkoa,%,90.6
2015,,Gipuzkoa,%,96.1
2024,,Gipuzkoa,%,98.7
2021,,Gipuzkoa,%,97.8
2016,,Gipuzkoa,%,94.3
2010,,Gipuzkoa,%,89.4
2013,,Gipuzkoa,%,93.4
2022,,Gipuzkoa,%,97.9
2014,,Gipuzkoa,%,93.3
2017,,Gipuzkoa,%,95.1
2025,,Gipuzkoa,%,99.1
2008,,Gipuzkoa,%,86.9
2009,,Gipuzkoa,%,88.4
2012,,Gipuzkoa,%,91.9
2020,,Gipuzkoa,%,96.5
2018,,Gipuzkoa,%,95.3
2019,,Gipuzkoa,%,96.5
2023,,Gipuzkoa,%,99.0
2022,Emakumea,,%,98.3
2014,Emakumea,,%,94.2
2013,Emakumea,,%,94.1
2020,Emakumea,,%,97.1
2025,Emakumea,,%,99.3
2010,Emakumea,,%,89.0
2009,Emakumea,,%,87.9
2016,Emakumea,,%,95.4
2023,Emakumea,,%,99.1
2008,Emakumea,,%,88.1
2024,Emakumea,,%,99.4
2019,Emakumea,,%,97.9
2015,Emakumea,,%,96.4
2017,Emakumea,,%,95.9
2021,Emakumea,,%,97.4
2011,Emakumea,,%,92.4
2012,Emakumea,,%,93.0
2018,Emakumea,,%,96.1
2017,Emakumea,Araba / Álava,%,95.4
2016,Emakumea,Araba / Álava,%,94.7
2015,Emakumea,Araba / Álava,%,97.5
2014,Emakumea,Araba / Álava,%,93.8
2013,Emakumea,Araba / Álava,%,94.5
2012,Emakumea,Araba / Álava,%,91.4
2009,Emakumea,Araba / Álava,%,83.1
2010,Emakumea,Araba / Álava,%,87.7
2011,Emakumea,Araba / Álava,%,90.2
2019,Emakumea,Araba / Álava,%,97.5
2025,Emakumea,Araba / Álava,%,99.9
2008,Emakumea,Araba / Álava,%,86.2
2023,Emakumea,Araba / Álava,%,98.6
2018,Emakumea,Araba / Álava,%,96.7
2024,Emakumea,Araba / Álava,%,99.5
2022,Emakumea,Araba / Álava,%,97.6
2020,Emakumea,Araba / Álava,%,98.3
2021,Emakumea,Araba / Álava,%,98.4
2025,Emakumea,Bizkaia,%,99.1
2024,Emakumea,Bizkaia,%,99.2
2023,Emakumea,Bizkaia,%,99.4
2021,Emakumea,Bizkaia,%,97.0
2020,Emakumea,Bizkaia,%,96.9
2019,Emakumea,Bizkaia,%,97.9
2017,Emakumea,Bizkaia,%,96.1
2016,Emakumea,Bizkaia,%,96.5
2014,Emakumea,Bizkaia,%,94.0
2013,Emakumea,Bizkaia,%,93.4
2012,Emakumea,Bizkaia,%,93.8
2009,Emakumea,Bizkaia,%,88.3
2008,Emakumea,Bizkaia,%,88.6
2015,Emakumea,Bizkaia,%,96.0
2010,Emakumea,Bizkaia,%,89.0
2018,Emakumea,Bizkaia,%,95.9
2022,Emakumea,Bizkaia,%,98.5
2011,Emakumea,Bizkaia,%,93.7
2014,Emakumea,Gipuzkoa,%,94.8
2013,Emakumea,Gipuzkoa,%,95.0
2020,Emakumea,Gipuzkoa,%,96.7
2024,Emakumea,Gipuzkoa,%,99.5
2012,Emakumea,Gipuzkoa,%,92.6
2011,Emakumea,Gipuzkoa,%,91.4
2009,Emakumea,Gipuzkoa,%,89.2
2008,Emakumea,Gipuzkoa,%,88.1
2010,Emakumea,Gipuzkoa,%,89.7
2019,Emakumea,Gipuzkoa,%,98.1
2015,Emakumea,Gipuzkoa,%,96.4
2016,Emakumea,Gipuzkoa,%,93.9
2025,Emakumea,Gipuzkoa,%,99.2
2021,Emakumea,Gipuzkoa,%,97.6
2023,Emakumea,Gipuzkoa,%,98.9
2022,Emakumea,Gipuzkoa,%,98.2
2017,Emakumea,Gipuzkoa,%,95.9
2018,Emakumea,Gipuzkoa,%,96.1
2014,Gizona,,%,93.1
2012,Gizona,,%,91.7
2023,Gizona,,%,98.9
2017,Gizona,,%,96.2
2019,Gizona,,%,96.1
2020,Gizona,,%,96.7
2011,Gizona,,%,91.0
2022,Gizona,,%,96.9
2015,Gizona,,%,95.7
2024,Gizona,,%,99.1
2021,Gizona,,%,97.0
2018,Gizona,,%,95.5
2025,Gizona,,%,99.0
2009,Gizona,,%,87.3
2016,Gizona,,%,96.2
2010,Gizona,,%,89.9
2013,Gizona,,%,92.5
2008,Gizona,,%,87.4
2012,Gizona,Araba / Álava,%,90.7
2022,Gizona,Araba / Álava,%,97.3
2015,Gizona,Araba / Álava,%,95.8
2023,Gizona,Araba / Álava,%,97.6
2009,Gizona,Araba / Álava,%,84.7
2008,Gizona,Araba / Álava,%,87.5
2014,Gizona,Araba / Álava,%,94.3
2021,Gizona,Araba / Álava,%,97.0
2016,Gizona,Araba / Álava,%,98.4
2024,Gizona,Araba / Álava,%,99.5
2020,Gizona,Araba / Álava,%,96.7
2025,Gizona,Araba / Álava,%,99.0
2013,Gizona,Araba / Álava,%,91.6
2017,Gizona,Araba / Álava,%,99.0
2018,Gizona,Araba / Álava,%,96.8
2010,Gizona,Araba / Álava,%,89.0
2019,Gizona,Araba / Álava,%,96.9
2011,Gizona,Araba / Álava,%,91.1
2025,Gizona,Bizkaia,%,99.1
2024,Gizona,Bizkaia,%,99.9
2023,Gizona,Bizkaia,%,99.2
2022,Gizona,Bizkaia,%,96.4
2021,Gizona,Bizkaia,%,96.3
2020,Gizona,Bizkaia,%,96.9
2019,Gizona,Bizkaia,%,96.7
2018,Gizona,Bizkaia,%,95.7
2017,Gizona,Bizkaia,%,96.6
2016,Gizona,Bizkaia,%,96.5
2015,Gizona,Bizkaia,%,95.6
2014,Gizona,Bizkaia,%,93.5
2013,Gizona,Bizkaia,%,93.1
