Year,Erabilera mota,Lurralde historikoa,Units,Value
2018,,,M3,179965484.0
2022,,,M3,178506380.0
2023,,,M3,180064405.0
2020,,,M3,163675651.0
2013,,,M3,177555343.0
2021,,,M3,176421751.0
2017,,,M3,180334331.0
2016,,,M3,180637435.0
2019,,,M3,178194264.0
2022,,Araba / Álava,M3,34289283.3
2021,,Araba / Álava,M3,33005213.7
2023,,Araba / Álava,M3,30181664.0
2022,,Bizkaia,M3,80667418.7
2023,,Bizkaia,M3,86372241.0
2021,,Bizkaia,M3,80592250.2
2023,,Gipuzkoa,M3,63510500.0
2021,,Gipuzkoa,M3,62824287.1
2022,,Gipuzkoa,M3,63549678.2
2023,Etxeko erabilera,,M3,86895324.9
2018,Etxeko erabilera,,M3,88318278.6
2020,Etxeko erabilera,,M3,84373909.2
2022,Etxeko erabilera,,M3,92735193.3
2016,Etxeko erabilera,,M3,89191117.7
2021,Etxeko erabilera,,M3,92949522.0
2013,Etxeko erabilera,,M3,87929643.4
2017,Etxeko erabilera,,M3,88547260.4
2019,Etxeko erabilera,,M3,88407446.1
2022,Etxeko erabilera,Araba / Álava,M3,14077675.9
2023,Etxeko erabilera,Araba / Álava,M3,11989165.1
2021,Etxeko erabilera,Araba / Álava,M3,14177085.4
2021,Etxeko erabilera,Bizkaia,M3,45477855.0
2022,Etxeko erabilera,Bizkaia,M3,45514402.4
2023,Etxeko erabilera,Bizkaia,M3,43068870.3
2021,Etxeko erabilera,Gipuzkoa,M3,33294582.0
2023,Etxeko erabilera,Gipuzkoa,M3,31837289.5
2022,Etxeko erabilera,Gipuzkoa,M3,33143115.0
2017,Industria-erabilera,,M3,66412090.1
2018,Industria-erabilera,,M3,66232578.1
2021,Industria-erabilera,,M3,60880414.0
2019,Industria-erabilera,,M3,64695490.7
2023,Industria-erabilera,,M3,61328986.0
2020,Industria-erabilera,,M3,58454182.7
2016,Industria-erabilera,,M3,65939730.6
2013,Industria-erabilera,,M3,65635020.7
2022,Industria-erabilera,,M3,60067313.1
2022,Industria-erabilera,Araba / Álava,M3,14823181.0
2023,Industria-erabilera,Araba / Álava,M3,13125427.2
2021,Industria-erabilera,Araba / Álava,M3,15019725.6
2022,Industria-erabilera,Bizkaia,M3,24288140.7
2023,Industria-erabilera,Bizkaia,M3,25445892.7
2021,Industria-erabilera,Bizkaia,M3,24292745.1
2023,Industria-erabilera,Gipuzkoa,M3,22757666.1
2022,Industria-erabilera,Gipuzkoa,M3,20955991.4
2021,Industria-erabilera,Gipuzkoa,M3,21567942.9
2018,Merkataritza-erabilera,,M3,12219522.3
2022,Merkataritza-erabilera,,M3,11060459.6
2019,Merkataritza-erabilera,,M3,11666682.7
2013,Merkataritza-erabilera,,M3,11740415.2
2023,Merkataritza-erabilera,,M3,9772381.2
2021,Merkataritza-erabilera,,M3,10471436.0
2020,Merkataritza-erabilera,,M3,11253856.2
2017,Merkataritza-erabilera,,M3,11970086.0
2016,Merkataritza-erabilera,,M3,12429023.2
2023,Merkataritza-erabilera,Araba / Álava,M3,119019.2
2022,Merkataritza-erabilera,Araba / Álava,M3,315629.0
2021,Merkataritza-erabilera,Araba / Álava,M3,307205.5
2021,Merkataritza-erabilera,Bizkaia,M3,4743841.0
2022,Merkataritza-erabilera,Bizkaia,M3,4746266.6
2023,Merkataritza-erabilera,Bizkaia,M3,6283333.0
2022,Merkataritza-erabilera,Gipuzkoa,M3,5998564.0
2023,Merkataritza-erabilera,Gipuzkoa,M3,3370029.0
