Year,Units,Value
2007,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),2.9
2008,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),2.9
2009,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),2.8
2010,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),2.7
2011,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),2.5
2012,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),2.6
2013,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),2.5
2014,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),2.4
2015,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),2.4
2016,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),2.3
2017,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),2.3
2018,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),2.2
2019,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),2.2
2020,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),2.2
2021,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),2.2
2022,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),2.2
2023,Megajulioak BPGaren AEBetako dolar bakoitzeko (EAP konstantean),1.9
