Year,Series,Sexua,Kontratu mota,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2011,Okupazio-tasa,,,,,,%,,67.7
2020,Okupazio-tasa,,,,,,%,,70.9
2010,Okupazio-tasa,,,,,,%,,68.3
2017,Okupazio-tasa,,,,,,%,,70.0
2022,Okupazio-tasa,,,,,,%,,74.0
2012,Okupazio-tasa,,,,,,%,,66.3
2016,Okupazio-tasa,,,,,,%,,68.9
2013,Okupazio-tasa,,,,,,%,,66.0
2019,Okupazio-tasa,,,,,,%,,72.6
2018,Okupazio-tasa,,,,,,%,,72.0
2021,Okupazio-tasa,,,,,,%,,72.2
2015,Okupazio-tasa,,,,,,%,,67.6
2023,Okupazio-tasa,,,,,,%,,74.6
2014,Okupazio-tasa,,,,,,%,,66.4
2021,Okupazio-tasa,,,,,Abadiño,%,Abadiño,72.6
2019,Okupazio-tasa,,,,,Abadiño,%,Abadiño,72.9
2022,Okupazio-tasa,,,,,Abadiño,%,Abadiño,74.5
2010,Okupazio-tasa,,,,,Abadiño,%,Abadiño,65.7
2018,Okupazio-tasa,,,,,Abadiño,%,Abadiño,72.0
2015,Okupazio-tasa,,,,,Abadiño,%,Abadiño,68.7
2020,Okupazio-tasa,,,,,Abadiño,%,Abadiño,73.1
2016,Okupazio-tasa,,,,,Abadiño,%,Abadiño,69.6
2023,Okupazio-tasa,,,,,Abadiño,%,Abadiño,76.7
2021,Okupazio-tasa,,,,,Abaltzisketa,%,Abaltzisketa,79.3
2018,Okupazio-tasa,,,,,Abaltzisketa,%,Abaltzisketa,74.1
2020,Okupazio-tasa,,,,,Abaltzisketa,%,Abaltzisketa,82.1
2022,Okupazio-tasa,,,,,Abaltzisketa,%,Abaltzisketa,80.3
2023,Okupazio-tasa,,,,,Abaltzisketa,%,Abaltzisketa,78.4
2016,Okupazio-tasa,,,,,Abaltzisketa,%,Abaltzisketa,75.1
2015,Okupazio-tasa,,,,,Abaltzisketa,%,Abaltzisketa,77.3
2019,Okupazio-tasa,,,,,Abaltzisketa,%,Abaltzisketa,77.2
2010,Okupazio-tasa,,,,,Abaltzisketa,%,Abaltzisketa,76.8
2018,Okupazio-tasa,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,66.4
2019,Okupazio-tasa,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,68.2
2010,Okupazio-tasa,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,65.3
2015,Okupazio-tasa,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,63.3
2016,Okupazio-tasa,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,63.0
2020,Okupazio-tasa,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,68.2
2021,Okupazio-tasa,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,67.4
2022,Okupazio-tasa,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,70.1
2023,Okupazio-tasa,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,72.8
2010,Okupazio-tasa,,,,,Aduna,%,Aduna,76.2
2016,Okupazio-tasa,,,,,Aduna,%,Aduna,80.3
2022,Okupazio-tasa,,,,,Aduna,%,Aduna,84.1
2021,Okupazio-tasa,,,,,Aduna,%,Aduna,84.8
