Year,Series,Territorio,Units,Value
2013,ST_GDP_ZS,,PT,5.9
2020,ST_GDP_ZS,,PT,3.8
2011,ST_GDP_ZS,,PT,5.5
2019,ST_GDP_ZS,,PT,6.4
2015,ST_GDP_ZS,,PT,6.3
2018,ST_GDP_ZS,,PT,6.3
2022,ST_GDP_ZS,,PT,5.5
2012,ST_GDP_ZS,,PT,5.8
2014,ST_GDP_ZS,,PT,6.1
2017,ST_GDP_ZS,,PT,6.4
2016,ST_GDP_ZS,,PT,6.5
2010,ST_GDP_ZS,,PT,5.4
2021,ST_GDP_ZS,,PT,4.0
2013,ST_GDP_ZS,ES211,PT,5.3
2017,ST_GDP_ZS,ES211,PT,5.5
2011,ST_GDP_ZS,ES211,PT,5.0
2019,ST_GDP_ZS,ES211,PT,5.3
2010,ST_GDP_ZS,ES211,PT,4.8
2020,ST_GDP_ZS,ES211,PT,3.5
2015,ST_GDP_ZS,ES211,PT,5.5
2014,ST_GDP_ZS,ES211,PT,5.3
2022,ST_GDP_ZS,ES211,PT,4.9
2012,ST_GDP_ZS,ES211,PT,5.4
2021,ST_GDP_ZS,ES211,PT,3.9
2018,ST_GDP_ZS,ES211,PT,5.4
2016,ST_GDP_ZS,ES211,PT,5.5
2019,ST_GDP_ZS,ES213,PT,5.6
2017,ST_GDP_ZS,ES213,PT,5.7
2021,ST_GDP_ZS,ES213,PT,3.3
2014,ST_GDP_ZS,ES213,PT,5.3
2022,ST_GDP_ZS,ES213,PT,4.6
2015,ST_GDP_ZS,ES213,PT,5.6
2013,ST_GDP_ZS,ES213,PT,5.2
2010,ST_GDP_ZS,ES213,PT,4.6
2012,ST_GDP_ZS,ES213,PT,5.0
2011,ST_GDP_ZS,ES213,PT,4.8
2016,ST_GDP_ZS,ES213,PT,5.7
2020,ST_GDP_ZS,ES213,PT,3.2
2018,ST_GDP_ZS,ES213,PT,5.7
2019,ST_GDP_ZS,ES212,PT,8.0
2016,ST_GDP_ZS,ES212,PT,8.2
2015,ST_GDP_ZS,ES212,PT,8.0
2014,ST_GDP_ZS,ES212,PT,7.6
2012,ST_GDP_ZS,ES212,PT,7.3
2011,ST_GDP_ZS,ES212,PT,7.0
2013,ST_GDP_ZS,ES212,PT,7.4
2020,ST_GDP_ZS,ES212,PT,4.8
2018,ST_GDP_ZS,ES212,PT,7.9
2021,ST_GDP_ZS,ES212,PT,5.3
2010,ST_GDP_ZS,ES212,PT,7.0
2022,ST_GDP_ZS,ES212,PT,7.1
2017,ST_GDP_ZS,ES212,PT,8.1
2013,EU_GDP_ZS_GR,,PT,0.6
2011,EU_GDP_ZS_GR,,PT,2.2
2022,EU_GDP_ZS_GR,,PT,49.3
2021,EU_GDP_ZS_GR,,PT,16.6
2012,EU_GDP_ZS_GR,,PT,3.2
2019,EU_GDP_ZS_GR,,PT,4.0
2020,EU_GDP_ZS_GR,,PT,-46.5
2016,EU_GDP_ZS_GR,,PT,6.4
2018,EU_GDP_ZS_GR,,PT,2.6
2014,EU_GDP_ZS_GR,,PT,4.3
2015,EU_GDP_ZS_GR,,PT,8.3
2017,EU_GDP_ZS_GR,,PT,2.9
2019,EU_GDP_ZS_GR,ES211,PT,2.2
2016,EU_GDP_ZS_GR,ES211,PT,4.8
2017,EU_GDP_ZS_GR,ES211,PT,2.1
2013,EU_GDP_ZS_GR,ES211,PT,-3.1
2015,EU_GDP_ZS_GR,ES211,PT,6.2
2020,EU_GDP_ZS_GR,ES211,PT,-41.0
2012,EU_GDP_ZS_GR,ES211,PT,6.0
2011,EU_GDP_ZS_GR,ES211,PT,7.0
2021,EU_GDP_ZS_GR,ES211,PT,19.0
2022,EU_GDP_ZS_GR,ES211,PT,37.0
2018,EU_GDP_ZS_GR,ES211,PT,1.0
2014,EU_GDP_ZS_GR,ES211,PT,3.3
2012,EU_GDP_ZS_GR,ES213,PT,3.1
2014,EU_GDP_ZS_GR,ES213,PT,3.8
2022,EU_GDP_ZS_GR,ES213,PT,56.5
2017,EU_GDP_ZS_GR,ES213,PT,4.4
2013,EU_GDP_ZS_GR,ES213,PT,1.6
2016,EU_GDP_ZS_GR,ES213,PT,6.3
2018,EU_GDP_ZS_GR,ES213,PT,2.7
2020,EU_GDP_ZS_GR,ES213,PT,-48.6
2015,EU_GDP_ZS_GR,ES213,PT,9.1
2019,EU_GDP_ZS_GR,ES213,PT,3.0
2011,EU_GDP_ZS_GR,ES213,PT,2.9
2021,EU_GDP_ZS_GR,ES213,PT,13.7
2022,EU_GDP_ZS_GR,ES212,PT,46.7
2011,EU_GDP_ZS_GR,ES212,PT,-0.1
2018,EU_GDP_ZS_GR,ES212,PT,3.0
2020,EU_GDP_ZS_GR,ES212,PT,-45.9
2019,EU_GDP_ZS_GR,ES212,PT,5.7
2012,EU_GDP_ZS_GR,ES212,PT,2.4
2017,EU_GDP_ZS_GR,ES212,PT,1.5
2016,EU_GDP_ZS_GR,ES212,PT,6.9
2013,EU_GDP_ZS_GR,ES212,PT,0.8
2021,EU_GDP_ZS_GR,ES212,PT,18.6
2014,EU_GDP_ZS_GR,ES212,PT,5.3
2015,EU_GDP_ZS_GR,ES212,PT,8.3
