Year,Series,Lurralde historikoa,Units,Value
2018,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",,%,99.97
2014,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",,%,99.4
2016,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",,%,99.85
2013,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",,%,99.5
2017,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",,%,99.96
2015,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",,%,99.89
2020,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",,%,99.99
2012,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",,%,96.6
2019,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",,%,99.97
2017,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Araba / Álava,%,99.94
2020,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Araba / Álava,%,100.0
2016,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Araba / Álava,%,99.83
2019,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Araba / Álava,%,99.93
2015,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Araba / Álava,%,99.81
2014,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Araba / Álava,%,98.7
2018,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Araba / Álava,%,99.93
2016,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Bizkaia,%,99.94
2018,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Bizkaia,%,100.0
2017,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Bizkaia,%,100.0
2015,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Bizkaia,%,99.98
2019,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Bizkaia,%,100.0
2014,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Bizkaia,%,99.8
2020,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Bizkaia,%,99.99
2018,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Gipuzkoa,%,99.95
2016,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Gipuzkoa,%,99.78
2015,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Gipuzkoa,%,99.79
2020,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Gipuzkoa,%,99.99
2019,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Gipuzkoa,%,99.95
2014,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Gipuzkoa,%,99.0
2017,"Sare mugikorrez estalitako etxeen proportzioa 3,5G",Gipuzkoa,%,99.92
2020,4G sare mugikorrez estalitako etxeen proportzioa,,%,99.98
2022,4G sare mugikorrez estalitako etxeen proportzioa,,%,99.97
2019,4G sare mugikorrez estalitako etxeen proportzioa,,%,99.95
2017,4G sare mugikorrez estalitako etxeen proportzioa,,%,99.01
